#,Item,Poste,Tax year/D'année d'imposition, Grand total/Total global #,Grand total/Total global $ (000),4999 and under  / French #,4999 and under / French  $ (000),5000 - 9999 #,5000 - 9999 $ (000),10000 - 14999 #,10000 - 14999 $ (000),15000 - 19999 #,15000 - 19999 $ (000),20000 - 24999 #,20000 - 24999 $ (000),25000 - 29999 #,25000 - 29999 $ (000),30000 - 34999 #,30000 - 34999 $ (000),35000 - 39999 #,35000 - 39999 $ (000),40000 - 44999 #,40000 - 44999 $ (000),45000 - 49999 #,45000 - 49999 $ (000),50000 - 54999 #,50000 - 54999 $ (000),55000 - 59999 #,55000 - 59999 $ (000),60000 - 69999 #,60000 - 69999 $ (000),70000 - 79999 #,70000 - 79999 $ (000),80000 - 89999 #,80000 - 89999 $ (000),90000 - 99999 #,90000 - 99999 $ (000),100000 - 149999 #,100000 - 149999 $ (000),150000 - 249999 #,150000 - 249999 $ (000),250000 and over/et plus #,250000 and over/et plus $ (000)
1,Number of taxable returns,Nombre de déclarations imposables,2012, 17721540,,41750,,180540,,504760,,911110,,1394520,,1420510,,1472740,,1450280,,1380490,,1173630,,1017260,,881670,,1440130,,1103440,,818680,,621260,,1221500,,462370,,224910,
2,Number of non-taxable returns,Nombre de déclarations non imposables,2012, 8978710,,2690410,,1726750,,1853670,,1660260,,599330,,209440,,98180,,52240,,30150,,18410,,12510,,7410,,8870,,3710,,1990,,1170,,2460,,1240,,520,
3,Total number of returns,Nombre total de déclarations,2012, 26700250,,2732170,,1907280,,2358430,,2571370,,1993850,,1629960,,1570910,,1502520,,1410650,,1192040,,1029780,,889070,,1449000,,1107150,,820670,,622430,,1223950,,463610,,225430,
4,Employment income,Revenus d'emploi,2012, 17603500,749413403,1584510,1985557,1005090,6173671,1097560,10675751,1071470,14678260,1081480,19531158,1056800,23710650,1075750,29201111,1082970,34688856,1028510,37448459,921200,37931698,818270,37536814,723300,36479677,1195170,68244291,950090,63378070,720000,54575999,557230,47449183,1076310,110547028,385530,56138446,172270,59038722
5,Commissions (from employment),Commissions (d'emploi),2012, 535440,13807327,10360,10880,22320,19750,31180,45807,33870,78976,34310,116231,34200,160390,33360,200696,32120,247446,30340,287770,27250,317819,24300,344956,21860,358034,37080,738706,28770,721347,22660,682563,18050,642070,50650,2464703,28140,2478812,14620,3890372
6,Other employment income,Autres revenus d'emploi,2012, 2325220,9881893,57910,95148,73870,239453,88790,318646,92650,341587,111290,402682,125770,459531,145320,495622,157630,505369,159150,507978,141930,442760,127190,390428,114570,335656,201470,583102,167270,478361,126970,386258,94340,314520,214750,995384,85150,867676,39230,1721733
7,Old Age Security pension (OASP),Pension de la sécurité de la vieillesse,2012, 5271680,30349343,93230,78169,157230,657301,479210,2368365,1147270,6698299,709190,4388430,436460,2685185,391180,2407104,331930,2035557,301400,1842434,215580,1307982,167240,1008496,135810,816973,216700,1304984,133550,797895,83100,490252,54370,314795,117160,648136,59450,304611,41640,194376
8,CPP or QPP benefits,Prestations du Régime de pensions du Canada (RPC) ou du Régime de rentes du Québec (RRQ),2012, 6559540,43695590,131090,253407,286920,1092413,620210,2783489,1157480,6009325,809940,5820184,536400,4008335,491890,3746106,432420,3339179,403400,3103176,299570,2348351,236710,1876460,193880,1541681,300230,2397082,187820,1508197,119000,958044,77250,621566,159170,1299334,70940,596014,45210,393248
9,Other pensions or superannuation,Autres pensions et pensions de retraite,2012, 3996290,78734028,19420,50605,38710,111545,113160,341099,353260,1177168,524600,3058647,395600,3968120,383910,5221891,350970,6091549,339100,7034593,255710,6428330,204560,5862888,168350,5269094,262390,8856387,166290,6167301,106490,4192368,69930,2847637,147150,6379206,63030,3160936,33660,2514664
10,Elected split-pension amount ,Choix du montant de pension fractionné,2012, 1146980,11999106,10760,27914,26160,106801,73190,414608,145280,1048952,143420,1181321,99700,1060715,119690,1416573,103830,1320399,124980,1651971,58740,720667,35000,418316,29620,370210,58720,821549,37880,515496,24870,337027,15630,171511,25600,280749,9460,92731,4470,41597
