#,Item,Poste,Tax year/D'année d'imposition, Grand total/Total global #,Grand total/Total global $ (000),4999 and under  / French #,4999 and under / French  $ (000),5000 - 9999 #,5000 - 9999 $ (000),10000 - 14999 #,10000 - 14999 $ (000),15000 - 19999 #,15000 - 19999 $ (000),20000 - 24999 #,20000 - 24999 $ (000),25000 - 29999 #,25000 - 29999 $ (000),30000 - 34999 #,30000 - 34999 $ (000),35000 - 39999 #,35000 - 39999 $ (000),40000 - 44999 #,40000 - 44999 $ (000),45000 - 49999 #,45000 - 49999 $ (000),50000 - 54999 #,50000 - 54999 $ (000),55000 - 59999 #,55000 - 59999 $ (000),60000 - 69999 #,60000 - 69999 $ (000),70000 - 79999 #,70000 - 79999 $ (000),80000 - 89999 #,80000 - 89999 $ (000),90000 - 99999 #,90000 - 99999 $ (000),100000 - 149999 #,100000 - 149999 $ (000),150000 - 249999 #,150000 - 249999 $ (000),250000 and over/et plus #,250000 and over/et plus $ (000)
1,Number of taxable returns,Nombre de déclarations imposables,2012, 2067250,,3330,,16540,,48580,,84000,,113690,,127610,,133370,,134280,,136880,,123050,,113100,,101760,,178270,,142960,,116960,,101200,,234150,,108640,,48880,
2,Number of non-taxable returns,Nombre de déclarations non imposables,2012, 812730,,256780,,136210,,129310,,132740,,87990,,32810,,14800,,8030,,4720,,2840,,1910,,1180,,1590,,660,,300,,190,,360,,200,,130,
3,Total number of returns,Nombre total de déclarations,2012, 2879990,,260110,,152750,,177890,,216750,,201680,,160420,,148170,,142300,,141600,,125890,,115010,,102940,,179860,,143620,,117250,,101400,,234510,,108840,,49010,
4,Employment income,Revenus d'emploi,2012, 2130650,119174708,145690,215663,100550,641136,107490,1111424,106730,1521580,108590,1993268,108570,2486504,108240,2990146,108830,3526558,110250,4058551,103730,4318421,96180,4454834,88150,4483861,155200,8911224,127630,8522548,106000,8044346,93700,8038724,215010,22717069,98070,15373553,42050,15765298
5,Commissions (from employment),Commissions (d'emploi),2012, 71240,2322835,1120,1043,2390,2838,3360,6680,3700,10598,3800,14784,3800,20287,3900,24843,3890,29573,3850,36198,3600,39112,3220,40795,3020,45531,5330,98768,4360,104397,3400,100824,2960,112058,8170,433752,4860,474205,2520,726550
6,Other employment income,Autres revenus d'emploi,2012, 220120,1462804,6240,8431,7790,20941,9640,28142,9660,30702,10070,35988,9390,37878,9750,39358,10000,40964,10040,43563,8800,36303,8450,37106,7900,32526,14840,62539,13400,52125,12210,44936,11830,39384,33810,153056,17950,195182,8350,523681
7,Old Age Security pension (OASP),Pension de la sécurité de la vieillesse,2012, 433690,2481183,7310,7669,11540,47827,31440,161236,62770,341031,74470,460141,40130,246233,31360,192400,26490,161644,24630,150127,18410,111333,15100,91112,12670,75951,21340,127548,13500,80051,8690,50640,6000,34070,14060,75915,7740,38845,6060,27410
8,CPP or QPP benefits,Prestations du Régime de pensions du Canada (RPC) ou du Régime de rentes du Québec (RRQ),2012, 541030,3695008,9460,20902,19770,77616,39600,185993,70490,359297,82510,583446,47300,350231,38150,290158,33210,254814,31670,240934,24430,190050,20290,159611,17270,135226,28760,226180,18830,149085,12690,100912,8940,69866,20430,160579,10140,80988,7100,59118
9,Other pensions or superannuation,Autres pensions et pensions de retraite,2012, 311130,5820486,1760,5061,3110,10319,8550,27298,17950,66468,41450,204696,30970,267649,27400,331873,24550,378328,23960,435603,18430,405772,15350,380333,13020,350613,21770,625849,14490,451312,10200,337277,7160,243292,17260,608892,8600,345241,5170,344610
10,Elected split-pension amount ,Choix du montant de pension fractionné,2012, 84690,885779,860,2436,1610,6795,4020,21392,6160,42996,9210,77791,8660,88852,8430,98762,7580,97147,9560,124834,4480,53637,3180,37866,2670,31781,5440,69715,3260,40892,2230,27163,1690,16001,3600,34164,1330,9275,750,4278
