#,Item,Poste,Tax year/D'année d'imposition, Grand total/Total global #,Grand total/Total global $ (000),4999 and under  / French #,4999 and under / French  $ (000),5000 - 9999 #,5000 - 9999 $ (000),10000 - 14999 #,10000 - 14999 $ (000),15000 - 19999 #,15000 - 19999 $ (000),20000 - 24999 #,20000 - 24999 $ (000),25000 - 29999 #,25000 - 29999 $ (000),30000 - 34999 #,30000 - 34999 $ (000),35000 - 39999 #,35000 - 39999 $ (000),40000 - 44999 #,40000 - 44999 $ (000),45000 - 49999 #,45000 - 49999 $ (000),50000 - 54999 #,50000 - 54999 $ (000),55000 - 59999 #,55000 - 59999 $ (000),60000 - 69999 #,60000 - 69999 $ (000),70000 - 79999 #,70000 - 79999 $ (000),80000 - 89999 #,80000 - 89999 $ (000),90000 - 99999 #,90000 - 99999 $ (000),100000 - 149999 #,100000 - 149999 $ (000),150000 - 249999 #,150000 - 249999 $ (000),250000 and over/et plus #,250000 and over/et plus $ (000)
1,Number of taxable returns,Nombre de déclarations imposables,2012, 2283540,,5640,,29570,,81710,,123970,,170880,,175630,,182210,,182860,,177390,,150180,,130390,,114340,,190160,,144550,,110890,,74890,,156470,,55930,,25870,
2,Number of non-taxable returns,Nombre de déclarations non imposables,2012, 1241100,,395180,,206420,,261930,,205510,,92100,,36090,,16730,,9330,,5410,,3600,,2390,,1710,,2060,,890,,520,,280,,600,,260,,100,
3,Total number of returns,Nombre total de déclarations,2012, 3524640,,400820,,235990,,343640,,329480,,262980,,211720,,198940,,192180,,182800,,153780,,132780,,116050,,192220,,145450,,111420,,75170,,157060,,56190,,25970,
4,Employment income,Revenus d'emploi,2012, 2240250,90725454,230260,261023,126860,776869,148990,1424311,143010,1958638,137910,2498715,130000,2915687,128790,3483974,128990,4094510,126810,4608987,114000,4669387,100510,4573141,90710,4549022,153680,8712109,120950,7960484,95640,7161003,64850,5368149,133760,13361066,45170,6258001,19380,6090379
5,Commissions (from employment),Commissions (d'emploi),2012, 72940,1953608,1420,1168,2560,2831,3790,6859,4270,12065,4280,18466,4460,24430,4530,30276,4640,36614,4650,41698,3970,44999,3470,47498,3160,49115,5580,105936,4250,104256,3280,98514,2470,90653,6820,355604,3530,339138,1820,543489
6,Other employment income,Autres revenus d'emploi,2012, 389200,1726944,11150,18897,14190,46220,18450,69208,18740,78774,23010,90588,27230,109999,28940,104131,29630,99298,28180,93942,23560,82838,20570,74798,18110,59296,30570,94815,23530,77311,17700,62201,12520,48520,28110,152952,10530,130089,4510,233069
7,Old Age Security pension (OASP),Pension de la sécurité de la vieillesse,2012, 731480,4036621,17280,10792,19720,69105,71310,295795,138650,761542,94640,577036,60380,367280,53830,328418,48690,296848,43460,264282,31060,187134,24750,148623,20130,121057,32000,191028,20340,120207,12940,75357,8670,49446,18440,100307,9030,44739,6140,27626
8,CPP or QPP benefits,Prestations du Régime de pensions du Canada (RPC) ou du Régime de rentes du Québec (RRQ),2012, 888180,5991007,17620,35428,36130,142933,90420,390454,139400,724049,107410,770558,72700,552479,65730,514516,60840,476311,55770,434689,41180,327545,33250,267255,27340,220578,42580,343231,27460,219970,17750,142012,11750,94321,24030,194283,10330,85006,6510,55390
9,Other pensions or superannuation,Autres pensions et pensions de retraite,2012, 546140,10302180,3590,11115,5790,19931,15800,53353,43850,163397,70530,417336,54360,528673,51990,686162,49960,814965,46440,901352,34600,812640,28010,745540,23020,671563,35760,1115079,23380,797058,14910,542885,9850,375766,21040,885452,8640,423032,4630,336882
10,Elected split-pension amount ,Choix du montant de pension fractionné,2012, 150660,1574733,1370,3908,3160,14111,7530,43767,14600,109693,24090,194111,13170,127310,13790,156994,15740,190591,16930,219772,7490,88121,5110,63470,4110,53741,7970,109863,5360,76494,3490,46576,1880,22752,3290,39404,1110,10564,470,3491
11,Universal Child Care Benefit (UCCB),Prestation universelle pour la garde d'enfants (PUGE),2012, 201800,296275,50680,78098,19050,29155,22260,31894,18510,27296,14680,21029,12530,17650,10870,15174,9750,13738,8340,11737,6860,9655,5450,7674,4410,6257,6370,9182,4130,5854,2680,3926,1520,2269,2720,4056,810,1303,210,329
12,Employment Insurance and other benefits,Prestations d'assurance-emploi et autres prestations,2012, 281700,1739104,6210,14665,13010,55794,25850,135635,31440,196044,31100,211361,30150,211856,28230,193434,24400,163918,19810,130501,15150,97030,11870,74699,9170,56799,12710,75687,8320,46752,5360,29239,3310,17388,4880,24440,660,3267,100,595
13,Taxable amount of dividends from taxable Canadian corporations,Montant imposable des dividendes,2012, 608860,10200327,17290,17654,14230,18407,22680,33476,31300,54394,37280,81481,33490,106553,34060,138191,37060,194025,39230,240190,33490,244079,30880,295628,27590,271553,49460,602278,39720,568537,31610,518937,23320,426243,58870,1600768,29220,1423591,18110,3364341
14,Interest and other investment income,Intérêts et autres revenus de placements,2012, 1056280,2558622,67210,48341,43680,57245,65590,83831,85820,116549,86570,137499,67900,122410,64800,119689,64130,122906,63540,124764,52720,104885,45580,95841,40190,86449,68400,160509,52900,129868,41540,109168,28930,85919,67220,252612,30700,198439,18860,401700
15,Net partnership income (Limited or non-active partners only),Revenus nets de société de personnes,2012, 13180,27701,290,-5382,160,-398,220,-64,300,-169,340,-245,310,-217,350,38,420,-252,510,-240,460,146,460,-206,430,526,870,841,850,711,750,809,630,1724,2020,4938,1720,5636,2110,19505
16,Net rental income,Revenus nets de location,2012, 246390,904247,11170,-19903,10980,31965,13680,45886,14110,48081,14230,47737,12800,40695,12670,37294,13080,38008,13500,37799,12360,32160,11540,30585,10540,28287,18600,53194,15660,43891,12880,37871,9560,32924,22910,98344,10360,78520,5760,160908
17,Taxable capital gains,Gains en capital imposables,2012, 319980,2612423,10610,8760,9300,9561,12960,14683,17340,19603,21130,26444,18720,29117,18460,32173,19460,35961,20060,39234,17070,40698,15220,42545,13690,40302,24350,83196,19640,80285,15410,77250,11580,70884,28710,280663,15390,349881,10890,1331183
18,Registered retirement savings plan income (RRSP),Revenu d'un régime enregistré d'épargne-retraite (REER),2012, 314230,2024126,10860,16218,10720,31772,16280,58796,18660,74144,21670,94120,20340,98133,20960,106361,22350,120131,22690,126968,19450,105550,17080,97385,15310,88969,25590,164058,19400,130712,14640,105083,10120,81575,20150,214845,5940,128865,2030,180440
19,Other income,Autres revenus,2012, 551250,2501159,31110,39102,31350,79187,35770,89388,36850,85282,37990,85081,33370,77548,32160,77012,32860,84291,32890,88583,27080,77481,23980,71469,21190,66885,36450,130496,28780,115869,22730,101587,16600,88987,39670,313632,18830,277395,11590,551884
