#,Item,Poste,Tax year/D'année d'imposition, Grand total/Total global #,Grand total/Total global $ (000),4999 and under  / French #,4999 and under / French  $ (000),5000 - 9999 #,5000 - 9999 $ (000),10000 - 14999 #,10000 - 14999 $ (000),15000 - 19999 #,15000 - 19999 $ (000),20000 - 24999 #,20000 - 24999 $ (000),25000 - 29999 #,25000 - 29999 $ (000),30000 - 34999 #,30000 - 34999 $ (000),35000 - 39999 #,35000 - 39999 $ (000),40000 - 44999 #,40000 - 44999 $ (000),45000 - 49999 #,45000 - 49999 $ (000),50000 - 54999 #,50000 - 54999 $ (000),55000 - 59999 #,55000 - 59999 $ (000),60000 - 69999 #,60000 - 69999 $ (000),70000 - 79999 #,70000 - 79999 $ (000),80000 - 89999 #,80000 - 89999 $ (000),90000 - 99999 #,90000 - 99999 $ (000),100000 - 149999 #,100000 - 149999 $ (000),150000 - 249999 #,150000 - 249999 $ (000),250000 and over/et plus #,250000 and over/et plus $ (000)
1,Number of taxable returns,Nombre de déclarations imposables,2012, 647670,,1130,,6030,,27700,,40550,,55010,,57490,,60680,,56110,,54410,,43450,,37050,,31380,,50430,,37060,,26590,,16130,,31370,,10170,,4940,
2,Number of non-taxable returns,Nombre de déclarations non imposables,2012, 289630,,112310,,61250,,44300,,45790,,15490,,5390,,2450,,1130,,600,,340,,180,,120,,160,,50,,20,,20,,30,,10,,,
3,Total number of returns,Nombre total de déclarations,2012, 937300,,113450,,67280,,72000,,86330,,70500,,62880,,63130,,57240,,55010,,43790,,37230,,31500,,50590,,37110,,26610,,16150,,31400,,10180,,4940,
4,Employment income,Revenus d'emploi,2012, 640200,23893372,73000,73917,35950,224799,38900,392076,37600,532840,39750,741656,41360,960465,43690,1215722,42900,1400043,41290,1520260,34860,1443665,30520,1408096,26320,1328717,42580,2424304,32950,2207880,24040,1820036,14550,1208004,27900,2768662,8300,1095844,3780,1126386
5,Commissions (from employment),Commissions (d'emploi),2012, 16180,390207,240,173,560,733,790,1514,960,2888,1020,4705,1150,7525,1160,8157,1110,10064,1090,11547,960,11995,800,11905,720,13342,1200,26296,910,25806,740,24125,530,20282,1360,75290,630,64322,250,69539
6,Other employment income,Autres revenus d'emploi,2012, 65190,228320,1990,3198,2700,7915,3180,9290,3240,10452,3440,12324,3770,14511,4310,15181,4620,15052,4590,14251,3920,12702,3520,10156,3300,8077,5670,13921,4430,8543,3240,6491,2180,5157,4880,17287,1520,16498,710,27315
7,Old Age Security pension (OASP),Pension de la sécurité de la vieillesse,2012, 182950,1089724,2370,3004,4760,20565,14600,79931,39520,241233,25290,158432,17530,108937,15830,98197,11760,72503,11350,69646,7650,46683,5990,36464,4780,28883,7620,46048,4060,24368,2470,14639,1550,8976,3190,17723,1550,7981,1110,5510
8,CPP or QPP benefits,Prestations du Régime de pensions du Canada (RPC) ou du Régime de rentes du Québec (RRQ),2012, 233560,1549558,4180,8682,10450,45276,19330,88824,40740,211426,29000,211073,21340,156573,20060,148014,15670,118860,15620,116621,10910,83208,8520,65310,6960,53629,10760,83487,6010,46670,3730,29337,2320,18132,4680,37436,2000,16337,1300,10663
9,Other pensions or superannuation,Autres pensions et pensions de retraite,2012, 148240,2590480,670,1501,1370,3723,4160,12735,13870,47035,20200,115519,16360,157177,16220,210030,13120,227707,13190,264649,9190,223315,7250,195251,5900,170824,9350,289674,5220,174581,3280,112760,2080,75728,4300,168790,1640,75779,890,63703
10,Elected split-pension amount ,Choix du montant de pension fractionné,2012, 43100,405392,340,866,1080,4334,1970,9521,4790,27799,5020,39776,5260,53230,6160,67217,3120,37548,4800,57245,1920,19365,1360,13521,1180,13186,2350,30243,1160,12353,820,6470,470,3738,850,5936,300,2208,160,834
11,Universal Child Care Benefit (UCCB),Prestation universelle pour la garde d'enfants (PUGE),2012, 68230,106216,20730,34878,6490,10628,7180,10873,5830,9230,4780,7168,4120,6016,3780,5319,3160,4458,2670,3875,2080,3013,1560,2268,1240,1798,1910,2715,1190,1746,640,930,280,403,430,640,130,202,40,55
12,Employment Insurance and other benefits,Prestations d'assurance-emploi et autres prestations,2012, 71270,438846,1430,3133,3030,13038,5510,29765,7380,44416,8620,53563,8640,54280,8190,52677,6740,44889,5320,35163,4090,26879,3020,20871,2280,15419,3090,20490,1710,10950,920,5978,510,2958,690,3722,100,548,20,107
13,Taxable amount of dividends from taxable Canadian corporations,Montant imposable des dividendes,2012, 131100,1400676,2370,1634,2550,1962,4090,4397,6550,7847,7800,12552,7850,17053,8810,23232,8420,27831,9520,35645,8030,36618,6980,38953,6310,35582,11500,89704,8670,74220,6820,69065,4830,57201,11350,210807,5230,194370,3430,462003
14,Interest and other investment income,Intérêts et autres revenus de placements,2012, 240490,438389,9140,5062,7830,5504,12820,10630,23230,23825,20850,27076,17830,25616,18090,27297,15670,23579,16840,25923,12900,20693,10980,18113,9520,16455,16250,31364,11940,21497,9110,17304,5790,12914,12810,36587,5380,26823,3530,62130
15,Net partnership income (Limited or non-active partners only),Revenus nets de société de personnes,2012, 2850,4793,40,-222,20,-10,20,-23,30,-4,60,29,60,10,60,67,80,41,100,25,110,113,80,69,100,60,180,8,180,179,190,339,130,299,480,1159,410,1227,530,1426
16,Net rental income,Revenus nets de location,2012, 36150,151215,1150,-8411,1040,2531,1490,3969,2080,5665,2230,7142,2260,7361,2350,8088,2320,8184,2550,9944,2060,7334,1870,7590,1770,6858,3010,11716,2260,8702,1690,7092,1200,5609,2690,15037,1270,13100,870,23704
17,Taxable capital gains,Gains en capital imposables,2012, 71690,584635,1560,2705,2160,2058,2490,2549,3770,3698,4520,4966,4350,6352,4770,7395,4390,7375,4950,10247,4120,10151,3510,9282,3230,9830,5950,23750,4420,20352,3590,19780,2530,18331,6130,65136,2990,87017,2260,273661
18,Registered retirement savings plan income (RRSP),Revenu d'un régime enregistré d'épargne-retraite (REER),2012, 76210,379806,1820,2495,1880,4580,2930,8847,4100,12649,5040,17507,5470,20882,6330,25449,6200,24273,6650,29929,5520,23523,4790,20601,4050,19338,6500,34207,4690,24975,3230,18695,2110,13408,3630,35238,940,19491,360,23718
19,Other income,Autres revenus,2012, 166140,633804,6690,7825,7880,16867,9920,20869,11540,22911,11480,23413,10880,24972,11620,29094,10910,28114,11470,29805,9590,26282,8100,22402,7080,20970,11980,38083,8970,29292,6720,24270,4480,21007,9980,66864,4300,66057,2540,114705
20,Net business income,Revenus nets d'entreprise,2012, 66960,885805,4640,-14904,5510,25211,6690,47910,6180,56924,5450,59100,4870,58759,4560,60921,4140,58095,3770,56233,3220,49007,2600,40246,2210,38471,3650,64229,2630,48521,1920,39908,1220,27258,2340,73177,910,55058,450,41683
21,Net professional income,Revenus nets de profession libérale,2012, 8680,387970,300,230,340,1192,450,2795,390,2873,410,3929,390,4465,340,4200,360,4723,380,4584,330,4670,330,5104,300,6237,570,10486,500,10389,350,10868,340,10391,1110,62791,880,93981,630,144060
22,Net commission income,Revenus nets de commissions,2012, 6730,137111,390,-579,440,1357,540,2653,530,3217,470,3132,460,3727,500,4709,420,4102,410,4817,300,3872,300,4816,240,4319,380,9310,290,7991,210,7737,160,6747,370,22327,230,24461,90,18399
23,Net farming income,Revenus nets d'agriculture,2012, 33050,228767,2200,-21028,5330,29059,3360,12875,3070,8502,2240,10137,1950,11154,2130,19731,1640,10851,1930,21348,1330,11743,1020,10758,990,9193,1600,16987,1050,11151,800,10683,550,9382,1100,17556,480,14675,290,14009
24,Net fishing income,Revenus nets de pêche,2012, 1280,5393,150,-128,170,455,200,388,170,612,130,710,100,690,80,436,60,424,40,365,40,220,,,20,166,30,229,30,295,10,99,10,70,30,341,,,,
25,Workers' compensation benefits,Indemnités pour accidents du travail,2012, 20920,110437,280,437,600,1370,930,2494,1510,6230,1940,9821,2070,10863,2280,11880,2090,10904,1890,10029,1550,8947,1240,7308,1010,5936,1390,7655,870,4810,510,3135,280,1843,420,4159,70,2017,10,600
26,Social assistance payments,Prestations d'assistance sociale,2012, 41280,273754,6220,14568,13650,88731,10840,93559,7070,46770,1800,17415,830,7592,350,2250,190,1320,120,643,80,334,30,101,30,101,30,199,20,78,10,51,,,10,25,,,,
27,Net federal supplements,Versement net des suppléments fédéraux,2012, 63690,285079,1030,1790,2750,7529,10860,48051,31230,175842,12700,35660,2410,8124,1070,3245,590,1683,340,900,170,522,100,391,70,233,110,283,60,192,50,185,30,109,50,156,40,106,20,80
28,Total income assessed,Revenu total établi,2012, 932160,36627065,108310,121015,67280,519889,72000,897425,86330,1506499,70500,1578636,62880,1728213,63130,2050590,57240,2144448,55010,2335453,43790,2076363,37230,1951232,31500,1808812,50590,3277733,37110,2776981,26610,2250887,16150,1528889,31400,3709721,10180,1879633,4940,2484646
29,Registered pension plan contributions (RPP),Cotisations à un régime de pension agréé (RPA),2012, 217220,660200,740,270,1510,538,2840,1378,5210,3413,8280,7370,11510,12523,15230,21198,17650,29803,18920,38516,16930,38921,15850,42131,14340,43278,24350,85481,20620,89500,15690,80030,8850,47821,14870,90400,3020,20904,820,6727
30,RRSP deduction,Cotisations à un REER,2012, 205300,946708,820,989,1010,1174,2360,2740,4260,6041,6760,10558,9590,16844,12540,23739,14650,31415,16020,39593,15280,43108,14350,46380,13020,46759,22100,90284,18970,86491,14740,78432,9480,60566,19620,185249,6730,110217,3010,66130
