#,Item,Poste,Tax year/D'année d'imposition, Grand total/Total global #,Grand total/Total global $ (000),4999 and under  / French #,4999 and under / French  $ (000),5000 - 9999 #,5000 - 9999 $ (000),10000 - 14999 #,10000 - 14999 $ (000),15000 - 19999 #,15000 - 19999 $ (000),20000 - 24999 #,20000 - 24999 $ (000),25000 - 29999 #,25000 - 29999 $ (000),30000 - 34999 #,30000 - 34999 $ (000),35000 - 39999 #,35000 - 39999 $ (000),40000 - 44999 #,40000 - 44999 $ (000),45000 - 49999 #,45000 - 49999 $ (000),50000 - 54999 #,50000 - 54999 $ (000),55000 - 59999 #,55000 - 59999 $ (000),60000 - 69999 #,60000 - 69999 $ (000),70000 - 79999 #,70000 - 79999 $ (000),80000 - 89999 #,80000 - 89999 $ (000),90000 - 99999 #,90000 - 99999 $ (000),100000 - 149999 #,100000 - 149999 $ (000),150000 - 249999 #,150000 - 249999 $ (000),250000 and over/et plus #,250000 and over/et plus $ (000)
1,Number of taxable returns,Nombre de déclarations imposables,2012, 397540,,730,,3440,,13230,,25980,,37960,,40600,,41010,,38380,,33840,,26700,,21280,,17990,,28570,,21680,,13640,,8470,,16670,,5350,,2010,
2,Number of non-taxable returns,Nombre de déclarations non imposables,2012, 205630,,48280,,47090,,37840,,44360,,16940,,6220,,2390,,1120,,500,,300,,160,,120,,150,,60,,30,,20,,40,,20,,,
3,Total number of returns,Nombre total de déclarations,2012, 603170,,49000,,50530,,51070,,70340,,54900,,46820,,43400,,39500,,34350,,27000,,21440,,18110,,28720,,21740,,13670,,8490,,16710,,5370,,2020,
4,Employment income,Revenus d'emploi,2012, 393050,13856663,29270,42557,21970,130906,23250,210123,27790,354986,32440,554576,33260,699770,31830,826584,29990,946116,25820,931624,21060,858190,17070,776421,14900,747871,24320,1397864,19330,1308363,12170,911054,7630,633349,14910,1517877,4480,624505,1600,383928
5,Commissions (from employment),Commissions (d'emploi),2012, 9250,168973,150,70,380,276,510,595,640,1163,690,1854,750,2573,690,3362,680,4767,640,6474,530,7183,520,7389,420,7250,630,13202,400,11064,390,12641,280,10608,630,29285,200,16864,130,32351
6,Other employment income,Autres revenus d'emploi,2012, 44710,139424,1110,1731,1460,3881,1730,4965,2280,6602,2550,7370,2730,8529,3130,8493,3380,9426,3430,9783,3220,8982,2510,6954,2200,6127,3770,9534,3510,6011,2110,4886,1400,3796,3050,11890,870,10795,270,9669
7,Old Age Security pension (OASP),Pension de la sécurité de la vieillesse,2012, 131910,801536,1140,1677,4570,22114,14040,83842,36850,233875,18640,116450,10900,67131,9640,59186,7680,47060,6930,42210,4840,29493,3510,21301,2680,16013,3810,23003,2030,12090,1260,7449,770,4437,1540,8578,700,3775,380,1851
8,CPP or QPP benefits,Prestations du Régime de pensions du Canada (RPC) ou du Régime de rentes du Québec (RRQ),2012, 183490,1120458,4020,7447,12170,51686,19510,86652,38310,194165,22630,153269,14990,102018,13560,94882,11680,83093,10670,76599,7810,57352,5820,43751,4510,33616,6260,47883,3600,27227,2410,18036,1380,10305,2690,20448,1020,8148,470,3881
9,Other pensions or superannuation,Autres pensions et pensions de retraite,2012, 96830,1825591,420,951,1040,2829,3320,10648,9440,36647,14560,98569,10270,112339,9720,142292,8770,165188,8520,193357,6440,175057,4910,149483,3860,126379,5460,190348,3160,119033,2060,81509,1280,53123,2390,101344,890,45360,330,21133
10,Elected split-pension amount ,Choix du montant de pension fractionné,2012, 29100,308695,260,649,850,3879,2070,13716,3580,28784,4340,41421,3300,38760,3350,43399,2730,35224,3040,38928,1190,12738,750,8671,600,7031,1080,14887,610,6837,490,5915,290,3034,400,3564,120,983,60,277
