#,Item,Poste,Tax year/D'année d'imposition, Grand total/Total global #,Grand total/Total global $ (000),4999 and under  / French #,4999 and under / French  $ (000),5000 - 9999 #,5000 - 9999 $ (000),10000 - 14999 #,10000 - 14999 $ (000),15000 - 19999 #,15000 - 19999 $ (000),20000 - 24999 #,20000 - 24999 $ (000),25000 - 29999 #,25000 - 29999 $ (000),30000 - 34999 #,30000 - 34999 $ (000),35000 - 39999 #,35000 - 39999 $ (000),40000 - 44999 #,40000 - 44999 $ (000),45000 - 49999 #,45000 - 49999 $ (000),50000 - 54999 #,50000 - 54999 $ (000),55000 - 59999 #,55000 - 59999 $ (000),60000 - 69999 #,60000 - 69999 $ (000),70000 - 79999 #,70000 - 79999 $ (000),80000 - 89999 #,80000 - 89999 $ (000),90000 - 99999 #,90000 - 99999 $ (000),100000 - 149999 #,100000 - 149999 $ (000),150000 - 249999 #,150000 - 249999 $ (000),250000 and over/et plus #,250000 and over/et plus $ (000)
1,Number of taxable returns,Nombre de déclarations imposables,2012, 285810,,350,,2180,,9450,,19830,,28850,,27500,,25970,,24290,,21240,,17420,,14030,,11980,,18900,,15440,,12710,,8590,,18700,,6230,,2150,
2,Number of non-taxable returns,Nombre de déclarations non imposables,2012, 138450,,32080,,27110,,33580,,33650,,7230,,2860,,1050,,420,,160,,110,,60,,40,,40,,20,,10,,,,10,,,,,
3,Total number of returns,Nombre total de déclarations,2012, 424260,,32430,,29290,,43030,,53490,,36090,,30360,,27020,,24710,,21400,,17530,,14100,,12020,,18930,,15460,,12730,,8600,,18720,,6240,,2150,
4,Employment income,Revenus d'emploi,2012, 273250,11199256,18910,28536,12850,76768,15810,135822,19350,228768,21320,344886,20440,402194,18880,446929,18560,559918,15800,545057,13820,550313,11630,515005,10170,500713,16550,930915,14180,951254,11940,926409,8110,697876,17610,1896980,5560,862470,1780,598442
5,Commissions (from employment),Commissions (d'emploi),2012, 4370,88176,70,31,170,139,250,295,310,630,340,934,340,1487,340,1882,300,2187,280,2871,270,3451,200,3277,210,3671,280,6084,250,7472,160,6487,130,5635,310,16978,140,13213,40,11454
6,Other employment income,Autres revenus d'emploi,2012, 36620,120717,390,594,530,1632,620,1687,920,2298,1450,3018,1860,4057,2320,5394,2440,5759,2500,4986,2540,4826,1980,3740,1800,3572,3030,5574,2970,4426,2780,4635,2070,3990,4790,15998,1330,23000,330,21531
7,Old Age Security pension (OASP),Pension de la sécurité de la vieillesse,2012, 88650,541615,670,913,3640,18896,13460,82508,28290,180766,10990,68951,6890,42388,5490,33469,4070,24855,3760,22790,2460,14967,1780,10624,1380,8184,1900,11326,1090,6447,630,3591,440,2451,920,4784,520,2506,280,1199
8,CPP or QPP benefits,Prestations du Régime de pensions du Canada (RPC) ou du Régime de rentes du Québec (RRQ),2012, 128760,735350,2940,4800,7910,28859,17620,63296,29990,147885,14480,97151,10590,70742,9030,62598,7020,49985,6550,46063,4550,32685,3440,24451,2710,19648,3790,27392,2330,16876,1480,10687,1000,7181,2170,15701,830,6515,340,2834
9,Other pensions or superannuation,Autres pensions et pensions de retraite,2012, 58520,1110342,190,524,490,1289,1480,4616,5780,19477,8490,57831,6650,77066,6100,95619,5210,106338,5180,122999,3730,104018,2810,85250,2220,70107,3170,106166,1950,67161,1230,43392,900,32275,1950,67061,770,32812,230,16343
10,Elected split-pension amount ,Choix du montant de pension fractionné,2012, 20210,201964,170,356,680,2766,2050,12726,2890,23667,2670,27132,2380,27882,2350,27740,1300,15841,1740,20452,780,8174,520,6079,450,4888,740,9444,450,5093,340,3699,230,2233,330,2789,120,470,30,532
