#,Item,Poste,Tax year/D'année d'imposition, Grand total/Total global #,Grand total/Total global $ (000),4999 and under  / French #,4999 and under / French  $ (000),5000 - 9999 #,5000 - 9999 $ (000),10000 - 14999 #,10000 - 14999 $ (000),15000 - 19999 #,15000 - 19999 $ (000),20000 - 24999 #,20000 - 24999 $ (000),25000 - 29999 #,25000 - 29999 $ (000),30000 - 34999 #,30000 - 34999 $ (000),35000 - 39999 #,35000 - 39999 $ (000),40000 - 44999 #,40000 - 44999 $ (000),45000 - 49999 #,45000 - 49999 $ (000),50000 - 54999 #,50000 - 54999 $ (000),55000 - 59999 #,55000 - 59999 $ (000),60000 - 69999 #,60000 - 69999 $ (000),70000 - 79999 #,70000 - 79999 $ (000),80000 - 89999 #,80000 - 89999 $ (000),90000 - 99999 #,90000 - 99999 $ (000),100000 - 149999 #,100000 - 149999 $ (000),150000 - 249999 #,150000 - 249999 $ (000),250000 and over/et plus #,250000 and over/et plus $ (000)
1,Number of taxable returns,Nombre de déclarations imposables,2012, 54940,,9050,,3940,,4700,,5500,,7080,,4420,,2530,,1930,,1580,,1280,,1040,,920,,1510,,1290,,980,,800,,2800,,1830,,1780,
2,Number of non-taxable returns,Nombre de déclarations non imposables,2012, 77020,,41780,,12390,,11000,,7700,,2630,,310,,170,,110,,90,,80,,70,,50,,80,,60,,60,,60,,180,,130,,90,
3,Total number of returns,Nombre total de déclarations,2012, 131960,,50830,,16320,,15700,,13200,,9700,,4730,,2690,,2040,,1670,,1350,,1110,,960,,1590,,1360,,1030,,860,,2980,,1960,,1860,
4,Employment income,Revenus d'emploi,2012, 77040,2536957,21440,13996,8570,62153,10620,126630,10260,171862,7740,163373,3290,82378,1670,50325,1230,42457,1010,39701,820,36536,710,34907,640,34415,1170,70307,1050,74069,800,64465,680,61117,2300,264299,1550,280524,1480,863442
5,Commissions (from employment),Commissions (d'emploi),2012, 300,6133,30,23,40,78,80,627,30,187,30,135,20,177,,,,,,,,,,,,,,,,,,,,,10,593,,,,
6,Other employment income,Autres revenus d'emploi,2012, 3290,114457,490,767,290,1666,270,2163,240,2936,220,2770,170,2772,170,3068,110,2542,120,2807,110,2968,70,2549,50,1420,140,4566,130,5031,100,3941,80,3604,240,16808,170,20998,120,31081
7,Old Age Security pension (OASP),Pension de la sécurité de la vieillesse,2012, 15720,63679,4450,7244,4000,16125,2890,15271,1590,9025,920,5166,590,3360,380,2277,320,1850,190,1145,130,754,80,471,60,308,60,332,30,187,10,69,,,,,,,,
8,CPP or QPP benefits,Prestations du Régime de pensions du Canada (RPC) ou du Régime de rentes du Québec (RRQ),2012, 20300,96628,6800,12093,4960,20450,3370,21829,1790,14498,1070,8546,710,5819,460,3763,390,3371,230,1918,160,1346,110,912,80,591,80,660,40,330,20,165,,,20,160,10,94,,
9,Other pensions or superannuation,Autres pensions et pensions de retraite,2012, 6230,77434,,,560,1675,1060,4315,1150,6709,990,9291,660,9277,450,8285,380,8746,230,6174,160,5224,110,3961,80,3303,90,4012,40,2108,30,1244,10,518,30,938,30,1129,,
10,Elected split-pension amount ,Choix du montant de pension fractionné,2012, 20,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Universal Child Care Benefit (UCCB),Prestation universelle pour la garde d'enfants (PUGE),2012, 280,437,110,169,30,68,10,22,20,20,10,22,,,10,15,,,,,,,,,,,,,,,,,,,20,21,,,,
12,Employment Insurance and other benefits,Prestations d'assurance-emploi et autres prestations,2012, 3170,17996,60,135,160,692,450,2039,850,4185,840,5052,460,3217,160,1321,50,310,20,255,20,149,10,46,,,20,109,10,59,20,104,10,142,20,115,,,,
13,Taxable amount of dividends from taxable Canadian corporations,Montant imposable des dividendes,2012, 710,3505,50,43,30,46,30,62,30,129,20,69,10,103,10,6,10,27,20,48,20,38,20,128,10,7,40,116,50,124,40,169,30,76,180,769,80,781,30,763
14,Interest and other investment income,Intérêts et autres revenus de placements,2012, 1270,2085,130,93,60,91,60,94,40,35,30,70,30,54,20,15,20,41,30,30,30,90,20,81,30,29,60,101,90,128,80,89,70,94,330,498,110,254,30,198
15,Net partnership income (Limited or non-active partners only),Revenus nets de société de personnes,2012, 13410,28335,12500,-9249,320,873,220,1455,60,634,30,275,60,738,20,469,,,20,394,,,,,20,701,20,862,10,703,,,10,856,40,1776,20,1590,50,25397
16,Net rental income,Revenus nets de location,2012, 570,783,60,-35,30,117,20,66,,,10,49,,,,,10,7,20,103,10,-3,,,10,45,30,-15,30,30,40,-27,40,40,160,244,70,63,10,18
17,Taxable capital gains,Gains en capital imposables,2012, 13440,390380,7140,13444,1280,8363,840,8836,480,7543,440,8868,350,8541,290,8775,230,7966,240,9028,190,8428,150,6935,170,8610,240,13108,180,9986,160,10820,110,9124,430,37316,260,36225,270,168464
18,Registered retirement savings plan income (RRSP),Revenu d'un régime enregistré d'épargne-retraite (REER),2012, 1690,18475,160,279,200,1116,250,1960,190,1804,170,1914,130,1848,100,1392,80,1516,70,1483,60,1162,30,735,20,412,40,593,50,621,30,432,20,259,80,619,,,,
19,Other income,Autres revenus,2012, 3790,47131,1050,1308,390,1686,330,1952,260,2158,230,2165,170,1742,130,1713,130,2029,120,2430,90,1531,80,1484,50,632,110,1408,130,1960,90,634,60,742,220,3443,100,4964,70,13148
20,Net business income,Revenus nets d'entreprise,2012, 4840,133341,2040,-18675,570,3973,460,5251,240,3334,220,4443,190,4582,120,3496,80,2770,80,2966,70,2875,50,2468,60,3195,80,4261,60,3634,50,3420,40,2859,210,23626,110,17696,110,57167
21,Net professional income,Revenus nets de profession libérale,2012, 2060,89998,370,725,300,2058,210,2609,270,4592,140,3085,150,3814,60,1891,60,2089,50,1934,60,2726,50,2759,30,1611,40,2034,30,1853,20,1356,20,1609,80,8329,60,9290,70,35635
22,Net commission income,Revenus nets de commissions,2012, 110,2129,40,45,20,119,10,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Net farming income,Revenus nets d'agriculture,2012, 330,1902,150,-3021,40,219,30,295,20,346,10,95,10,230,,,10,293,,,,,,,,,,,,,,,,,,,,,,
24,Net fishing income,Revenus nets de pêche,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Workers' compensation benefits,Indemnités pour accidents du travail,2012, 50,292,,,,,,,10,69,10,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Social assistance payments,Prestations d'assistance sociale,2012, 30,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Net federal supplements,Versement net des suppléments fédéraux,2012, 40,222,,,,,,,20,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Total income assessed,Revenu total établi,2012, 130220,3627874,49090,14698,16320,121658,15700,195724,13200,230401,9700,215615,4730,128955,2690,87031,2040,76294,1670,70972,1350,64145,1110,58118,960,55346,1590,103014,1360,101327,1030,87516,860,81642,2980,360609,1960,374738,1860,1200069
29,Registered pension plan contributions (RPP),Cotisations à un régime de pension agréé (RPA),2012, 5930,31945,150,389,140,191,220,270,220,327,240,439,220,407,180,396,210,501,180,478,200,642,170,544,180,621,430,1738,430,2047,370,1947,300,1734,1100,8256,590,5820,420,5198
30,RRSP deduction,Cotisations à un REER,2012, 2150,14315,180,448,50,104,60,166,50,193,60,195,50,188,60,327,70,308,60,267,70,388,50,190,50,272,130,658,170,973,140,845,110,776,500,3562,180,2276,110,2181
