#,Item,Poste,Tax year/D'année d'imposition, Grand total/Total global #,Grand total/Total global $ (000),4999 and under  / French #,4999 and under / French  $ (000),5000 - 9999 #,5000 - 9999 $ (000),10000 - 14999 #,10000 - 14999 $ (000),15000 - 19999 #,15000 - 19999 $ (000),20000 - 24999 #,20000 - 24999 $ (000),25000 - 29999 #,25000 - 29999 $ (000),30000 - 34999 #,30000 - 34999 $ (000),35000 - 39999 #,35000 - 39999 $ (000),40000 - 44999 #,40000 - 44999 $ (000),45000 - 49999 #,45000 - 49999 $ (000),50000 - 54999 #,50000 - 54999 $ (000),55000 - 59999 #,55000 - 59999 $ (000),60000 - 69999 #,60000 - 69999 $ (000),70000 - 79999 #,70000 - 79999 $ (000),80000 - 89999 #,80000 - 89999 $ (000),90000 - 99999 #,90000 - 99999 $ (000),100000 - 149999 #,100000 - 149999 $ (000),150000 - 249999 #,150000 - 249999 $ (000),250000 and over/et plus #,250000 and over/et plus $ (000)
1,Number of taxable returns,Nombre de déclarations imposables,2012, 511340,,950,,5790,,18750,,36860,,50230,,48430,,48960,,44320,,39580,,32420,,27980,,23610,,38760,,29150,,19180,,11990,,23360,,7970,,3080,
2,Number of non-taxable returns,Nombre de déclarations non imposables,2012, 224740,,64330,,56320,,39140,,42020,,12550,,4780,,2640,,1430,,650,,310,,160,,120,,140,,50,,20,,,,40,,20,,,
3,Total number of returns,Nombre total de déclarations,2012, 736080,,65280,,62110,,57890,,78880,,62770,,53210,,51590,,45750,,40220,,32720,,28140,,23730,,38910,,29210,,19200,,12000,,23400,,7990,,3090,
4,Employment income,Revenus d'emploi,2012, 466060,16885372,37750,52928,27910,167384,29430,276308,31600,417162,34080,595421,33820,728930,34770,921261,32810,1033892,27900,983759,24020,957063,21460,956123,18500,903017,31700,1781175,25250,1682469,16620,1230923,10340,845655,19800,1937779,6110,817720,2200,596403
5,Commissions (from employment),Commissions (d'emploi),2012, 12850,248489,210,93,470,393,780,1122,970,2289,1120,3899,1020,4716,990,5660,970,7125,810,9002,680,8301,600,9106,540,9807,830,18006,580,14845,480,15812,350,12270,870,41364,390,33170,190,51508
6,Other employment income,Autres revenus d'emploi,2012, 51070,236104,1330,2075,1900,5368,2200,6271,2720,8335,3590,11897,3620,13309,3750,13780,3700,15299,3660,15785,3130,13559,2710,10834,2320,8058,4060,12196,3170,8002,2330,7312,1590,6118,3560,18565,1280,25469,460,33872
7,Old Age Security pension (OASP),Pension de la sécurité de la vieillesse,2012, 164270,994429,1370,1967,5140,25000,13850,80721,39760,250946,23060,144523,14820,91661,13260,81567,9890,60585,9610,58649,6900,41845,5200,31623,4150,24987,5980,36158,3250,19379,2040,12169,1270,7394,2710,15051,1300,6680,720,3524
8,CPP or QPP benefits,Prestations du Régime de pensions du Canada (RPC) ou du Régime de rentes du Québec (RRQ),2012, 228420,1497863,4610,9238,14170,66502,20850,104302,42330,229490,28180,201503,19920,142156,18150,131845,14580,109675,13920,104595,10310,78563,8090,62065,6620,50691,9360,72162,5310,40839,3360,25844,2130,16427,4090,32254,1630,12977,840,6734
9,Other pensions or superannuation,Autres pensions et pensions de retraite,2012, 130060,2604020,610,1223,1220,3612,3170,10789,10380,39235,17290,110628,13930,148735,13500,192739,11130,208385,11560,257876,8970,239542,7150,214933,5840,188147,8530,290829,4940,181448,3280,125686,2120,83374,4240,180370,1590,81153,610,45316
10,Elected split-pension amount ,Choix du montant de pension fractionné,2012, 43520,468027,430,1007,1820,6861,3570,18823,5110,37951,5590,55716,5800,71189,5210,68340,2860,38986,4040,55071,1750,22175,1250,15796,1230,16050,1810,24542,1000,11916,700,8835,410,4556,680,7236,200,2540,70,437
11,Universal Child Care Benefit (UCCB),Prestation universelle pour la garde d'enfants (PUGE),2012, 40610,59118,8130,12594,3990,5833,4660,6831,3730,5339,3190,4375,2870,3940,2570,3572,2260,3141,1810,2595,1410,2013,1190,1697,970,1446,1580,2327,1000,1479,460,685,250,374,380,603,140,233,30,41
12,Employment Insurance and other benefits,Prestations d'assurance-emploi et autres prestations,2012, 102480,781071,1310,3246,3830,16492,8750,49854,12520,86253,13600,104156,12910,108752,11190,98082,8510,72508,6440,54110,4990,41198,3830,31566,3020,24984,4260,34990,2540,19959,1610,12476,1000,7666,1790,12126,340,2286,40,367
13,Taxable amount of dividends from taxable Canadian corporations,Montant imposable des dividendes,2012, 98390,1535657,1680,1188,1720,2332,2840,5011,5010,8817,5830,13267,5810,20236,6680,27904,6350,40773,6940,46111,5970,45362,5520,49604,4960,48530,8550,99169,6530,85949,4940,80292,3480,68463,9000,271888,4390,262211,2200,358548
14,Interest and other investment income,Intérêts et autres revenus de placements,2012, 133880,196502,4000,2077,4070,2822,6150,4565,11940,9069,11580,10673,10070,10672,10330,11391,8970,10049,8990,10969,7420,8634,6460,8288,5870,7751,9540,13778,7120,10928,4990,8283,3290,6717,7610,19261,3550,16742,1940,23834
15,Net partnership income (Limited or non-active partners only),Revenus nets de société de personnes,2012, 990,3429,,,10,-46,10,24,,,10,-1,20,,10,-2,20,-8,20,3,40,46,50,72,20,17,80,231,70,139,70,326,50,84,210,613,160,897,150,1123
16,Net rental income,Revenus nets de location,2012, 19020,49713,650,-1613,640,1198,900,1783,1060,2103,1110,2227,1130,2150,1210,2098,1110,1901,1230,2279,1050,1688,920,1630,850,1347,1560,2569,1300,2495,980,2475,670,1987,1640,7141,710,5261,310,8994
