#,Item,Poste,Tax year/D'année d'imposition, Grand total/Total global #,Grand total/Total global $ (000),4999 and under  / French #,4999 and under / French  $ (000),5000 - 9999 #,5000 - 9999 $ (000),10000 - 14999 #,10000 - 14999 $ (000),15000 - 19999 #,15000 - 19999 $ (000),20000 - 24999 #,20000 - 24999 $ (000),25000 - 29999 #,25000 - 29999 $ (000),30000 - 34999 #,30000 - 34999 $ (000),35000 - 39999 #,35000 - 39999 $ (000),40000 - 44999 #,40000 - 44999 $ (000),45000 - 49999 #,45000 - 49999 $ (000),50000 - 54999 #,50000 - 54999 $ (000),55000 - 59999 #,55000 - 59999 $ (000),60000 - 69999 #,60000 - 69999 $ (000),70000 - 79999 #,70000 - 79999 $ (000),80000 - 89999 #,80000 - 89999 $ (000),90000 - 99999 #,90000 - 99999 $ (000),100000 - 149999 #,100000 - 149999 $ (000),150000 - 249999 #,150000 - 249999 $ (000),250000 and over/et plus #,250000 and over/et plus $ (000)
1,Number of taxable returns,Nombre de déclarations imposables,2012, 20850,,30,,120,,360,,710,,870,,920,,1000,,1030,,950,,910,,890,,900,,1760,,1600,,1640,,1470,,4400,,1060,,250,
2,Number of non-taxable returns,Nombre de déclarations non imposables,2012, 10310,,3770,,2110,,1780,,1240,,740,,330,,160,,80,,40,,20,,10,,10,,10,,,,,,,,,,,,,
3,Total number of returns,Nombre total de déclarations,2012, 31160,,3790,,2220,,2140,,1940,,1610,,1240,,1170,,1100,,990,,930,,910,,910,,1770,,1610,,1640,,1470,,4410,,1060,,250,
4,Employment income,Revenus d'emploi,2012, 26400,1456428,2640,3871,1630,9415,1460,13832,1210,15496,1200,19568,1040,21587,1020,26843,980,30927,890,32689,860,34975,820,38399,860,44200,1660,98383,1530,106874,1580,125577,1430,128154,4330,481122,1020,160883,220,63632
5,Commissions (from employment),Commissions (d'emploi),2012, 310,7433,,,,,,,10,12,10,17,10,49,20,54,10,68,10,57,20,127,10,40,,,10,205,20,91,30,426,30,479,70,1752,30,2246,,
6,Other employment income,Autres revenus d'emploi,2012, 1100,8866,40,45,50,155,40,204,30,165,50,210,40,190,30,173,50,477,40,535,40,368,40,416,40,412,70,645,60,592,80,835,60,502,190,1403,90,729,30,810
7,Old Age Security pension (OASP),Pension de la sécurité de la vieillesse,2012, 2610,15033,30,26,80,350,260,1483,580,3507,380,2435,190,1191,150,869,110,635,80,458,80,453,70,420,50,291,130,732,90,502,60,371,40,166,140,704,80,351,20,88
8,CPP or QPP benefits,Prestations du Régime de pensions du Canada (RPC) ou du Régime de rentes du Québec (RRQ),2012, 3770,22853,100,211,220,885,410,1731,600,2339,450,2585,250,1720,200,1460,160,1198,130,1004,130,1011,110,863,90,699,180,1492,150,1105,110,878,80,562,270,2026,110,893,20,191
9,Other pensions or superannuation,Autres pensions et pensions de retraite,2012, 1680,38737,,,,,40,189,70,353,120,656,120,924,110,1390,100,1586,90,1643,80,1851,80,1979,70,1794,150,4402,100,3503,90,3306,50,1740,220,7235,130,4857,20,1275
10,Elected split-pension amount ,Choix du montant de pension fractionné,2012, 490,5409,,,,,40,207,20,154,20,221,20,262,20,281,30,428,30,362,20,278,30,379,10,236,50,679,40,465,30,289,30,220,70,768,20,127,,
11,Universal Child Care Benefit (UCCB),Prestation universelle pour la garde d'enfants (PUGE),2012, 2900,4370,720,1133,320,521,210,321,150,227,150,235,140,208,110,157,110,169,80,118,100,146,70,107,90,122,140,199,130,190,120,169,90,152,130,175,,,,
12,Employment Insurance and other benefits,Prestations d'assurance-emploi et autres prestations,2012, 3330,29515,,,100,422,180,1197,240,2061,320,3431,310,3404,300,3082,290,2783,230,2249,210,1956,190,1680,150,1277,240,2003,160,1234,140,1048,90,676,150,830,20,97,,
13,Taxable amount of dividends from taxable Canadian corporations,Montant imposable des dividendes,2012, 2380,37303,20,12,40,40,40,58,50,84,50,127,50,121,50,235,50,245,50,232,60,416,70,420,80,355,150,923,160,1301,170,1238,160,1467,630,6381,350,7738,150,15911
14,Interest and other investment income,Intérêts et autres revenus de placements,2012, 3960,5703,100,58,70,52,110,53,130,86,120,65,110,68,120,111,120,101,110,116,100,133,100,127,120,147,260,207,260,266,280,218,270,260,1030,1305,410,986,150,1347
15,Net partnership income (Limited or non-active partners only),Revenus nets de société de personnes,2012, 40,778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,188,10,552
16,Net rental income,Revenus nets de location,2012, 1140,2870,20,-18,20,17,20,62,10,27,10,1,20,47,20,130,20,91,30,49,30,88,30,73,30,-16,60,116,80,129,90,32,90,222,360,1107,160,541,50,171
17,Taxable capital gains,Gains en capital imposables,2012, 1120,4956,20,13,20,14,20,5,30,6,20,8,20,16,20,21,20,34,30,47,30,109,30,12,30,39,70,141,60,134,60,112,60,189,310,985,170,957,90,2113
18,Registered retirement savings plan income (RRSP),Revenu d'un régime enregistré d'épargne-retraite (REER),2012, 2620,16349,40,39,30,108,60,185,60,240,80,302,70,294,100,347,90,396,80,358,100,545,90,404,110,485,200,945,210,1049,220,1080,190,1038,710,4346,170,2632,20,1555
19,Other income,Autres revenus,2012, 4680,24505,240,241,250,555,280,825,240,828,230,678,180,503,160,632,130,343,150,349,140,547,150,377,130,492,270,881,210,778,290,956,250,706,920,3675,320,4179,130,6960
