#,Item,Poste,Tax year/D'année d'imposition, Grand total/Total global #,Grand total/Total global $ (000),4999 and under  / French #,4999 and under / French  $ (000),5000 - 9999 #,5000 - 9999 $ (000),10000 - 14999 #,10000 - 14999 $ (000),15000 - 19999 #,15000 - 19999 $ (000),20000 - 24999 #,20000 - 24999 $ (000),25000 - 29999 #,25000 - 29999 $ (000),30000 - 34999 #,30000 - 34999 $ (000),35000 - 39999 #,35000 - 39999 $ (000),40000 - 44999 #,40000 - 44999 $ (000),45000 - 49999 #,45000 - 49999 $ (000),50000 - 54999 #,50000 - 54999 $ (000),55000 - 59999 #,55000 - 59999 $ (000),60000 - 69999 #,60000 - 69999 $ (000),70000 - 79999 #,70000 - 79999 $ (000),80000 - 89999 #,80000 - 89999 $ (000),90000 - 99999 #,90000 - 99999 $ (000),100000 - 149999 #,100000 - 149999 $ (000),150000 - 249999 #,150000 - 249999 $ (000),250000 and over/et plus #,250000 and over/et plus $ (000)
1,Number of taxable returns,Nombre de déclarations imposables,2012, 11260,,,,40,,220,,580,,610,,620,,600,,580,,490,,470,,400,,360,,710,,760,,830,,790,,2430,,700,,80,
2,Number of non-taxable returns,Nombre de déclarations non imposables,2012, 8970,,3180,,2240,,1440,,970,,560,,320,,140,,60,,40,,10,,,,,,,,,,,,,,,,,,,
3,Total number of returns,Nombre total de déclarations,2012, 20240,,3180,,2280,,1660,,1560,,1170,,940,,740,,650,,530,,490,,410,,360,,710,,760,,830,,790,,2430,,700,,80,
4,Employment income,Revenus d'emploi,2012, 17440,811009,2000,2851,1720,7508,1350,10752,1260,13971,1010,14524,880,16686,700,17152,610,18497,510,17515,470,18614,400,18401,340,17164,700,41057,750,52821,820,65634,780,70596,2410,275679,690,113041,70,18546
5,Commissions (from employment),Commissions (d'emploi),2012, 30,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Other employment income,Autres revenus d'emploi,2012, 350,2268,,,20,35,10,45,20,99,10,75,20,107,,,,,,,10,110,,,10,343,20,169,20,113,30,158,20,185,70,367,60,110,,
7,Old Age Security pension (OASP),Pension de la sécurité de la vieillesse,2012, 1180,6941,,,80,438,130,769,240,1525,180,1117,110,684,70,451,50,288,30,191,30,169,20,97,20,105,30,189,20,121,20,131,20,128,70,316,60,204,,
8,CPP or QPP benefits,Prestations du Régime de pensions du Canada (RPC) ou du Régime de rentes du Québec (RRQ),2012, 1840,9886,,,160,514,190,754,280,1025,230,1255,140,865,100,632,80,488,50,335,50,349,30,213,40,274,50,346,40,279,60,376,50,339,150,978,90,658,,
9,Other pensions or superannuation,Autres pensions et pensions de retraite,2012, 700,11920,,,20,59,20,62,30,123,70,404,60,484,50,612,50,687,30,380,20,409,,,20,436,30,659,30,609,30,736,30,789,100,2014,100,3057,,
10,Elected split-pension amount ,Choix du montant de pension fractionné,2012, 200,1616,,,10,17,10,45,20,123,10,148,,,,,,,10,180,,,,,,,10,129,,,10,72,20,128,30,266,10,53,,
11,Universal Child Care Benefit (UCCB),Prestation universelle pour la garde d'enfants (PUGE),2012, 3440,5571,1110,1912,500,812,440,702,320,528,180,289,130,194,120,187,80,129,50,69,50,74,50,65,40,58,70,94,70,105,60,86,60,83,110,163,10,20,,
12,Employment Insurance and other benefits,Prestations d'assurance-emploi et autres prestations,2012, 2130,18938,,,50,206,90,552,170,1505,210,2329,210,2234,190,2031,180,1761,170,1573,120,1198,100,883,90,776,150,1250,110,720,80,589,50,345,120,873,10,62,,
13,Taxable amount of dividends from taxable Canadian corporations,Montant imposable des dividendes,2012, 730,9070,10,16,,,10,25,,,10,27,10,16,20,72,20,62,20,15,20,82,10,139,10,73,30,73,30,133,60,492,50,384,240,1578,130,2203,30,3676
14,Interest and other investment income,Intérêts et autres revenus de placements,2012, 1170,1131,30,11,20,21,20,6,10,3,20,15,20,6,20,7,30,10,20,7,30,18,30,14,20,11,60,35,50,14,70,64,90,62,400,327,220,274,40,227
15,Net partnership income (Limited or non-active partners only),Revenus nets de société de personnes,2012, 10,-54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Net rental income,Revenus nets de location,2012, 420,811,,,,,,,,,,,,,,,,,,,,,,,,,20,60,20,73,30,77,40,57,170,343,80,79,20,8
17,Taxable capital gains,Gains en capital imposables,2012, 310,2011,,,,,,,,,,,,,,,10,20,,,,,,,,,10,60,,,20,86,20,34,100,408,60,501,20,849
18,Registered retirement savings plan income (RRSP),Revenu d'un régime enregistré d'épargne-retraite (REER),2012, 1010,5829,,,20,31,20,57,20,33,20,46,30,113,30,74,20,141,20,74,40,156,30,92,30,104,60,240,70,292,70,310,90,381,320,1668,110,1661,,
19,Other income,Autres revenus,2012, 2640,12551,170,177,220,413,200,449,200,648,200,588,150,555,120,493,80,350,80,262,80,342,60,203,60,177,110,547,100,358,120,375,100,549,400,2086,150,2264,40,1717
20,Net business income,Revenus nets d'entreprise,2012, 1020,8396,40,-65,90,238,80,276,60,217,60,309,60,404,50,278,40,290,30,463,30,231,20,168,20,206,40,417,50,569,60,556,40,501,200,1957,60,1377,10,3
21,Net professional income,Revenus nets de profession libérale,2012, 140,5158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,14,30,600,,,10,3325
22,Net commission income,Revenus nets de commissions,2012, 20,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Net farming income,Revenus nets d'agriculture,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Net fishing income,Revenus nets de pêche,2012, 80,2194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Workers' compensation benefits,Indemnités pour accidents du travail,2012, 320,2084,,,10,24,20,64,20,99,30,211,20,109,20,105,20,78,20,198,10,131,10,51,20,95,20,89,10,94,20,78,,,40,253,10,203,,
26,Social assistance payments,Prestations d'assistance sociale,2012, 5530,32676,670,1948,1250,6335,830,5572,850,6007,610,4006,380,2825,230,1458,160,1057,120,906,100,782,80,416,50,364,70,336,50,301,30,133,,,30,153,,,,
27,Net federal supplements,Versement net des suppléments fédéraux,2012, 600,3232,,,30,74,90,368,200,1307,140,715,60,341,40,206,10,54,,,,,,,,,,,,,,,,,,,,,,
28,Total income assessed,Revenu total établi,2012, 20180,953503,3130,7057,2280,16773,1660,20574,1560,27290,1170,26167,940,25815,740,23955,650,24156,530,22323,490,22978,410,21277,360,20527,710,46329,760,56990,830,70555,790,74760,2430,290361,700,126371,80,29245
29,Registered pension plan contributions (RPP),Cotisations à un régime de pension agréé (RPA),2012, 5100,24639,10,1,10,3,20,8,20,13,40,36,50,28,60,65,90,122,90,107,110,190,110,173,100,191,320,802,420,1319,560,2137,590,2634,1930,11893,530,4479,30,440
30,RRSP deduction,Cotisations à un REER,2012, 2520,17943,,,,,,,20,16,20,43,30,49,30,178,50,125,30,107,50,135,70,198,40,128,110,430,120,540,190,1023,250,1476,1020,7345,410,4768,50,1345
31,Deduction for elected split-pension amount,Déduction pour le choix du montant de pension fractionné,2012, 200,1746,,,,,,,,,,,20,25,,,20,44,,,,,,,10,57,,,,,10,87,,,40,375,50,828,,
32,"Annual union, professional, or like dues","Cotisations annuelles syndicales, professionnelles et semblables",2012, 7200,5475,270,8,400,20,330,27,350,39,290,47,290,52,270,68,240,77,220,79,230,100,190,98,170,92,420,280,490,427,550,553,560,633,1610,2289,330,544,20,43
33,Child care expenses,Frais de garde d'enfants,2012, 580,2399,,,20,35,20,44,10,25,20,39,20,48,30,62,20,101,20,53,20,45,20,61,20,62,40,227,40,169,50,248,50,238,140,743,30,191,,
34,Business investment loss,Perte au titre d'un placement d'entreprise,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Moving expenses,Frais de déménagement,2012, 140,460,,,,,,,,,,,,,,,10,15,,,,,10,39,,,,,,,10,73,10,59,30,111,,,,
36,Support payments made,Pension alimentaire payée,2012, 30,534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,231,,,,
37,Carrying charges and interest expenses,Frais financiers et frais d'intérêts,2012, 240,579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,17,20,7,90,96,70,120,20,295
38,Deductions for CPP/QPP contributions on self-employment and other earnings,Déductions pour cotisations au RPC ou au RRQ pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 470,300,,,40,4,50,9,40,6,40,15,40,15,30,12,30,17,30,21,30,18,20,12,10,12,20,25,20,21,10,21,,,20,39,10,17,10,23
39,Deductions for provincial parental insurance plan (PPIP) premiums on self-employment income,Déduction pour cotisations au Régime provincial d'assurance parentale (RPAP) pour le revenu d'un travail indépendant,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Exploration and development expenses,Frais d'exploration et d'aménagement,2012, 10,460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Other employment expenses,Autres dépenses d'emploi,2012, 110,327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,19,,,40,133,20,100,,
42,Clergy residence deduction,Déduction pour la résidence d'un membre du clergé,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Other deductions,Autres déductions,2012, 530,751,,,20,17,40,35,40,20,40,47,40,53,30,43,30,39,20,31,30,38,30,35,20,60,30,30,20,37,20,21,20,24,50,54,10,155,,
44,Total deductions before adjustments,Total des déductions avant rajustements,2012, 9930,55743,330,43,470,96,430,163,440,130,390,247,400,282,360,464,350,562,300,445,310,590,280,618,240,625,550,1963,620,2626,720,4209,720,5207,2280,23320,680,11450,70,2705
45,Social benefits repayment,Remboursement des prestations de programmes sociaux,2012, 340,871,,,,,,,,,,,,,,,,,,,,,,,,,60,75,60,92,50,88,30,78,70,321,40,204,,
46,Net income after adjustments,Revenu net après rajustements,2012, 20160,897097,3110,7165,2280,16677,1660,20411,1560,27159,1170,25920,940,25533,740,23548,650,23594,530,21878,490,22388,410,20659,360,19896,710,44292,760,54273,830,66258,790,69475,2430,266721,700,114717,80,26533
47,Canadian Forces personnel and police deduction,Déduction pour le personnel des Forces canadiennes et des forces policières,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Security options deductions,Déductions pour options d'achat de titres,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
