#,Item,Poste,Tax year/D'année d'imposition, Grand total/Total global #,Grand total/Total global $ (000),4999 and under  / French #,4999 and under / French  $ (000),5000 - 9999 #,5000 - 9999 $ (000),10000 - 14999 #,10000 - 14999 $ (000),15000 - 19999 #,15000 - 19999 $ (000),20000 - 24999 #,20000 - 24999 $ (000),25000 - 29999 #,25000 - 29999 $ (000),30000 - 34999 #,30000 - 34999 $ (000),35000 - 39999 #,35000 - 39999 $ (000),40000 - 44999 #,40000 - 44999 $ (000),45000 - 49999 #,45000 - 49999 $ (000),50000 - 54999 #,50000 - 54999 $ (000),55000 - 59999 #,55000 - 59999 $ (000),60000 - 69999 #,60000 - 69999 $ (000),70000 - 79999 #,70000 - 79999 $ (000),80000 - 89999 #,80000 - 89999 $ (000),90000 - 99999 #,90000 - 99999 $ (000),100000 - 149999 #,100000 - 149999 $ (000),150000 - 249999 #,150000 - 249999 $ (000),250000 and over/et plus #,250000 and over/et plus $ (000)
1,Number of taxable returns,Nombre de déclarations imposables,2012, 6833640,,17610,,103540,,207560,,337190,,561280,,534010,,534810,,527830,,509000,,443770,,384550,,336430,,554070,,427420,,333380,,271520,,480100,,177280,,92310,
2,Number of non-taxable returns,Nombre de déclarations non imposables,2012, 3232460,,1104070,,634290,,702060,,582580,,148320,,30390,,12300,,6160,,3740,,2710,,1780,,1080,,1190,,490,,280,,200,,490,,280,,70,
3,Total number of returns,Nombre total de déclarations,2012, 10066110,,1121680,,737820,,909620,,919760,,709610,,564400,,547110,,533990,,512740,,446480,,386330,,337510,,555260,,427900,,333660,,271720,,480580,,177550,,92380,
4,Employment income,Revenus d'emploi,2012, 6516940,286508940,643090,774485,395150,2421786,413100,4037058,381030,5280799,373150,6872003,354020,8112906,357480,9847975,364030,11760382,363880,13475424,336450,14070508,303540,14143551,268790,13726958,444550,25583839,355750,23859826,288640,22207193,242640,21039005,417300,43120405,145330,21173974,69040,25000864
5,Commissions (from employment),Commissions (d'emploi),2012, 195360,5623904,3840,6575,7620,7429,10050,16200,10960,27929,11120,39487,11090,55480,11250,71495,10950,89149,10470,103554,9830,117312,9150,132828,8130,132700,13830,274875,10920,266677,8520,248272,6960,233923,20720,963667,12860,1054633,7100,1781719
6,Other employment income,Autres revenus d'emploi,2012, 931380,4113285,24530,43948,30860,107075,34780,122985,35930,128405,42040,150470,47270,165842,57090,191333,63500,199048,64620,202422,57540,182360,50150,156513,44750,143332,79660,263120,67090,227593,52590,185301,39630,154406,87060,473005,34870,332836,17420,683292
7,Old Age Security pension (OASP),Pension de la sécurité de la vieillesse,2012, 1995300,11151566,42530,24805,49230,166727,167570,718128,389450,2128927,249470,1526726,157720,966198,150770,927507,137410,844238,120160,735098,87800,532683,66530,400087,57000,341845,95870,577649,62430,373975,38620,228525,25100,145613,53440,296348,26150,133454,18060,83036
8,CPP or QPP benefits,Prestations du Régime de pensions du Canada (RPC) ou du Régime de rentes du Québec (RRQ),2012, 2396320,16883680,43020,88350,89540,372685,208960,1013612,384360,2078264,281540,2121601,188380,1492229,182080,1453595,169430,1354942,151840,1206561,116350,934835,89770,728247,77620,628969,127030,1032961,83400,682333,51860,423906,33800,275519,68580,570608,29880,256802,18900,167660
9,Other pensions or superannuation,Autres pensions et pensions de retraite,2012, 1534390,32472507,7680,20599,12820,40339,36100,112464,124210,416763,184770,1030679,140800,1355909,143670,1886292,138640,2301548,128700,2582073,99920,2442939,77920,2216078,67700,2147958,112450,3973546,74780,2954662,46990,1984326,30840,1349926,64090,3012411,27550,1483733,14790,1160262
10,Elected split-pension amount ,Choix du montant de pension fractionné,2012, 470890,5007589,3730,10231,9720,39528,30250,155754,77290,527600,48120,351190,30160,311631,45020,533349,48140,618672,48410,682240,26600,358746,13320,169812,11870,157018,25180,371104,18040,266139,11050,162385,7050,79316,11020,138528,4050,50362,1870,23981
