#,Item,Poste,Tax year/D'année d'imposition, Grand total/Total global #,Grand total/Total global $ (000),4999 and under  / French #,4999 and under / French  $ (000),5000 - 9999 #,5000 - 9999 $ (000),10000 - 14999 #,10000 - 14999 $ (000),15000 - 19999 #,15000 - 19999 $ (000),20000 - 24999 #,20000 - 24999 $ (000),25000 - 29999 #,25000 - 29999 $ (000),30000 - 34999 #,30000 - 34999 $ (000),35000 - 39999 #,35000 - 39999 $ (000),40000 - 44999 #,40000 - 44999 $ (000),45000 - 49999 #,45000 - 49999 $ (000),50000 - 54999 #,50000 - 54999 $ (000),55000 - 59999 #,55000 - 59999 $ (000),60000 - 69999 #,60000 - 69999 $ (000),70000 - 79999 #,70000 - 79999 $ (000),80000 - 89999 #,80000 - 89999 $ (000),90000 - 99999 #,90000 - 99999 $ (000),100000 - 149999 #,100000 - 149999 $ (000),150000 - 249999 #,150000 - 249999 $ (000),250000 and over/et plus #,250000 and over/et plus $ (000)
1,Number of taxable returns,Nombre de déclarations imposables,2012, 83340,,160,,1100,,3670,,6890,,9110,,8750,,8500,,7660,,6890,,5530,,4550,,3630,,5620,,3810,,2200,,1350,,2680,,890,,370,
2,Number of non-taxable returns,Nombre de déclarations non imposables,2012, 28910,,7980,,6720,,5760,,5930,,1430,,670,,200,,90,,60,,30,,10,,10,,10,,,,,,,,,,,,,
3,Total number of returns,Nombre total de déclarations,2012, 112250,,8140,,7810,,9440,,12820,,10540,,9420,,8690,,7750,,6950,,5550,,4570,,3640,,5630,,3820,,2200,,1350,,2680,,890,,370,
4,Employment income,Revenus d'emploi,2012, 76330,2465803,5060,10559,4590,28607,4770,44173,5570,66706,6640,105021,6550,127598,6470,158035,6090,182929,5380,191101,4380,174360,3700,165408,2950,143321,4600,256580,3290,214427,1870,134228,1150,89958,2320,222788,690,88398,280,61603
5,Commissions (from employment),Commissions (d'emploi),2012, 1230,24515,10,3,60,63,80,149,90,187,130,363,110,548,110,937,90,692,80,704,70,761,70,1067,60,1429,70,1806,30,1046,40,1600,30,1466,50,3333,30,3325,20,5034
6,Other employment income,Autres revenus d'emploi,2012, 5190,28765,180,236,260,713,270,728,300,1029,340,1397,360,1863,400,1939,430,2143,380,1988,310,1607,320,1523,260,998,410,2123,260,1417,170,803,130,716,290,2028,90,3106,40,2409
7,Old Age Security pension (OASP),Pension de la sécurité de la vieillesse,2012, 24580,148686,230,403,630,2961,2550,15356,6110,38602,3190,19785,2400,14845,1950,11919,1500,9083,1380,8322,1020,6204,700,4203,610,3643,890,5316,460,2690,280,1673,170,997,290,1535,150,775,80,374
8,CPP or QPP benefits,Prestations du Régime de pensions du Canada (RPC) ou du Régime de rentes du Québec (RRQ),2012, 34940,212445,610,1210,1870,8855,3620,15947,6660,32728,4080,26179,3290,21202,2780,18699,2260,15418,2120,15052,1650,11950,1200,8827,1020,7653,1420,10693,800,6129,500,3725,290,2321,480,3585,190,1525,90,747
9,Other pensions or superannuation,Autres pensions et pensions de retraite,2012, 17150,317099,80,232,170,508,510,1590,1560,5605,2290,14798,1910,19638,1770,24462,1500,27048,1500,31391,1230,31592,890,24054,740,22445,1130,37448,610,22320,410,15542,240,9613,420,18194,150,8117,50,2503
10,Elected split-pension amount ,Choix du montant de pension fractionné,2012, 5610,53661,50,143,150,552,520,2170,690,4432,700,6259,630,6790,740,8367,390,4775,560,6867,210,2282,160,1822,150,1776,270,3719,140,1465,80,647,40,479,90,878,30,177,10,62
11,Universal Child Care Benefit (UCCB),Prestation universelle pour la garde d'enfants (PUGE),2012, 6610,9750,840,1368,500,739,620,852,720,1027,720,1043,630,943,530,757,520,737,400,593,270,399,220,323,170,259,220,328,120,189,40,60,30,36,40,68,,,,
12,Employment Insurance and other benefits,Prestations d'assurance-emploi et autres prestations,2012, 25210,224608,230,776,710,3267,1810,11651,3150,24574,3790,33842,3700,37639,3200,32955,2510,23551,1670,14806,1170,10341,810,7537,590,5716,710,7161,390,3823,260,2498,180,1571,310,2507,,,,
13,Taxable amount of dividends from taxable Canadian corporations,Montant imposable des dividendes,2012, 13760,144000,210,123,220,220,500,592,870,1307,840,1434,900,2231,1020,3158,960,3582,1060,4016,870,4579,800,4388,690,4285,1200,9226,920,8676,640,8140,400,5888,930,23162,480,25726,250,33268
14,Interest and other investment income,Intérêts et autres revenus de placements,2012, 22460,32192,740,505,750,835,1410,1585,2410,2229,2010,2183,1740,2007,1760,2124,1630,1816,1590,1977,1260,1516,1080,1372,930,1329,1530,2047,1050,1804,680,1253,410,1038,880,2175,400,1715,230,2683
15,Net partnership income (Limited or non-active partners only),Revenus nets de société de personnes,2012, 100,174,,,,,,,,,,,,,,,,,,,,,,,,,10,35,,,,,,,10,,20,18,,
16,Net rental income,Revenus nets de location,2012, 3830,8451,110,-34,120,140,180,419,250,356,250,341,260,483,300,443,270,464,280,511,240,543,210,442,220,427,280,655,230,498,160,399,120,149,230,733,100,862,30,619
17,Taxable capital gains,Gains en capital imposables,2012, 6020,45003,120,183,110,112,210,203,380,505,370,493,410,697,450,832,400,670,440,841,370,865,340,940,310,1114,510,1970,410,2248,260,1718,170,1428,380,5095,220,7252,160,17837
18,Registered retirement savings plan income (RRSP),Revenu d'un régime enregistré d'épargne-retraite (REER),2012, 8520,47780,140,200,130,410,300,1028,420,1530,560,2181,610,2361,690,2859,760,3292,800,3651,680,3191,630,3640,520,3019,780,5286,500,3223,310,2529,210,1722,360,4082,80,2183,30,1394
19,Other income,Autres revenus,2012, 13080,54164,510,639,850,1787,980,2073,980,2215,900,2108,940,2194,970,2470,910,2536,920,2523,700,2445,650,2487,550,2118,850,3072,620,2635,430,2299,280,2237,600,6760,290,4173,160,7391
20,Net business income,Revenus nets d'entreprise,2012, 6760,71984,490,-1224,580,2478,670,4045,690,5021,520,5190,500,4694,480,5724,440,4733,390,4317,330,4254,290,4497,220,2830,360,5813,250,4146,150,3088,90,1939,190,5723,70,3298,30,1417
21,Net professional income,Revenus nets de profession libérale,2012, 890,29439,30,-84,50,209,50,287,50,324,40,318,40,382,40,324,40,466,30,281,30,408,30,269,30,597,60,991,50,835,40,772,40,1014,80,3594,90,7273,70,11180
22,Net commission income,Revenus nets de commissions,2012, 560,8314,,,20,43,40,146,30,148,50,290,50,402,30,242,40,446,40,209,30,261,30,513,40,626,30,651,20,534,20,515,20,771,30,1310,10,1098,,
23,Net farming income,Revenus nets d'agriculture,2012, 1860,4895,140,-5492,100,-202,170,-563,190,-167,130,-29,150,35,140,375,100,518,130,799,100,183,90,799,70,824,90,888,60,667,50,554,40,506,60,2084,40,1745,20,1371
24,Net fishing income,Revenus nets de pêche,2012, 2930,52958,50,-448,60,-132,,,240,388,270,1124,390,1933,280,2284,210,2355,180,2887,180,4076,180,4273,130,3657,220,7844,120,4987,80,3830,60,3331,120,7445,20,2391,,
25,Workers' compensation benefits,Indemnités pour accidents du travail,2012, 2240,19179,20,22,60,205,140,752,260,1612,310,2805,340,3152,280,2421,210,1816,180,1718,120,935,90,874,70,630,80,762,40,492,20,192,20,177,30,287,,,,
26,Social assistance payments,Prestations d'assistance sociale,2012, 4250,28461,550,1471,1040,6179,1010,7582,630,4459,480,3733,400,4257,60,312,30,213,20,71,10,89,,,,,,,,,,,,,,,,,,
27,Net federal supplements,Versement net des suppléments fédéraux,2012, 11190,46001,170,280,450,1136,2100,7283,5370,28503,1930,5401,650,2094,220,540,120,284,60,163,30,90,30,68,10,22,20,57,10,25,,,,,,,,,,
28,Total income assessed,Revenu total établi,2012, 111800,4080414,7690,11067,7810,59712,9440,118126,12820,223474,10540,236541,9420,258239,8690,282405,7750,289761,6950,294868,5550,263033,4570,239532,3640,208794,5630,364579,3820,284454,2200,186142,1350,127592,2680,317476,890,163555,370,151064
29,Registered pension plan contributions (RPP),Cotisations à un régime de pension agréé (RPA),2012, 21000,68997,40,33,60,21,110,77,230,154,490,403,820,908,1300,1846,2030,3860,2280,5171,2030,5295,1920,5622,1590,5261,2830,11263,2150,10211,1120,5771,610,3463,1110,7223,230,1794,70,621
30,RRSP deduction,Cotisations à un REER,2012, 19360,90558,50,72,70,86,200,204,370,642,700,1046,1000,1917,1420,2869,1700,3821,1740,4592,1580,5020,1480,5365,1260,5045,2100,9059,1680,8839,1060,6995,680,5410,1530,16095,520,9202,220,4279
31,Deduction for elected split-pension amount,Déduction pour le choix du montant de pension fractionné,2012, 5600,53511,,,,,40,48,210,296,380,886,470,1532,500,2443,530,3649,530,4305,590,5545,400,4268,350,4341,560,7868,340,5066,220,3535,130,2363,240,5083,90,1853,20,423
32,"Annual union, professional, or like dues","Cotisations annuelles syndicales, professionnelles et semblables",2012, 23610,13548,140,18,280,33,380,58,600,101,1170,265,1560,401,1820,615,2280,969,2390,1172,2030,1133,1850,1130,1570,1058,2720,2100,2040,1763,1010,879,570,543,980,995,200,252,40,64
33,Child care expenses,Frais de garde d'enfants,2012, 5500,18911,,,140,208,210,398,400,820,530,1308,610,1787,630,2138,620,2307,500,2082,390,1620,300,1333,260,1066,380,1688,230,1020,80,349,50,204,80,402,20,72,,
34,Business investment loss,Perte au titre d'un placement d'entreprise,2012, 10,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Moving expenses,Frais de déménagement,2012, 540,2001,20,24,40,40,50,90,50,81,60,135,50,105,30,124,40,114,30,132,20,48,20,99,30,150,30,159,30,230,10,112,10,38,10,158,,,,
36,Support payments made,Pension alimentaire payée,2012, 210,2140,,,,,,,,,,,,,,,10,71,20,94,20,157,10,86,20,148,20,180,30,207,,,,,30,496,10,333,,
37,Carrying charges and interest expenses,Frais financiers et frais d'intérêts,2012, 6920,10311,50,50,60,51,140,112,380,175,430,267,440,358,500,363,470,525,540,551,510,600,440,524,350,617,630,782,470,859,380,789,220,501,510,1213,260,923,140,1053
38,Deductions for CPP/QPP contributions on self-employment and other earnings,Déductions pour cotisations au RPC ou au RRQ pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 6660,5458,100,8,490,84,580,183,600,252,580,293,610,327,580,387,490,370,460,380,420,410,370,447,250,340,370,597,210,356,130,240,110,179,190,359,100,183,40,64
39,Deductions for provincial parental insurance plan (PPIP) premiums on self-employment income,Déduction pour cotisations au Régime provincial d'assurance parentale (RPAP) pour le revenu d'un travail indépendant,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Exploration and development expenses,Frais d'exploration et d'aménagement,2012, 50,522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,155,,
41,Other employment expenses,Autres dépenses d'emploi,2012, 2180,9782,,,10,70,,,50,79,80,202,80,128,150,389,160,550,180,628,190,784,180,932,210,1000,230,1093,180,694,110,524,80,377,190,1104,50,528,30,608
42,Clergy residence deduction,Déduction pour la résidence d'un membre du clergé,2012, 140,1492,,,,,,,,,,,,,,,10,104,20,135,10,111,20,231,10,159,20,270,20,209,,,,,,,,,,
43,Other deductions,Autres déductions,2012, 4710,4518,100,46,130,47,310,163,510,264,650,369,630,348,560,323,470,251,340,285,210,133,150,160,130,119,170,338,100,127,70,138,50,366,100,408,30,472,20,161
44,Total deductions before adjustments,Total des déductions avant rajustements,2012, 56570,281912,520,344,1110,650,1730,1438,2770,2908,3940,5220,4480,7872,5010,11649,5340,16632,5100,19527,4460,20892,3810,20198,3100,19315,4960,35442,3490,29583,2000,19521,1240,13531,2430,33552,780,15916,330,7722
45,Social benefits repayment,Remboursement des prestations de programmes sociaux,2012, 2250,5728,,,,,,,,,,,,,,,,,,,,,,,90,29,410,528,460,801,350,822,250,699,470,1630,160,832,70,388
46,Net income after adjustments,Revenu net après rajustements,2012, 111450,3798041,7360,15804,7810,59116,9430,116707,12810,220582,10540,231329,9420,250421,8690,270759,7750,273129,6950,275341,5550,242141,4570,219363,3640,189450,5630,328609,3820,254070,2200,165800,1350,113364,2680,282294,890,146807,370,142954
47,Canadian Forces personnel and police deduction,Déduction pour le personnel des Forces canadiennes et des forces policières,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Security options deductions,Déductions pour options d'achat de titres,2012, 30,431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Other payments deductions,Déduction pour autres paiements,2012, 16900,93630,730,1773,1530,7520,3190,15617,6050,34574,2480,11939,1180,9504,550,3272,350,2313,250,1953,160,1114,120,989,80,673,100,825,60,539,30,208,20,198,30,292,,,,
50,Non-capital losses of other years,Pertes autres que des pertes en capital d'autres années,2012, 110,1012,,,,,,,20,94,10,57,20,125,10,145,,,,,,,,,,,,,,,,,,,,,,,,
51,Net capital losses of other years,Pertes en capital nettes d'autres années,2012, 1280,2424,,,,,30,13,40,31,60,45,70,64,90,131,80,68,90,94,80,91,80,98,70,139,140,211,90,148,70,149,50,125,100,283,70,250,50,473
52,Capital gains deduction,Déduction pour gains en capital,2012, 360,23600,,,,,,,,,10,48,20,127,20,121,10,95,20,174,10,160,20,224,20,291,20,490,30,869,20,761,20,658,60,3805,60,5846,40,9799
53,Northern residents deductions,Déductions pour les habitants de régions éloignées,2012, 100,207,,,,,,,,,,,,,,,,,,,,,,,,,,,10,33,,,,,30,79,,,,
54,Additional deductions,Déductions supplémentaires,2012, 990,4463,10,21,20,79,60,158,160,803,190,811,160,676,110,498,80,338,50,421,40,271,10,32,20,96,30,56,20,51,,,,,,,,,,
55,Farming/fishing losses of prior years,Pertes provenant de la pêche et pertes agricoles d'autres années,2012, 120,1506,,,,,,,10,47,10,136,20,84,10,105,,,,,,,,,,,,,,,,,,,,,,,,
56,Total deductions from net income,Total des déductions du revenu net,2012, 19420,127447,740,1890,1560,7623,3270,15840,6180,35577,2640,13037,1400,10583,760,4278,520,2923,410,2761,300,1793,230,1551,200,1327,290,1886,210,1798,130,1450,100,1101,230,4844,140,6260,100,10928
57,Taxable income assessed,Revenu imposable établi,2012, 109920,3671118,7010,14136,7310,51509,9100,100880,12670,185170,10450,218334,9340,239838,8680,266506,7750,270210,6950,272581,5550,240349,4570,217845,3640,188128,5630,326723,3810,252272,2200,164350,1350,112264,2680,277450,890,140547,370,132026
58,Basic personal amount,Montant personnel de base,2012, 112250,1209536,8140,85380,7810,83542,9440,101532,12820,138393,10540,113870,9420,101827,8690,93977,7750,83807,6950,75235,5550,60042,4570,49413,3640,39341,5630,60917,3820,41264,2200,23815,1350,14571,2680,29034,890,9615,370,3959
59,Age amount,Montant en raison de l'âge,2012, 23960,148042,240,1510,640,4260,2560,17163,6120,41085,3200,21466,2400,16125,1950,13076,1510,9575,1380,7967,1020,5464,710,3347,610,2559,890,2877,460,995,170,326,70,133,,,,,,
60,Spouse or common-law partner amount,Montant pour époux ou conjoint de fait,2012, 6170,38197,210,1771,200,1308,440,2738,690,3279,670,3749,640,3769,490,3118,420,2472,340,2006,330,2033,290,1827,210,1342,320,2185,260,1664,150,1050,100,767,280,2077,90,672,50,370
61,Amount for eligible dependant,Montant pour personne à charge admissible,2012, 4780,48607,140,1335,230,2286,440,4585,660,6927,710,7164,550,5677,400,4129,370,3786,290,2906,210,2040,160,1577,130,1301,180,1792,140,1412,60,599,40,388,60,599,,,,
62,Amount for children 17 and under,Montant pour enfants âgés de 17 ans ou moins,2012, 15620,59855,380,1323,400,1349,670,2285,1110,3989,1270,4680,1270,4824,1180,4486,1260,4769,1150,4335,1010,3863,880,3440,740,2888,1250,4913,1000,4057,570,2412,360,1559,790,3201,240,1038,100,446
63,Amount for infirm dependants age 18 or older,Montant pour personnes à charge âgées de 18 ans ou plus et ayant une déficience,2012, 130,697,,,,,10,59,,,10,65,20,79,,,10,65,,,,,,,,,10,51,10,47,,,,,,,,,,
64,CPP or QPP contributions through employment,Cotisations d'employé au RPC ou au RRQ,2012, 66620,86406,1000,139,3300,550,4030,1309,5040,2330,6210,4011,6120,5114,6100,6601,5760,7861,5070,8350,4120,7708,3510,7209,2780,5855,4400,9392,3160,6892,1800,3919,1100,2406,2210,4841,640,1383,250,535
65,CPP or QPP contributions on self-employment and other earnings,Cotisations au RPC ou au RRQ pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 6660,5458,100,8,490,84,580,183,600,252,580,293,610,327,580,387,490,370,460,380,420,410,370,447,250,340,370,597,210,356,130,240,110,179,190,359,100,183,40,64
66,Employment Insurance premiums,Cotisations d'employé à l'assurance-emploi,2012, 70320,35092,2470,237,4210,520,4410,812,5330,1242,6450,1940,6390,2352,6270,2865,5890,3295,5180,3425,4230,3078,3570,2714,2820,2185,4450,3489,3120,2506,1780,1424,1070,869,2040,1634,480,378,160,130
67,PPIP premiums paid,Cotisations au RPAP,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PPIP premiums payable on employment income,Cotisations au RPAP à payer sur le revenu d'emploi,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PPIP premiums payable on self-employment income,Cotisations au RPAP à payer sur le revenu d'un travail indépendant,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Volunteer firefighters' amount,Montant pour les pompiers volontaires,2012, 850,2541,10,39,,,20,48,30,90,30,99,50,156,90,261,80,249,100,285,80,246,60,189,70,195,90,267,50,141,40,108,20,66,30,75,,,,
71,Canada employment amount,Montant canadien pour emploi,2012, 76350,81777,3670,3612,4620,4925,4820,5134,5650,6050,6760,7263,6700,7211,6640,7140,6260,6724,5520,5948,4460,4808,3760,4064,3010,3240,4700,5073,3330,3614,1910,2066,1180,1260,2360,2559,710,770,290,317
72,Public transit amount,Montant pour le transport en commun,2012, 590,178,50,13,100,19,90,22,60,16,60,20,30,11,40,14,20,6,30,10,20,8,20,6,10,3,40,17,10,3,,,,,,,,,,
73,Children's fitness amount,Montant pour la condition physique des enfants,2012, 7250,4064,50,22,50,22,90,43,210,92,310,134,380,178,480,209,610,308,600,303,580,315,480,265,450,251,830,487,700,433,400,259,270,173,530,368,180,142,80,57
74,Children's arts amount,Montant pour les activités artistiques des enfants,2012, 2000,857,20,8,10,4,20,7,50,24,70,24,90,32,110,42,130,49,150,57,150,58,130,56,110,41,240,98,210,92,110,55,110,51,190,102,70,42,30,15
75,Home buyers' amount,Montant pour l'achat d'une habitation,2012, 720,3267,,,,,,,20,104,40,167,50,235,80,383,90,436,90,444,70,304,60,247,40,174,60,267,30,148,20,89,10,55,20,92,,,,
76,Pension income amount,Montant pour revenu de pension,2012, 20590,39167,110,144,290,455,950,1525,2080,3473,2740,5250,2270,4450,2160,4261,1690,3333,1730,3415,1350,2669,970,1903,820,1622,1260,2482,710,1375,460,907,270,531,480,930,180,335,60,105
77,Caregiver amount,Montant pour aidants naturels,2012, 780,3846,,,,,20,77,40,196,90,368,100,444,90,411,70,326,60,295,50,248,50,258,40,176,70,353,40,211,30,137,20,85,20,144,,,,
78,Disability amount ,Montant pour personnes handicapées,2012, 4330,32619,260,1998,440,3310,540,4053,580,4379,570,4265,450,3407,350,2597,260,1954,230,1743,160,1200,120,913,100,732,110,815,60,438,30,256,20,174,30,219,,,,
79,Disability amount transferred from a dependant,Montant pour personnes handicapées transféré d'une personne à charge,2012, 1590,15562,,,20,196,40,383,90,821,140,1291,150,1424,140,1265,160,1614,130,1263,130,1333,90,874,80,795,110,1113,100,1015,60,726,30,332,60,632,30,279,,
80,Interest paid on student loans,Intérêts payés sur des prêts étudiants,2012, 4610,2739,30,11,40,24,110,44,290,123,440,203,510,233,540,309,510,280,410,227,370,275,300,210,270,195,390,332,190,126,70,36,40,31,80,65,,,,
81,"Tuition, education, and textbook amounts ","Frais de scolarité, montant relatif aux études et montant pour manuels",2012, 7140,37339,,,,,820,942,1290,5159,1070,6623,790,5210,630,4009,500,3322,420,2604,350,2394,270,1580,230,1178,310,1843,210,863,100,581,50,308,80,442,20,200,10,70
82,"Tuition, education, and textbook amounts transferred from a child","Frais de scolarité, montant relatif aux études et montant pour manuels transférés d'un enfant",2012, 3210,16954,,,,,,,40,172,80,380,130,581,170,845,210,1022,240,1248,240,1159,250,1268,210,1088,410,2169,340,1800,220,1209,160,895,360,2077,120,779,40,220
83,Amounts transferred from spouse or common-law partner,Montants transférés d'un époux ou conjoint de fait,2012, 5570,30201,310,1238,220,899,750,3862,1080,6323,740,4450,610,3455,440,2377,350,1841,230,1279,160,899,130,747,100,555,140,735,110,565,50,283,40,179,50,294,30,185,10,35
