#,Item,Poste,Tax year/D'année d'imposition, Grand total/Total global #,Grand total/Total global $ (000),4999 and under  / French #,4999 and under / French  $ (000),5000 - 9999 #,5000 - 9999 $ (000),10000 - 14999 #,10000 - 14999 $ (000),15000 - 19999 #,15000 - 19999 $ (000),20000 - 24999 #,20000 - 24999 $ (000),25000 - 29999 #,25000 - 29999 $ (000),30000 - 34999 #,30000 - 34999 $ (000),35000 - 39999 #,35000 - 39999 $ (000),40000 - 44999 #,40000 - 44999 $ (000),45000 - 49999 #,45000 - 49999 $ (000),50000 - 54999 #,50000 - 54999 $ (000),55000 - 59999 #,55000 - 59999 $ (000),60000 - 69999 #,60000 - 69999 $ (000),70000 - 79999 #,70000 - 79999 $ (000),80000 - 89999 #,80000 - 89999 $ (000),90000 - 99999 #,90000 - 99999 $ (000),100000 - 149999 #,100000 - 149999 $ (000),150000 - 249999 #,150000 - 249999 $ (000),250000 and over/et plus #,250000 and over/et plus $ (000)
1,Number of taxable returns,Nombre de déclarations imposables,2012, 547650,,860,,4600,,14570,,24130,,34440,,39670,,42750,,42660,,44720,,36810,,31860,,28400,,47010,,36930,,28940,,20830,,47490,,15220,,5760,
2,Number of non-taxable returns,Nombre de déclarations non imposables,2012, 266220,,83180,,42550,,46040,,50660,,22680,,10020,,4860,,2720,,1430,,780,,430,,240,,360,,120,,50,,30,,50,,20,,,
3,Total number of returns,Nombre total de déclarations,2012, 813860,,84040,,47140,,60610,,74790,,57120,,49690,,47610,,45380,,46150,,37590,,32290,,28640,,47370,,37050,,28990,,20860,,47530,,15240,,5770,
4,Employment income,Revenus d'emploi,2012, 550320,23784349,48070,60864,28140,174201,30510,300593,29970,411440,30560,549107,31910,714301,32160,874467,33050,1050077,33290,1187841,29200,1176678,25670,1151168,23380,1157805,39130,2190621,32150,2114051,25600,1904094,18670,1558604,42230,4296609,12480,1726569,4140,1185259
5,Commissions (from employment),Commissions (d'emploi),2012, 13520,399926,160,195,380,400,610,1022,730,1958,810,3098,840,4781,820,6083,840,7271,790,8243,800,9412,650,9376,620,10812,1090,22864,840,22656,640,22977,540,21137,1360,80268,670,79310,320,88062
6,Other employment income,Autres revenus d'emploi,2012, 62720,232109,1730,2848,2190,5829,2610,7856,2760,8636,2920,11320,2970,12300,3100,11784,3150,12540,3190,11983,2840,10700,2800,8337,2860,7315,5360,13572,5630,9871,5490,8115,3050,6429,7040,18655,2290,20064,740,43958
7,Old Age Security pension (OASP),Pension de la sécurité de la vieillesse,2012, 160380,975048,1860,4276,4410,21455,12900,76036,35140,221418,21400,135067,14120,88177,12550,78232,10060,62578,10160,62854,6850,41985,5300,32270,4330,26406,7150,43516,3980,23892,2420,14376,1550,9133,3320,18712,1730,9080,1170,5583
8,CPP or QPP benefits,Prestations du Régime de pensions du Canada (RPC) ou du Régime de rentes du Québec (RRQ),2012, 200380,1297074,3880,8877,7380,27188,16570,72722,35840,180518,24140,167345,16970,120560,15330,112053,12890,96151,13300,98162,9490,70909,7420,56374,6180,47748,9960,76152,5880,45189,3770,29092,2450,19006,5250,40343,2320,17940,1380,10745
9,Other pensions or superannuation,Autres pensions et pensions de retraite,2012, 121190,2040588,580,1613,1280,2906,4440,11314,12040,36040,15770,85751,12180,110215,11700,143298,9890,159464,10380,197283,7320,166966,5870,151722,5000,140973,7980,233061,4760,150295,3130,107285,2030,69935,4280,155619,1690,67374,890,49476
10,Elected split-pension amount ,Choix du montant de pension fractionné,2012, 29790,280840,320,1205,500,2136,1790,9943,2050,13297,3360,25991,3210,30837,3650,38709,2350,27675,3820,44842,1640,16772,1080,10679,860,8918,1690,18334,960,10032,710,7867,460,4063,870,6626,330,2261,140,655
