#,Item,Poste,Tax year/D'année d'imposition, Grand total/Total global #,Grand total/Total global $ (000),4999 and under  / French #,4999 and under / French  $ (000),5000 - 9999 #,5000 - 9999 $ (000),10000 - 14999 #,10000 - 14999 $ (000),15000 - 19999 #,15000 - 19999 $ (000),20000 - 24999 #,20000 - 24999 $ (000),25000 - 29999 #,25000 - 29999 $ (000),30000 - 34999 #,30000 - 34999 $ (000),35000 - 39999 #,35000 - 39999 $ (000),40000 - 44999 #,40000 - 44999 $ (000),45000 - 49999 #,45000 - 49999 $ (000),50000 - 54999 #,50000 - 54999 $ (000),55000 - 59999 #,55000 - 59999 $ (000),60000 - 69999 #,60000 - 69999 $ (000),70000 - 79999 #,70000 - 79999 $ (000),80000 - 89999 #,80000 - 89999 $ (000),90000 - 99999 #,90000 - 99999 $ (000),100000 - 149999 #,100000 - 149999 $ (000),150000 - 249999 #,150000 - 249999 $ (000),250000 and over/et plus #,250000 and over/et plus $ (000)
1,Number of taxable returns,Nombre de déclarations imposables,2012, 19970,,30,,150,,340,,770,,1040,,1210,,1230,,1390,,1270,,1210,,1130,,1160,,2210,,1800,,1490,,1100,,1800,,510,,130,
2,Number of non-taxable returns,Nombre de déclarations non imposables,2012, 6930,,1550,,1170,,1350,,1330,,750,,340,,190,,100,,50,,40,,20,,,,20,,,,,,,,,,,,,
3,Total number of returns,Nombre total de déclarations,2012, 26910,,1570,,1330,,1690,,2100,,1790,,1560,,1420,,1490,,1320,,1250,,1150,,1170,,2230,,1800,,1500,,1100,,1800,,510,,130,
4,Employment income,Revenus d'emploi,2012, 21510,1015266,970,1839,960,5900,1090,10258,1180,15041,1210,19732,1230,25253,1140,28799,1210,36530,1120,39366,1070,42881,1000,45049,1040,52545,2010,116537,1660,113034,1390,107813,1030,88870,1660,170796,440,60955,100,34069
5,Commissions (from employment),Commissions (d'emploi),2012, 240,9086,,,,,20,24,10,47,,,10,127,10,83,20,212,10,123,20,307,10,134,,,20,543,20,448,10,507,,,30,1406,20,2655,,
6,Other employment income,Autres revenus d'emploi,2012, 1280,9235,,,50,116,60,168,70,205,60,145,60,263,50,296,70,648,70,544,80,798,60,733,60,626,120,1325,90,1029,80,559,60,454,130,511,60,681,,
7,Old Age Security pension (OASP),Pension de la sécurité de la vieillesse,2012, 3440,19937,30,47,70,285,250,1436,640,3849,450,2698,250,1471,230,1435,230,1377,160,953,160,996,130,801,120,701,210,1223,130,749,110,634,70,410,120,607,40,167,20,97
8,CPP or QPP benefits,Prestations du Régime de pensions du Canada (RPC) ou du Régime de rentes du Québec (RRQ),2012, 4730,32414,80,193,140,556,380,1874,700,3563,530,3538,320,2242,320,2311,300,2309,230,1811,240,1883,200,1624,190,1538,340,2652,220,1749,160,1398,120,957,190,1433,70,531,30,254
9,Other pensions or superannuation,Autres pensions et pensions de retraite,2012, 2770,55203,,,,,70,246,180,825,260,1491,210,2147,200,2642,230,3573,160,3133,180,3936,150,3589,140,3705,250,7158,170,5747,130,3996,90,2919,200,6280,80,2923,20,795
10,Elected split-pension amount ,Choix du montant de pension fractionné,2012, 710,6862,,,10,44,30,185,30,237,60,523,50,580,50,526,70,807,60,685,50,651,30,339,30,295,60,507,50,378,40,308,30,296,40,371,20,93,,
11,Universal Child Care Benefit (UCCB),Prestation universelle pour la garde d'enfants (PUGE),2012, 1720,2542,250,404,120,169,120,184,150,207,150,208,140,224,110,158,130,186,80,117,90,127,80,114,70,90,90,138,60,86,40,64,20,34,20,29,,,,
12,Employment Insurance and other benefits,Prestations d'assurance-emploi et autres prestations,2012, 3410,28817,30,65,50,193,130,965,240,1838,320,3081,380,3802,350,3319,390,3763,340,2999,240,1962,230,1910,170,1377,250,1683,130,930,70,390,50,292,40,211,,,,
13,Taxable amount of dividends from taxable Canadian corporations,Montant imposable des dividendes,2012, 3930,50214,60,55,50,45,70,102,120,179,140,270,130,459,170,606,170,624,160,749,180,816,190,1237,190,1219,430,2923,340,2430,310,2802,290,3041,580,9173,260,8396,100,15090
14,Interest and other investment income,Intérêts et autres revenus de placements,2012, 5200,8226,140,68,110,87,170,128,260,200,300,277,260,325,250,281,250,273,240,288,230,306,240,282,250,341,500,725,430,538,390,666,310,338,570,1065,220,1124,80,915
15,Net partnership income (Limited or non-active partners only),Revenus nets de société de personnes,2012, 50,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Net rental income,Revenus nets de location,2012, 1860,7631,30,-64,40,128,40,141,50,183,50,207,70,312,70,209,70,157,70,249,70,247,80,235,100,188,190,757,170,739,170,354,150,485,310,1354,100,813,30,937
17,Taxable capital gains,Gains en capital imposables,2012, 1570,11452,20,19,30,31,30,18,40,25,70,97,70,196,70,189,80,111,60,191,70,100,60,181,80,236,170,327,130,541,120,340,130,433,230,1885,110,1919,40,4614
18,Registered retirement savings plan income (RRSP),Revenu d'un régime enregistré d'épargne-retraite (REER),2012, 2280,13650,,,30,112,60,218,70,225,100,562,90,401,110,499,130,772,130,496,130,736,110,684,140,603,260,1326,230,1069,200,1011,160,1006,230,2470,50,913,,
19,Other income,Autres revenus,2012, 3940,34869,110,142,160,338,220,643,280,748,270,802,210,639,210,624,210,558,190,491,200,577,150,457,180,645,320,1193,240,993,230,877,190,1184,360,4141,170,4186,50,15630
20,Net business income,Revenus nets d'entreprise,2012, 3220,46975,180,-1534,170,666,190,1006,230,1861,210,1968,180,1791,200,2259,190,2553,170,2462,150,2290,140,2265,150,2056,250,4156,170,2848,200,4350,140,2916,210,7625,60,3743,20,1694
21,Net professional income,Revenus nets de profession libérale,2012, 380,11590,,,20,114,20,101,20,85,20,107,20,125,20,298,20,215,20,449,20,344,10,278,20,515,30,366,30,686,20,425,20,515,50,2332,20,3054,,
22,Net commission income,Revenus nets de commissions,2012, 100,1287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,251,,,,
23,Net farming income,Revenus nets d'agriculture,2012, 170,-1171,,,10,20,,,,,10,-74,,,,,,,,,,,10,-120,,,20,-93,10,-69,10,6,,,10,-36,,,,
24,Net fishing income,Revenus nets de pêche,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Workers' compensation benefits,Indemnités pour accidents du travail,2012, 670,5952,,,10,31,20,71,30,147,30,179,40,259,50,377,60,573,40,410,50,524,40,614,50,287,80,799,70,618,40,450,30,179,40,303,10,82,,
26,Social assistance payments,Prestations d'assistance sociale,2012, 2270,17296,120,310,220,1108,390,3082,660,4829,340,3082,200,2044,110,1084,80,760,50,415,30,159,30,112,10,36,30,133,10,66,,,,,,,,,,
27,Net federal supplements,Versement net des suppléments fédéraux,2012, 1000,4630,10,22,20,50,120,409,480,2612,260,1095,40,187,30,112,10,44,10,34,,,,,,,,,,,,,,,,,,,,
28,Total income assessed,Revenu total établi,2012, 26870,1392310,1540,1658,1330,10066,1690,21248,2100,36948,1790,40127,1560,42821,1420,46108,1490,56074,1320,56033,1250,59594,1150,60555,1170,67148,2230,144471,1800,134745,1500,127100,1100,104459,1800,212264,510,92312,130,78580
29,Registered pension plan contributions (RPP),Cotisations à un régime de pension agréé (RPA),2012, 6790,28752,,,,,20,16,30,33,70,64,80,95,130,168,220,335,230,420,330,705,350,830,460,1365,1080,3826,970,4157,890,4540,660,3778,990,6377,230,1821,20,212
30,RRSP deduction,Cotisations à un REER,2012, 6940,42010,20,16,30,46,40,59,80,111,120,228,150,267,220,511,250,679,290,876,360,1063,370,1219,400,1657,900,3710,830,4063,780,4811,600,4237,1100,11131,360,5709,70,1616
31,Deduction for elected split-pension amount,Déduction pour le choix du montant de pension fractionné,2012, 700,6806,,,,,,,10,15,10,23,20,54,30,92,50,182,40,208,40,318,50,373,50,430,90,874,70,930,50,659,40,476,100,1239,40,792,10,131
32,"Annual union, professional, or like dues","Cotisations annuelles syndicales, professionnelles et semblables",2012, 7410,5457,40,4,90,10,110,16,150,28,180,35,200,47,240,71,290,97,340,147,370,186,400,220,490,318,1080,835,980,890,880,903,630,701,780,804,150,139,10,6
33,Child care expenses,Frais de garde d'enfants,2012, 1250,4539,,,30,57,40,81,40,68,60,146,70,256,70,237,90,331,90,310,90,351,90,328,90,363,170,664,110,518,80,331,50,203,50,202,10,55,,
34,Business investment loss,Perte au titre d'un placement d'entreprise,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Moving expenses,Frais de déménagement,2012, 490,1595,,,20,31,20,32,50,81,40,52,40,77,50,137,40,106,30,86,20,43,20,63,20,36,50,266,20,135,20,71,10,45,30,200,10,115,,
36,Support payments made,Pension alimentaire payée,2012, 50,525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Carrying charges and interest expenses,Frais financiers et frais d'intérêts,2012, 3770,2914,40,13,40,21,70,18,100,23,140,59,150,42,170,85,190,73,190,104,220,81,220,79,220,96,460,271,350,137,310,284,250,262,450,445,160,397,60,423
38,Deductions for CPP/QPP contributions on self-employment and other earnings,Déductions pour cotisations au RPC ou au RRQ pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 1920,1787,20,1,130,22,140,42,180,79,160,92,130,83,150,107,140,123,130,130,120,119,100,113,80,104,110,158,60,102,70,127,40,80,100,189,40,86,10,30
39,Deductions for provincial parental insurance plan (PPIP) premiums on self-employment income,Déduction pour cotisations au Régime provincial d'assurance parentale (RPAP) pour le revenu d'un travail indépendant,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Exploration and development expenses,Frais d'exploration et d'aménagement,2012, 90,886,,,,,,,,,,,,,,,,,,,,,,,,,10,12,,,,,,,20,52,20,155,10,548
41,Other employment expenses,Autres dépenses d'emploi,2012, 590,2720,,,,,,,,,10,26,10,26,20,31,20,53,30,42,30,72,40,83,40,85,80,204,80,284,50,232,40,119,80,434,40,464,10,554
42,Clergy residence deduction,Déduction pour la résidence d'un membre du clergé,2012, 30,456,,,,,,,,,,,,,,,,,,,,,,,,,10,155,,,,,,,,,,,,
43,Other deductions,Autres déductions,2012, 740,3530,20,14,20,9,,,40,24,60,59,70,33,60,30,60,48,60,32,40,38,40,22,30,38,60,45,40,43,40,43,10,20,30,151,10,36,,
44,Total deductions before adjustments,Total des déductions avant rajustements,2012, 15820,102105,160,91,310,205,380,278,530,470,620,791,650,1024,730,1499,830,2109,820,2443,900,3070,880,3401,930,4511,1890,11059,1570,11375,1370,12127,1010,9944,1660,21474,470,9836,110,6398
45,Social benefits repayment,Remboursement des prestations de programmes sociaux,2012, 640,1425,,,,,,,,,,,,,,,,,,,,,,,30,10,140,163,130,151,110,184,80,184,110,472,30,167,20,93
46,Net income after adjustments,Revenu net après rajustements,2012, 26770,1290297,1440,3067,1330,9861,1690,20969,2100,36479,1790,39336,1560,41806,1420,44609,1490,53966,1320,53598,1250,56524,1150,57153,1170,62627,2230,133249,1800,123218,1500,114788,1100,94330,1800,190318,510,82308,130,72089
47,Canadian Forces personnel and police deduction,Déduction pour le personnel des Forces canadiennes et des forces policières,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Security options deductions,Déductions pour options d'achat de titres,2012, 20,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Other payments deductions,Déduction pour autres paiements,2012, 3470,27908,130,352,250,1221,490,3561,880,7589,540,4356,260,2490,170,1573,140,1377,100,860,80,705,70,733,60,324,100,946,70,684,50,465,30,218,40,336,,,,
50,Non-capital losses of other years,Pertes autres que des pertes en capital d'autres années,2012, 30,282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Net capital losses of other years,Pertes en capital nettes d'autres années,2012, 360,568,,,,,,,,,,,10,7,10,6,20,6,10,6,20,41,20,29,10,56,40,33,30,39,20,31,40,23,60,75,30,117,10,68
52,Capital gains deduction,Déduction pour gains en capital,2012, 30,1893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Northern residents deductions,Déductions pour les habitants de régions éloignées,2012, 18100,91353,130,73,210,292,460,1083,790,2381,980,3420,1000,3894,1010,4365,1110,5073,1010,4798,1050,4988,990,5089,1010,5327,2010,10985,1650,9503,1400,8354,1030,6485,1690,11355,470,3205,120,685
54,Additional deductions,Déductions supplémentaires,2012, 130,361,,,,,,,20,29,20,30,10,55,10,55,10,19,,,,,,,,,,,,,,,,,,,,,,
55,Farming/fishing losses of prior years,Pertes provenant de la pêche et pertes agricoles d'autres années,2012, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Total deductions from net income,Total des déductions du revenu net,2012, 20160,122547,240,426,430,1514,850,4686,1430,10007,1270,7816,1120,6500,1090,6038,1170,6497,1030,5669,1080,5784,1020,5936,1020,5744,2030,12047,1660,10405,1400,8896,1040,6825,1700,12164,470,3477,120,2115
57,Taxable income assessed,Revenu imposable établi,2012, 26320,1168046,1380,2680,1250,8389,1570,16331,1970,26564,1760,31542,1540,35329,1420,38573,1490,47470,1310,47935,1250,50740,1150,51222,1170,56889,2220,121213,1800,112813,1500,105892,1100,87505,1800,178154,510,78832,130,69975
58,Basic personal amount,Montant personnel de base,2012, 26910,290276,1570,16770,1330,14148,1690,18088,2100,22623,1790,19273,1560,16801,1420,15369,1490,16140,1320,14263,1250,13571,1150,12470,1170,12638,2230,24080,1800,19483,1500,16222,1100,11926,1800,19447,510,5561,130,1402
59,Age amount,Montant en raison de l'âge,2012, 3180,18146,40,225,70,456,250,1677,640,4320,450,2998,250,1700,240,1576,230,1461,160,924,160,822,130,580,120,447,220,610,130,246,60,66,20,24,,,,,,
60,Spouse or common-law partner amount,Montant pour époux ou conjoint de fait,2012, 1280,9412,30,238,30,227,40,263,70,483,90,601,80,639,90,708,70,497,80,621,50,397,50,405,60,426,100,648,90,653,90,659,70,526,140,1050,40,278,10,92
61,Amount for eligible dependant,Montant pour personne à charge admissible,2012, 1290,13246,40,375,40,424,60,671,100,1094,110,1138,100,988,100,1035,80,786,60,590,60,616,70,705,70,664,130,1310,110,1109,60,612,40,400,60,603,,,,
62,Amount for children 17 and under,Montant pour enfants âgés de 17 ans ou moins,2012, 3940,14382,100,383,70,263,100,349,170,539,190,681,190,709,200,737,200,727,190,690,170,661,190,639,190,674,400,1416,340,1221,330,1199,270,1012,470,1808,130,536,30,137
