#,Item,Poste,Tax year/D'année d'imposition, Grand total/Total global #,Grand total/Total global $ (000),Employment/Emploi # ,Employment/Emploi $ (000),Fishing and Farming/ Pêche et Agriculture #,Fishing and Farming/ Pêche et Agriculture $ (000),Professional income/Professions libérales #,Professional income/Professions libérales $ (000),Sales (self-employed)/Ventes (travail indép.) #,Sales (self-employed)/Ventes (travail indép.) $ (000),Proprietorships/Partnerships/Entreprises indiv./Soc. de pers. #,Proprietorships/Partnerships/Entreprises indiv./Soc. de pers. $ (000),Investment/Placement #,Investment/Placement $ (000),Pension/Pension #,Pension/Pension $ (000),Benefit/Bénéficiaire #,Benefit/Bénéficiaire $ (000),Others/Autre #,Others/Autre $ (000)
1,Number of taxable returns,Nombre de déclarations imposables,2012, 17721540,,12107320,,138420,,161890,,90400,,932490,,769330,,2934260,,299410,,288020,
2,Number of non-taxable returns,Nombre de déclarations non imposables,2012, 8978710,,3603210,,59780,,24930,,20090,,273650,,444460,,2125720,,1994740,,432140,
3,Total number of returns,Nombre total de déclarations,2012, 26700250,,15710530,,198190,,186830,,110480,,1206140,,1213790,,5059980,,2294140,,720160,
4,Employment income,Revenus d'emploi,2012, 17603500,749413403,15565780,722143240,54990,1465429,40810,949635,19800,206743,248180,3229450,389750,12068586,504740,3914479,580730,3010346,198750,2425494
5,Commissions (from employment),Commissions (d'emploi),2012, 535440,13807327,502260,13430223,620,18853,580,3244,1340,12745,6170,102541,6400,167727,5610,21825,8590,13843,3860,36326
6,Other employment income,Autres revenus d'emploi,2012, 2325220,9881893,1542500,8677163,6240,19190,9680,34069,3900,6990,39030,105684,61380,307093,581740,578349,44700,61162,36050,92193
7,Old Age Security pension (OASP),Pension de la sécurité de la vieillesse,2012, 5271680,30349343,326610,1419630,46320,282029,19490,98419,9410,49182,77760,384398,292760,1583334,4000740,24650834,432540,1591620,66040,289897
8,CPP or QPP benefits,Prestations du Régime de pensions du Canada (RPC) ou du Régime de rentes du Québec (RRQ),2012, 6559540,43695590,748040,4545215,58890,337396,23630,191153,14350,97786,124480,697059,360230,2324855,4691710,33575574,384270,978332,153960,948220
9,Other pensions or superannuation,Autres pensions et pensions de retraite,2012, 3996290,78734028,306160,5243814,24850,292040,10780,297164,4350,65069,39690,643135,184240,3219873,3323670,67790550,38740,178804,63820,1003579
10,Elected split-pension amount ,Choix du montant de pension fractionné,2012, 1146980,11999106,192470,1210993,7130,43492,4420,34480,2450,18082,21720,167674,56660,420104,832870,9939364,7220,37454,22050,127463
11,Universal Child Care Benefit (UCCB),Prestation universelle pour la garde d'enfants (PUGE),2012, 1703650,2554064,871430,1219703,10510,18773,13930,21237,8820,13100,112790,170253,58470,92892,7000,8871,593860,970727,26860,38507
12,Employment Insurance and other benefits,Prestations d'assurance-emploi et autres prestations,2012, 2537000,17019520,1864330,10008582,21990,264870,4550,31651,2320,12617,35600,197455,35020,260249,65360,351240,472250,5658961,35600,233896
13,Taxable amount of dividends from taxable Canadian corporations,Montant imposable des dividendes,2012, 4094130,62893371,1772160,9301495,69870,373903,47790,595434,20130,104671,121950,675936,748110,47755428,1162100,3597735,53170,50557,98840,438213
14,Interest and other investment income,Intérêts et autres revenus de placements,2012, 6602360,14945886,2761650,3077950,86720,221276,72190,234236,29470,37173,235550,320730,743470,6125065,2330730,4496974,178860,119140,163720,313342
15,Net partnership income (Limited or non-active partners only),Revenus nets de société de personnes,2012, 104360,233941,37910,-6616,1440,-902,4220,40689,840,-603,3080,7725,38150,188853,16180,1978,270,,2270,2817
16,Net rental income,Revenus nets de location,2012, 1457720,5125518,693240,412080,13190,60063,15890,26205,12530,17283,89900,203206,408760,4069694,186980,310652,19200,10265,18040,16070
17,Taxable capital gains,Gains en capital imposables,2012, 2055300,17245600,816630,2144374,38590,419373,26180,154004,10670,39421,68420,315633,358680,12914129,648970,943357,26960,19157,60200,296152
