#,Item,Poste,Tax year/D'année d'imposition, Grand total/Total global #,Grand total/Total global $ (000),Employment/Emploi # ,Employment/Emploi $ (000),Fishing and Farming/ Pêche et Agriculture #,Fishing and Farming/ Pêche et Agriculture $ (000),Professional income/Professions libérales #,Professional income/Professions libérales $ (000),Sales (self-employed)/Ventes (travail indép.) #,Sales (self-employed)/Ventes (travail indép.) $ (000),Proprietorships/Partnerships/Entreprises indiv./Soc. de pers. #,Proprietorships/Partnerships/Entreprises indiv./Soc. de pers. $ (000),Investment/Placement #,Investment/Placement $ (000),Pension/Pension #,Pension/Pension $ (000),Benefit/Bénéficiaire #,Benefit/Bénéficiaire $ (000),Others/Autre #,Others/Autre $ (000)
1,Number of taxable returns,Nombre de déclarations imposables,2012, 2067250,,1554920,,30090,,10440,,7640,,92210,,130640,,193970,,20940,,26420,
2,Number of non-taxable returns,Nombre de déclarations non imposables,2012, 812730,,369800,,14840,,820,,1320,,15380,,44730,,161140,,166230,,38470,
3,Total number of returns,Nombre total de déclarations,2012, 2879990,,1924720,,44930,,11250,,8960,,107590,,175380,,355110,,187160,,64890,
4,Employment income,Revenus d'emploi,2012, 2130650,119174708,1912330,114995481,11100,373119,2840,82856,2050,23951,26510,399154,70370,2365094,39720,370050,46460,226567,19270,338437
5,Commissions (from employment),Commissions (d'emploi),2012, 71240,2322835,67830,2262680,120,5976,60,208,140,1600,670,12821,870,30858,420,1831,730,1292,420,5571
6,Other employment income,Autres revenus d'emploi,2012, 220120,1462804,173290,1314207,1050,6079,430,2513,320,1017,2780,14587,7920,68291,27470,38993,3830,7610,3040,9508
7,Old Age Security pension (OASP),Pension de la sécurité de la vieillesse,2012, 433690,2481183,41930,190954,12420,76813,910,4427,750,4125,7340,38105,34070,188255,291110,1797636,39050,153285,6110,27582
8,CPP or QPP benefits,Prestations du Régime de pensions du Canada (RPC) ou du Régime de rentes du Québec (RRQ),2012, 541030,3695008,83690,527282,14220,84710,1180,8873,1150,7748,11240,65508,45050,299230,333270,2499736,38490,121830,12770,80091
9,Other pensions or superannuation,Autres pensions et pensions de retraite,2012, 311130,5820486,39170,688623,5710,62853,570,14281,390,6396,3620,52173,21470,382030,231340,4527058,3760,12663,5090,74410
10,Elected split-pension amount ,Choix du montant de pension fractionné,2012, 84690,885779,17500,108572,1370,7880,190,1378,160,1189,1710,12670,7180,53741,54760,690127,220,887,1600,9335
