#,Item,Poste,Tax year/D'année d'imposition, Grand total/Total global #,Grand total/Total global $ (000),Employment/Emploi # ,Employment/Emploi $ (000),Fishing and Farming/ Pêche et Agriculture #,Fishing and Farming/ Pêche et Agriculture $ (000),Professional income/Professions libérales #,Professional income/Professions libérales $ (000),Sales (self-employed)/Ventes (travail indép.) #,Sales (self-employed)/Ventes (travail indép.) $ (000),Proprietorships/Partnerships/Entreprises indiv./Soc. de pers. #,Proprietorships/Partnerships/Entreprises indiv./Soc. de pers. $ (000),Investment/Placement #,Investment/Placement $ (000),Pension/Pension #,Pension/Pension $ (000),Benefit/Bénéficiaire #,Benefit/Bénéficiaire $ (000),Others/Autre #,Others/Autre $ (000)
1,Number of taxable returns,Nombre de déclarations imposables,2012, 2283540,,1492000,,8070,,21370,,15880,,169500,,137420,,370940,,29350,,39000,
2,Number of non-taxable returns,Nombre de déclarations non imposables,2012, 1241100,,507430,,3820,,2340,,2900,,31730,,102930,,286840,,244420,,58690,
3,Total number of returns,Nombre total de déclarations,2012, 3524640,,1999430,,11890,,23710,,18780,,201230,,240350,,657780,,273770,,97690,
4,Employment income,Revenus d'emploi,2012, 2240250,90725454,1970300,87011039,3590,88635,4970,108479,3260,32771,42390,538825,68360,1896787,56630,461086,64800,307444,25950,280388
5,Commissions (from employment),Commissions (d'emploi),2012, 72940,1953608,68220,1892073,30,1048,90,552,200,1525,1050,20042,1100,26443,650,3153,1030,1872,560,6900
6,Other employment income,Autres revenus d'emploi,2012, 389200,1726944,210050,1459540,510,1873,1540,6123,690,1550,7080,18808,15270,76142,142070,137162,5530,9378,6460,16368
7,Old Age Security pension (OASP),Pension de la sécurité de la vieillesse,2012, 731480,4036621,49720,200900,2500,14588,2370,11906,1510,7567,13200,65048,55480,279567,526010,3207425,69720,203405,10970,46216
8,CPP or QPP benefits,Prestations du Régime de pensions du Canada (RPC) ou du Régime de rentes du Québec (RRQ),2012, 888180,5991007,98840,619182,3460,20297,3010,22173,2300,15173,21530,120595,65800,421516,613020,4512955,57580,120581,22650,138536
9,Other pensions or superannuation,Autres pensions et pensions de retraite,2012, 546140,10302180,41070,644313,1390,20173,1430,30037,610,7986,7170,103419,34560,571014,444120,8765836,6330,27596,9460,131806
10,Elected split-pension amount ,Choix du montant de pension fractionné,2012, 150660,1574733,22100,131894,450,3288,480,3475,330,2492,3390,24574,10890,80986,109230,1306305,610,2877,3180,18841
11,Universal Child Care Benefit (UCCB),Prestation universelle pour la garde d'enfants (PUGE),2012, 201800,296275,97790,133455,540,828,1820,2707,1440,2063,16300,24058,11310,17467,1130,1417,68100,109420,3360,4861
12,Employment Insurance and other benefits,Prestations d'assurance-emploi et autres prestations,2012, 281700,1739104,208440,1056844,2490,21858,430,2395,270,1336,4990,27120,5130,35794,5910,29397,50070,538873,3970,25487
13,Taxable amount of dividends from taxable Canadian corporations,Montant imposable des dividendes,2012, 608860,10200327,225810,1261132,2790,31419,4950,36354,3440,16195,21360,115595,144170,8029936,181770,621840,8740,9865,15840,77992
14,Interest and other investment income,Intérêts et autres revenus de placements,2012, 1056280,2558622,416180,465070,5140,15258,9240,20768,6340,7902,47680,59875,166860,1232707,343700,679581,32490,23609,28660,53852
15,Net partnership income (Limited or non-active partners only),Revenus nets de société de personnes,2012, 13180,27701,4820,1146,70,120,300,4350,120,42,510,889,4410,20829,2550,-297,50,-11,340,632
16,Net rental income,Revenus nets de location,2012, 246390,904247,107620,70296,1360,5135,2410,2781,2510,3335,16740,30046,83870,744918,26230,43108,2260,1660,3390,2969
17,Taxable capital gains,Gains en capital imposables,2012, 319980,2612423,108690,278878,1620,18513,2900,11232,1920,6177,12210,51051,69940,2028766,108150,163226,4600,3078,9960,51502
18,Registered retirement savings plan income (RRSP),Revenu d'un régime enregistré d'épargne-retraite (REER),2012, 314230,2024126,165960,602433,890,6531,2030,11628,2300,14764,19230,80202,17550,139584,62190,358117,9850,22654,34240,788213
19,Other income,Autres revenus,2012, 551250,2501159,221230,629386,2820,7207,4870,25161,2980,6433,20590,47007,72080,294511,158180,291897,13610,22476,54900,1177082
20,Net business income,Revenus nets d'entreprise,2012, 339550,4457888,87130,160051,1060,8308,920,2232,1050,2178,197510,4117807,19340,113422,22670,37488,5010,6486,4860,9915
21,Net professional income,Revenus nets de profession libérale,2012, 46600,1603697,13890,60860,70,3120,23440,1471698,130,433,780,6985,3200,43214,3740,13495,500,671,850,3221
22,Net commission income,Revenus nets de commissions,2012, 38390,618354,11750,17298,70,696,200,816,18530,571700,1430,7044,2930,17745,2000,2071,730,494,740,489
23,Net farming income,Revenus nets d'agriculture,2012, 27940,-43360,7990,-36634,8610,42041,160,-627,90,-392,2070,-11393,3410,-17958,5000,-15306,240,-898,400,-2194
24,Net fishing income,Revenus nets de pêche,2012, 4760,66999,730,2706,2980,59819,,,,,120,100,250,2680,270,-47,370,1510,40,247
25,Workers' compensation benefits,Indemnités pour accidents du travail,2012, 94870,823344,55360,247997,330,2617,90,516,150,698,2910,17872,2330,20346,15360,109094,17560,418760,790,5445
26,Social assistance payments,Prestations d'assistance sociale,2012, 156440,1122539,15690,58684,120,231,80,269,70,284,1230,5067,320,1510,9280,26641,128880,1026774,780,3081
27,Net federal supplements,Versement net des suppléments fédéraux,2012, 244780,1317676,3600,10198,830,3609,200,781,240,954,3070,11477,6370,25549,158010,544240,70760,716162,1710,4706
28,Total income assessed,Revenu total établi,2012, 3508060,149300785,1999430,97005496,11860,377359,23660,1776457,18730,703535,200370,5486497,240270,16109066,657780,21308201,273770,3576570,82190,2957603
29,Registered pension plan contributions (RPP),Cotisations à un régime de pension agréé (RPA),2012, 520320,2022210,493080,1975792,440,1183,520,1236,190,324,3270,6416,5980,16340,8150,10665,5500,4645,3190,5610
30,RRSP deduction,Cotisations à un REER,2012, 758780,4337732,634430,3483431,1540,10890,9170,117230,4560,42313,34810,214425,32860,286326,25760,74435,7800,13169,7860,95513
31,Deduction for elected split-pension amount,Déduction pour le choix du montant de pension fractionné,2012, 150640,1573488,19100,180081,500,3790,640,8153,270,2249,2850,24813,10260,88181,113060,1229739,820,4002,3130,32479
32,"Annual union, professional, or like dues","Cotisations annuelles syndicales, professionnelles et semblables",2012, 686050,545775,607950,521050,810,448,2270,1545,740,444,10710,4400,14650,7079,29660,6027,12420,2783,6840,1999
33,Child care expenses,Frais de garde d'enfants,2012, 111260,451041,87490,375900,200,510,1690,7652,980,3634,9370,29930,4790,19491,360,602,5530,11054,850,2269
