#,Item,Poste,Tax year/D'année d'imposition, Grand total/Total global #,Grand total/Total global $ (000),Employment/Emploi # ,Employment/Emploi $ (000),Fishing and Farming/ Pêche et Agriculture #,Fishing and Farming/ Pêche et Agriculture $ (000),Professional income/Professions libérales #,Professional income/Professions libérales $ (000),Sales (self-employed)/Ventes (travail indép.) #,Sales (self-employed)/Ventes (travail indép.) $ (000),Proprietorships/Partnerships/Entreprises indiv./Soc. de pers. #,Proprietorships/Partnerships/Entreprises indiv./Soc. de pers. $ (000),Investment/Placement #,Investment/Placement $ (000),Pension/Pension #,Pension/Pension $ (000),Benefit/Bénéficiaire #,Benefit/Bénéficiaire $ (000),Others/Autre #,Others/Autre $ (000)
1,Number of taxable returns,Nombre de déclarations imposables,2012, 647670,,443520,,13120,,3860,,2580,,32020,,20950,,114630,,7430,,9540,
2,Number of non-taxable returns,Nombre de déclarations non imposables,2012, 289630,,128600,,8530,,270,,280,,5060,,7680,,64790,,62570,,11870,
3,Total number of returns,Nombre total de déclarations,2012, 937300,,572120,,21650,,4130,,2860,,37080,,28630,,179420,,70000,,21410,
4,Employment income,Revenus d'emploi,2012, 640200,23893372,568290,22977372,5310,125070,1170,24555,600,6588,9510,137830,11230,308856,19460,167785,18260,71151,6380,74165
5,Commissions (from employment),Commissions (d'emploi),2012, 16180,390207,15290,380873,50,1310,,,40,604,200,2354,140,2200,170,623,190,307,,
6,Other employment income,Autres revenus d'emploi,2012, 65190,228320,47350,195757,500,1144,210,607,100,141,1210,3610,1330,6492,12640,17043,1000,1236,850,2290
7,Old Age Security pension (OASP),Pension de la sécurité de la vieillesse,2012, 182950,1089724,11530,55948,4430,26917,480,2574,250,1397,2610,14509,8060,46171,143460,889773,10090,43791,2040,8645
8,CPP or QPP benefits,Prestations du Régime de pensions du Canada (RPC) ou du Régime de rentes du Québec (RRQ),2012, 233560,1549558,29260,171072,5230,25249,680,5161,440,3039,4750,26698,10470,65334,168360,1199608,8630,18277,5740,35118
9,Other pensions or superannuation,Autres pensions et pensions de retraite,2012, 148240,2590480,12920,202512,2020,18975,330,6983,140,1999,1680,25062,5650,90957,122420,2213031,780,2704,2310,28257
10,Elected split-pension amount ,Choix du montant de pension fractionné,2012, 43100,405392,8020,45417,690,3204,150,889,80,492,940,6492,1630,9781,30520,333593,130,589,940,4934
11,Universal Child Care Benefit (UCCB),Prestation universelle pour la garde d'enfants (PUGE),2012, 68230,106216,31010,42513,1650,3117,300,475,220,343,3780,6055,1340,2242,260,333,28950,50086,720,1053
12,Employment Insurance and other benefits,Prestations d'assurance-emploi et autres prestations,2012, 71270,438846,54220,279807,950,7867,50,223,50,272,850,4674,630,4089,1700,8005,11950,128581,890,5328
13,Taxable amount of dividends from taxable Canadian corporations,Montant imposable des dividendes,2012, 131100,1400676,57700,232785,4280,16547,1130,10621,630,3240,3860,16143,17840,1003972,41380,106276,1050,828,3220,10264
14,Interest and other investment income,Intérêts et autres revenus de placements,2012, 240490,438389,97150,83860,7520,16034,1650,4710,780,877,8830,8821,18960,142785,93860,169888,6240,2859,5510,8554
15,Net partnership income (Limited or non-active partners only),Revenus nets de société de personnes,2012, 2850,4793,1210,706,80,-98,100,740,,,110,171,750,3152,490,209,,,70,-77
16,Net rental income,Revenus nets de location,2012, 36150,151215,16470,24881,1030,6474,310,-2429,270,383,2580,7999,9280,99506,5460,13025,310,359,450,1017
17,Taxable capital gains,Gains en capital imposables,2012, 71690,584635,27200,54481,4200,38541,650,2763,330,1478,2510,15571,9820,430675,24370,31951,540,334,2070,8842
