#,Item,Poste,Tax year/D'année d'imposition, Grand total/Total global #,Grand total/Total global $ (000),Employment/Emploi # ,Employment/Emploi $ (000),Fishing and Farming/ Pêche et Agriculture #,Fishing and Farming/ Pêche et Agriculture $ (000),Professional income/Professions libérales #,Professional income/Professions libérales $ (000),Sales (self-employed)/Ventes (travail indép.) #,Sales (self-employed)/Ventes (travail indép.) $ (000),Proprietorships/Partnerships/Entreprises indiv./Soc. de pers. #,Proprietorships/Partnerships/Entreprises indiv./Soc. de pers. $ (000),Investment/Placement #,Investment/Placement $ (000),Pension/Pension #,Pension/Pension $ (000),Benefit/Bénéficiaire #,Benefit/Bénéficiaire $ (000),Others/Autre #,Others/Autre $ (000)
1,Number of taxable returns,Nombre de déclarations imposables,2012, 54940,,31510,,170,,1700,,60,,2820,,9600,,7160,,120,,1790,
2,Number of non-taxable returns,Nombre de déclarations non imposables,2012, 77020,,44380,,150,,290,,30,,1850,,12950,,14470,,390,,2510,
3,Total number of returns,Nombre total de déclarations,2012, 131960,,75890,,320,,1990,,100,,4670,,22550,,21630,,510,,4300,
4,Employment income,Revenus d'emploi,2012, 77040,2536957,74170,2527364,60,174,430,963,30,70,580,2384,500,2075,280,490,210,1338,790,2098
5,Commissions (from employment),Commissions (d'emploi),2012, 300,6133,300,6133,,,,,,,,,,,,,,,,
6,Other employment income,Autres revenus d'emploi,2012, 3290,114457,2920,113753,,,10,103,,,20,22,40,158,250,197,,,40,146
7,Old Age Security pension (OASP),Pension de la sécurité de la vieillesse,2012, 15720,63679,20,74,,,,,,,,,30,90,15520,62880,20,40,120,529
8,CPP or QPP benefits,Prestations du Régime de pensions du Canada (RPC) ou du Régime de rentes du Québec (RRQ),2012, 20300,96628,170,777,,,10,68,,,20,80,30,139,19720,93793,10,45,330,1696
9,Other pensions or superannuation,Autres pensions et pensions de retraite,2012, 6230,77434,80,1918,,,,,,,,,10,83,6060,74585,,,70,638
10,Elected split-pension amount ,Choix du montant de pension fractionné,2012, 20,243,,,,,,,,,,,,,10,185,,,,
11,Universal Child Care Benefit (UCCB),Prestation universelle pour la garde d'enfants (PUGE),2012, 280,437,120,164,,,,,,,,,40,68,,,100,173,,
12,Employment Insurance and other benefits,Prestations d'assurance-emploi et autres prestations,2012, 3170,17996,2750,14205,,,,,,,,,,,10,51,380,3629,10,54
13,Taxable amount of dividends from taxable Canadian corporations,Montant imposable des dividendes,2012, 710,3505,550,1627,,,,,,,,,100,1764,40,100,,,10,7
14,Interest and other investment income,Intérêts et autres revenus de placements,2012, 1270,2085,950,1219,,,,,,,20,25,170,643,70,135,20,14,30,41
15,Net partnership income (Limited or non-active partners only),Revenus nets de société de personnes,2012, 13410,28335,,,,,,,,,70,-25,13300,27287,,,,,,
16,Net rental income,Revenus nets de location,2012, 570,783,410,362,,,,,,,,,130,357,10,-16,,,10,68
17,Taxable capital gains,Gains en capital imposables,2012, 13440,390380,470,1879,,,,,,,50,4863,12620,382596,130,269,,,140,132
18,Registered retirement savings plan income (RRSP),Revenu d'un régime enregistré d'épargne-retraite (REER),2012, 1690,18475,270,847,,,,,,,10,254,40,207,490,2652,10,21,870,14432
19,Other income,Autres revenus,2012, 3790,47131,960,4599,20,84,40,3344,,,,,160,324,640,1373,20,31,1880,36659
20,Net business income,Revenus nets d'entreprise,2012, 4840,133341,140,800,,,,,,,4540,130064,100,2205,20,-14,,,30,48
21,Net professional income,Revenus nets de profession libérale,2012, 2060,89998,60,767,,,1970,89072,,,,,,,10,15,,,,
22,Net commission income,Revenus nets de commissions,2012, 110,2129,,,,,,,90,2138,,,,,,,,,,
23,Net farming income,Revenus nets d'agriculture,2012, 330,1902,,,290,2065,,,,,,,10,-159,,,,,,
24,Net fishing income,Revenus nets de pêche,2012, ,,,,,,,,,,,,,,,,,,,
25,Workers' compensation benefits,Indemnités pour accidents du travail,2012, 50,292,30,64,,,,,,,,,,,,,,,,
26,Social assistance payments,Prestations d'assistance sociale,2012, 30,201,,,,,,,,,,,,,,,,,,
27,Net federal supplements,Versement net des suppléments fédéraux,2012, 40,222,,,,,,,,,,,,,30,102,10,113,,
