#,Item,Poste,Tax year/D'année d'imposition, Grand total/Total global #,Grand total/Total global $ (000),Employment/Emploi # ,Employment/Emploi $ (000),Fishing and Farming/ Pêche et Agriculture #,Fishing and Farming/ Pêche et Agriculture $ (000),Professional income/Professions libérales #,Professional income/Professions libérales $ (000),Sales (self-employed)/Ventes (travail indép.) #,Sales (self-employed)/Ventes (travail indép.) $ (000),Proprietorships/Partnerships/Entreprises indiv./Soc. de pers. #,Proprietorships/Partnerships/Entreprises indiv./Soc. de pers. $ (000),Investment/Placement #,Investment/Placement $ (000),Pension/Pension #,Pension/Pension $ (000),Benefit/Bénéficiaire #,Benefit/Bénéficiaire $ (000),Others/Autre #,Others/Autre $ (000)
1,Number of taxable returns,Nombre de déclarations imposables,2012, 511340,,323960,,4650,,3010,,1720,,18970,,17680,,118130,,14950,,8280,
2,Number of non-taxable returns,Nombre de déclarations non imposables,2012, 224740,,85580,,630,,230,,220,,3810,,6810,,66550,,49140,,11780,
3,Total number of returns,Nombre total de déclarations,2012, 736080,,409540,,5280,,3240,,1930,,22780,,24490,,184680,,64090,,20050,
4,Employment income,Revenus d'emploi,2012, 466060,16885372,406050,16262391,1270,19851,730,12401,370,2993,4490,59244,8400,198995,17450,144072,22100,129573,5200,55851
5,Commissions (from employment),Commissions (d'emploi),2012, 12850,248489,11960,242652,,,,,30,237,120,1477,140,2664,200,463,290,405,80,472
6,Other employment income,Autres revenus d'emploi,2012, 51070,236104,32590,199978,170,284,150,754,60,107,730,2318,1040,4259,14300,24170,1170,1760,850,2472
7,Old Age Security pension (OASP),Pension de la sécurité de la vieillesse,2012, 164270,994429,8040,40165,770,4531,390,2025,200,1145,2020,11257,5580,30954,138100,854684,7640,42404,1530,7262
8,CPP or QPP benefits,Prestations du Régime de pensions du Canada (RPC) ou du Régime de rentes du Québec (RRQ),2012, 228420,1497863,28940,160430,1300,7129,520,3761,400,2680,3810,20303,7560,47570,170200,1182188,10970,45346,4730,28456
9,Other pensions or superannuation,Autres pensions et pensions de retraite,2012, 130060,2604020,12110,221570,350,4751,250,6901,120,1751,1230,20451,3690,70319,109500,2242903,920,5656,1890,29718
10,Elected split-pension amount ,Choix du montant de pension fractionné,2012, 43520,468027,7430,48168,140,882,110,886,70,584,710,5731,1270,9808,32720,395948,380,1911,690,4111
11,Universal Child Care Benefit (UCCB),Prestation universelle pour la garde d'enfants (PUGE),2012, 40610,59118,21520,29343,160,247,250,369,150,231,1830,2707,1050,1646,390,484,14810,23391,450,699
12,Employment Insurance and other benefits,Prestations d'assurance-emploi et autres prestations,2012, 102480,781071,70320,431286,3560,46128,80,470,60,358,920,6125,860,7124,4240,26662,21260,254234,1210,8683
13,Taxable amount of dividends from taxable Canadian corporations,Montant imposable des dividendes,2012, 98390,1535657,36800,180347,1050,7741,790,7937,360,2093,2460,11089,19250,1209824,34140,106386,1170,1250,2390,8989
14,Interest and other investment income,Intérêts et autres revenus de placements,2012, 133880,196502,46960,33919,1520,2041,1090,2794,360,248,3700,3933,12220,69860,61650,77308,3090,1657,3290,4741
15,Net partnership income (Limited or non-active partners only),Revenus nets de société de personnes,2012, 990,3429,340,188,,,30,33,,,20,17,290,2977,280,120,,,30,67
16,Net rental income,Revenus nets de location,2012, 19020,49713,8310,905,150,207,190,-19,150,78,1340,3110,5270,42458,3090,2763,230,32,290,178
17,Taxable capital gains,Gains en capital imposables,2012, 43040,269542,14450,27932,520,4157,370,1019,180,722,1280,4591,6650,199928,17730,23665,500,326,1360,7201
18,Registered retirement savings plan income (RRSP),Revenu d'un régime enregistré d'épargne-retraite (REER),2012, 57080,331450,31410,106313,330,2246,280,1782,250,1695,1890,10870,1910,15030,14100,76447,1880,5087,5050,111980
19,Other income,Autres revenus,2012, 92370,469477,38440,120515,1000,4813,820,3632,350,1261,2010,5825,6890,28306,30650,67339,2590,6128,9620,231659
20,Net business income,Revenus nets d'entreprise,2012, 40140,413430,10250,11327,210,698,110,170,110,136,22250,387795,1670,7979,4130,4490,790,387,620,448
21,Net professional income,Revenus nets de profession libérale,2012, 6550,254508,1910,9805,20,89,3200,234444,20,73,90,694,400,5304,730,3380,80,21,110,700
22,Net commission income,Revenus nets de commissions,2012, 4610,71049,1620,2462,30,401,20,83,1900,64867,130,492,240,1698,430,895,140,66,100,86
23,Net farming income,Revenus nets d'agriculture,2012, 4140,8830,1170,-3893,1490,17392,,,,,190,-758,230,-518,910,-2752,70,-291,50,-168
24,Net fishing income,Revenus nets de pêche,2012, 5500,117890,880,3492,3730,108369,,,,,60,411,160,2088,190,471,440,2943,40,82
25,Workers' compensation benefits,Indemnités pour accidents du travail,2012, 20950,178483,8820,33596,80,544,10,72,20,95,250,1583,170,1464,5290,30638,6120,109131,180,1359
26,Social assistance payments,Prestations d'assistance sociale,2012, 32930,198445,4440,13336,30,88,10,38,20,39,170,609,20,87,1900,5006,26090,178349,260,893
27,Net federal supplements,Versement net des suppléments fédéraux,2012, 69990,286211,910,1784,210,770,30,88,20,57,690,2214,540,1524,58650,211086,8570,67813,360,874
28,Total income assessed,Revenu total établi,2012, 729430,28191454,409540,18184232,5270,233405,3230,279700,1930,81515,22650,562830,24480,1962121,184680,5481733,64090,878021,13570,527897
29,Registered pension plan contributions (RPP),Cotisations à un régime de pension agréé (RPA),2012, 147010,510476,138630,498428,90,196,120,315,30,33,540,1027,860,2397,3830,4534,1840,1479,1080,2066
30,RRSP deduction,Cotisations à un REER,2012, 126980,609529,107420,484550,880,6293,1370,18933,510,4371,3810,19764,3900,31953,5720,18773,1830,2613,1540,22280
31,Deduction for elected split-pension amount,Déduction pour le choix du montant de pension fractionné,2012, 43510,467501,6670,71644,180,1191,150,2377,60,554,600,5503,1300,13130,33580,363904,230,1168,750,8029
32,"Annual union, professional, or like dues","Cotisations annuelles syndicales, professionnelles et semblables",2012, 142590,92139,124690,87540,440,198,320,248,130,78,1160,453,1610,798,9360,1575,3660,881,1230,367
33,Child care expenses,Frais de garde d'enfants,2012, 30720,115581,25650,101710,120,262,280,1299,140,492,1260,3449,700,2806,160,268,2220,4835,190,461
34,Business investment loss,Perte au titre d'un placement d'entreprise,2012, 190,4241,120,2202,,,,,,,10,422,20,501,20,197,,,10,831
35,Moving expenses,Frais de déménagement,2012, 3080,14658,2660,12685,,,40,318,,,90,479,60,333,60,236,70,180,90,356
36,Support payments made,Pension alimentaire payée,2012, 2420,27501,1520,17125,30,412,30,931,20,180,80,758,150,3393,530,4061,40,108,40,533
37,Carrying charges and interest expenses,Frais financiers et frais d'intérêts,2012, 50510,83754,17570,24878,290,560,440,1267,170,459,960,1554,6470,30602,22860,21078,400,326,1350,3030
38,Deductions for CPP/QPP contributions on self-employment and other earnings,Déductions pour cotisations au RPC ou au RRQ pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 33000,25474,4960,887,3770,3931,2700,3849,1580,1922,17090,13789,1120,596,970,265,520,125,280,110
39,Deductions for provincial parental insurance plan (PPIP) premiums on self-employment income,Déduction pour cotisations au Régime provincial d'assurance parentale (RPAP) pour le revenu d'un travail indépendant,2012, ,,,,,,,,,,,,,,,,,,,
40,Exploration and development expenses,Frais d'exploration et d'aménagement,2012, 860,10803,320,4860,,,30,376,,,10,304,240,3535,220,1276,,,30,408
41,Other employment expenses,Autres dépenses d'emploi,2012, 23170,91803,21160,84574,60,115,50,291,100,1092,280,1558,250,1046,550,1622,570,886,160,619
42,Clergy residence deduction,Déduction pour la résidence d'un membre du clergé,2012, 950,10228,840,9489,,,,,,,10,94,10,95,80,441,,,10,79
43,Other deductions,Autres déductions,2012, 25860,45220,15560,11410,370,232,,,,,470,1065,1270,2468,4400,22408,3120,2090,560,5378
44,Total deductions before adjustments,Total des déductions avant rajustements,2012, 368100,2109231,253480,1412149,4290,13482,2990,30367,1700,9317,18640,50224,11940,93655,60080,440674,10430,14811,4550,44551
45,Social benefits repayment,Remboursement des prestations de programmes sociaux,2012, 15040,39478,7860,16293,870,2767,170,745,40,129,160,476,2210,9427,3190,7953,50,84,490,1603
46,Net income after adjustments,Revenu net après rajustements,2012, 727540,26061874,409260,16756843,5110,218576,3190,249054,1870,72373,21690,524685,24260,1860410,184620,5034293,64020,863394,13520,482246
