#,Item,Poste,Tax year/D'année d'imposition, Grand total/Total global #,Grand total/Total global $ (000),Employment/Emploi # ,Employment/Emploi $ (000),Fishing and Farming/ Pêche et Agriculture #,Fishing and Farming/ Pêche et Agriculture $ (000),Professional income/Professions libérales #,Professional income/Professions libérales $ (000),Sales (self-employed)/Ventes (travail indép.) #,Sales (self-employed)/Ventes (travail indép.) $ (000),Proprietorships/Partnerships/Entreprises indiv./Soc. de pers. #,Proprietorships/Partnerships/Entreprises indiv./Soc. de pers. $ (000),Investment/Placement #,Investment/Placement $ (000),Pension/Pension #,Pension/Pension $ (000),Benefit/Bénéficiaire #,Benefit/Bénéficiaire $ (000),Others/Autre #,Others/Autre $ (000)
1,Number of taxable returns,Nombre de déclarations imposables,2012, 6833640,,4532200,,31060,,73400,,45700,,438540,,268850,,1229530,,94080,,120280,
2,Number of non-taxable returns,Nombre de déclarations non imposables,2012, 3232460,,1357640,,10710,,6170,,6730,,84110,,155310,,632400,,797390,,182010,
3,Total number of returns,Nombre total de déclarations,2012, 10066110,,5889840,,41770,,79570,,52420,,522650,,424160,,1861920,,891470,,302290,
4,Employment income,Revenus d'emploi,2012, 6516940,286508940,5824920,276877410,11770,349936,15340,417547,8420,95021,95860,1259997,123330,4080111,166310,1460449,190410,881682,80570,1086786
5,Commissions (from employment),Commissions (d'emploi),2012, 195360,5623904,183310,5470205,210,5425,220,1495,510,5635,2300,45542,2130,67690,1990,8384,3110,4810,1580,14717
6,Other employment income,Autres revenus d'emploi,2012, 931380,4113285,594540,3661740,2040,4284,3700,14654,1610,2928,17680,42523,20260,99273,259580,224697,15090,22666,16870,40521
7,Old Age Security pension (OASP),Pension de la sécurité de la vieillesse,2012, 1995300,11151566,135680,539981,10750,64974,9220,45226,4520,22852,34210,153756,111210,586799,1481910,9103531,178760,509925,29030,124522
8,CPP or QPP benefits,Prestations du Régime de pensions du Canada (RPC) ou du Régime de rentes du Québec (RRQ),2012, 2396320,16883680,268800,1653723,13390,82219,10540,87760,6500,44923,47990,275672,128440,851777,1731040,13125323,129550,382201,60070,380082
9,Other pensions or superannuation,Autres pensions et pensions de retraite,2012, 1534390,32472507,106960,1898896,7020,96478,4870,136432,2000,29423,15660,278118,68720,1307506,1284400,28159350,16950,76740,27810,489564
10,Elected split-pension amount ,Choix du montant de pension fractionné,2012, 470890,5007589,69340,452385,2230,15069,1860,15131,1160,8630,8490,70257,21840,176600,354610,4202283,2820,14988,8540,52247
11,Universal Child Care Benefit (UCCB),Prestation universelle pour la garde d'enfants (PUGE),2012, 638940,953535,326860,457612,1870,3337,5800,8934,4030,5925,45600,68252,19700,30570,2850,3635,223310,362522,8930,12748
12,Employment Insurance and other benefits,Prestations d'assurance-emploi et autres prestations,2012, 781080,5090511,568450,2970366,1160,7311,1200,7059,910,4991,11740,66663,10820,78323,20420,95765,151910,1758207,14480,101825
13,Taxable amount of dividends from taxable Canadian corporations,Montant imposable des dividendes,2012, 1645640,21694776,725260,3373411,13710,79678,21630,299266,9630,45156,52710,241693,252810,15808252,503760,1649812,23000,20750,43150,176758
14,Interest and other investment income,Intérêts et autres revenus de placements,2012, 2650160,6260529,1121620,1316624,21790,62720,33110,121863,14660,18950,102310,144508,282920,2546709,930330,1863818,73890,50365,69530,134972
15,Net partnership income (Limited or non-active partners only),Revenus nets de société de personnes,2012, 35500,92196,14360,-111,170,-125,2270,21220,360,-414,1140,4447,8740,65599,7450,937,80,-2,920,647
16,Net rental income,Revenus nets de location,2012, 535130,1556958,260800,68345,4020,14336,6380,10847,5870,9477,37190,76361,143860,1302498,61710,68701,8240,4491,7060,1904
17,Taxable capital gains,Gains en capital imposables,2012, 830550,5919822,330500,801749,8270,81915,11570,79778,5090,19575,28320,110701,128440,4279982,281170,416358,11180,7509,25990,122255
18,Registered retirement savings plan income (RRSP),Revenu d'un régime enregistré d'épargne-retraite (REER),2012, 946810,5513569,539550,1800476,2570,18510,6540,47713,6750,37311,47870,190016,33000,245620,182210,1049809,34720,80324,93600,2043790
19,Other income,Autres revenus,2012, 1526910,8106890,667030,2040025,14030,35858,16010,64423,7560,18795,45950,109527,129870,630687,454240,880812,36420,65347,155800,4261416
20,Net business income,Revenus nets d'entreprise,2012, 846680,10466867,211600,272151,3630,28845,2580,11526,2550,6358,512600,9772534,35690,245514,51840,93912,13920,15478,12270,20549
21,Net professional income,Revenus nets de profession libérale,2012, 137950,8675685,35950,199779,170,3007,78740,8182617,400,829,1820,36571,7460,195968,9620,42865,1620,1511,2170,12539
22,Net commission income,Revenus nets de commissions,2012, 100880,1980289,30300,44434,300,4929,520,2465,51640,1853017,3170,22421,5000,41584,5720,7633,2280,1676,1930,2131
23,Net farming income,Revenus nets d'agriculture,2012, 85370,425927,20390,-70344,40210,570110,610,-4184,230,-1923,4260,-9163,6210,-10914,12160,-32982,470,-1686,840,-12987
24,Net fishing income,Revenus nets de pêche,2012, 270,1427,60,-48,120,1559,,,,,20,36,,,50,-118,20,26,,
25,Workers' compensation benefits,Indemnités pour accidents du travail,2012, 218470,2071235,78360,309611,490,3769,180,1049,280,1785,4050,25578,4810,41594,68800,437018,58930,1231228,2570,19602
26,Social assistance payments,Prestations d'assistance sociale,2012, 643220,4892537,83110,312787,470,834,470,1742,490,1986,8070,30879,1030,3871,32040,101268,514010,4425561,3530,13610
27,Net federal supplements,Versement net des suppléments fédéraux,2012, 609290,3283807,9150,25012,3200,12478,420,1454,510,1857,6940,25306,11100,40449,396150,1330116,177880,1836445,3950,10691
28,Total income assessed,Revenu total établi,2012, 9991180,449333853,5889840,304594356,41620,1547688,79400,9579248,52260,2234863,520080,13056727,423870,32728450,1861920,64324202,891470,11758660,230730,9509660
29,Registered pension plan contributions (RPP),Cotisations à un régime de pension agréé (RPA),2012, 1589510,7048528,1522550,6921254,1940,7051,1450,5776,480,1022,6250,15386,10030,31611,23170,32107,13200,11329,10460,22993
30,RRSP deduction,Cotisations à un REER,2012, 2293870,13023503,1956230,10451001,7180,52849,37090,564602,13770,136147,87660,538777,62850,596117,77070,253464,24470,38171,27560,392375
31,Deduction for elected split-pension amount,Déduction pour le choix du montant de pension fractionné,2012, 470860,5006297,50310,542200,2810,20150,2470,35463,860,7944,6770,73272,20530,203888,375470,3989901,1810,8984,9840,124496
32,"Annual union, professional, or like dues","Cotisations annuelles syndicales, professionnelles et semblables",2012, 1947490,1409077,1716070,1339539,2660,1608,6770,6564,2570,1975,24680,12832,26660,12922,113640,20657,33930,6756,20510,6226
33,Child care expenses,Frais de garde d'enfants,2012, 428600,1971718,352310,1694348,1040,2628,6920,37489,3350,13786,29850,113117,10710,49883,1280,2435,19990,47434,3150,10597
34,Business investment loss,Perte au titre d'un placement d'entreprise,2012, 4210,154491,2530,71033,10,151,110,4658,60,1633,250,6603,440,46849,550,13450,70,1171,190,8944
35,Moving expenses,Frais de déménagement,2012, 30300,128815,26080,111686,20,73,500,3735,100,603,940,5296,670,2589,430,1648,520,806,1040,2377
36,Support payments made,Pension alimentaire payée,2012, 34200,565165,23120,360532,80,1018,1000,51980,290,5194,1260,17632,1540,58103,6000,59776,340,1261,580,9670
37,Carrying charges and interest expenses,Frais financiers et frais d'intérêts,2012, 1012230,2220309,442000,770368,4640,12269,14330,75797,5780,16397,27120,66228,118180,786222,356730,404250,15450,8254,28010,80524
38,Deductions for CPP/QPP contributions on self-employment and other earnings,Déductions pour cotisations au RPC ou au RRQ pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 666930,512274,86050,16426,18430,16941,64940,94263,42640,48533,409770,317588,24360,12708,11510,3403,4030,559,5210,1852
39,Deductions for provincial parental insurance plan (PPIP) premiums on self-employment income,Déduction pour cotisations au Régime provincial d'assurance parentale (RPAP) pour le revenu d'un travail indépendant,2012, ,,,,,,,,,,,,,,,,,,,
40,Exploration and development expenses,Frais d'exploration et d'aménagement,2012, 26630,470542,10070,199328,130,1248,1590,43899,270,4030,760,22679,6460,143470,6580,40973,50,47,720,14868
41,Other employment expenses,Autres dépenses d'emploi,2012, 365050,1939288,339980,1824165,360,1489,940,4145,1430,15658,4670,22548,5120,29274,6530,20597,3000,7625,3020,13788
42,Clergy residence deduction,Déduction pour la résidence d'un membre du clergé,2012, 11570,161497,10590,153955,,,20,212,,,130,1174,140,1388,560,3963,50,180,60,449
43,Other deductions,Autres déductions,2012, 292960,789903,143910,146742,1930,1814,2430,5255,1360,1371,10260,10386,28430,52904,70990,427235,22370,23348,11290,120848
44,Total deductions before adjustments,Total des déductions avant rajustements,2012, 5386700,35408116,3660010,24605954,27340,119424,72970,933873,45710,254349,438240,1223704,206600,2028469,752960,5274622,103840,157526,79030,810193
45,Social benefits repayment,Remboursement des prestations de programmes sociaux,2012, 197690,567331,69270,148899,1160,3797,4170,20266,900,3260,3090,10616,38320,169233,70530,178854,740,1539,9520,30867
46,Net income after adjustments,Revenu net après rajustements,2012, 9951510,413831167,5883780,279881334,39340,1474877,77960,8643422,50550,1990031,502450,12050600,416570,30623981,1861120,58885362,890020,11604925,229730,8676636
47,Canadian Forces personnel and police deduction,Déduction pour le personnel des Forces canadiennes et des forces policières,2012, 1370,30819,1340,30564,,,,,,,,,,,,,,,,
48,Security options deductions,Déductions pour options d'achat de titres,2012, 16780,776133,15590,737803,10,168,40,1934,10,36,90,2524,340,24360,350,2375,50,123,290,6811
49,Other payments deductions,Déduction pour autres paiements,2012, 1341370,10246510,168670,647337,3670,17054,1040,4239,1250,5618,18520,81734,16060,85156,478730,1868431,643650,7493208,9770,43734
50,Non-capital losses of other years,Pertes autres que des pertes en capital d'autres années,2012, 13090,165570,4130,39945,90,498,360,6696,560,4202,4170,70813,1840,25277,950,6825,350,1171,640,10143
51,Net capital losses of other years,Pertes en capital nettes d'autres années,2012, 222330,603856,83040,142639,1750,2956,4130,15974,1620,3794,6500,14956,35050,288837,81610,108380,1300,1051,7330,25268
52,Capital gains deduction,Déduction pour gains en capital,2012, 17490,1294267,4870,81814,1390,91934,140,11090,50,983,370,11916,8450,1082351,1830,8214,110,140,260,5824
53,Northern residents deductions,Déductions pour les habitants de régions éloignées,2012, 5170,15490,4120,12737,,,20,51,,,110,282,110,240,560,1607,190,400,60,160
54,Additional deductions,Déductions supplémentaires,2012, 66590,287558,4610,89792,140,332,200,973,70,79,700,2252,3310,10955,54540,160148,1490,6806,1530,16220
55,Farming/fishing losses of prior years,Pertes provenant de la pêche et pertes agricoles d'autres années,2012, 3950,40679,1000,5745,1910,26741,30,118,10,188,270,1850,300,3995,360,1487,30,177,50,380
56,Total deductions from net income,Total des déductions du revenu net,2012, 1652930,13463949,283340,1789108,8290,139691,5880,41815,3510,14946,30030,186513,61110,1522205,596940,2157989,644640,7503077,19180,108606
57,Taxable income assessed,Revenu imposable établi,2012, 9673560,400400418,5883000,278094000,39050,1339144,77910,8601762,50510,1975271,501670,11870286,415950,29106295,1859400,56730384,616540,4114549,229540,8568726
58,Basic personal amount,Montant personnel de base,2012, 10065770,108362828,5889580,63332715,41770,451995,79570,858798,52420,565929,522650,5633583,424130,4570025,1861920,20122992,891460,9586587,302270,3240204
59,Age amount,Montant en raison de l'âge,2012, 1886690,11232059,110200,525692,10030,57382,4570,21322,3830,20607,32410,195062,77540,386885,1444360,8704534,179100,1191337,24650,129239
60,Spouse or common-law partner amount,Montant pour époux ou conjoint de fait,2012, 837960,6331875,551520,4259800,4840,31168,6320,47833,5820,43306,78920,602620,29300,215528,65120,307438,77660,682278,18470,141904
