#,Item,Poste,Tax year/D'année d'imposition, Grand total/Total global #,Grand total/Total global $ (000),Employment/Emploi # ,Employment/Emploi $ (000),Fishing and Farming/ Pêche et Agriculture #,Fishing and Farming/ Pêche et Agriculture $ (000),Professional income/Professions libérales #,Professional income/Professions libérales $ (000),Sales (self-employed)/Ventes (travail indép.) #,Sales (self-employed)/Ventes (travail indép.) $ (000),Proprietorships/Partnerships/Entreprises indiv./Soc. de pers. #,Proprietorships/Partnerships/Entreprises indiv./Soc. de pers. $ (000),Investment/Placement #,Investment/Placement $ (000),Pension/Pension #,Pension/Pension $ (000),Benefit/Bénéficiaire #,Benefit/Bénéficiaire $ (000),Others/Autre #,Others/Autre $ (000)
1,Number of taxable returns,Nombre de déclarations imposables,2012, 83340,,52500,,2530,,310,,170,,3100,,2270,,16370,,5050,,1040,
2,Number of non-taxable returns,Nombre de déclarations non imposables,2012, 28910,,11620,,310,,30,,20,,540,,770,,8780,,5900,,950,
3,Total number of returns,Nombre total de déclarations,2012, 112250,,64120,,2840,,340,,190,,3640,,3040,,25150,,10950,,1990,
4,Employment income,Revenus d'emploi,2012, 76330,2465803,63620,2327482,980,17088,100,2311,30,373,890,13089,1160,31287,2940,22694,5970,44582,640,6897
5,Commissions (from employment),Commissions (d'emploi),2012, 1230,24515,1140,24202,,,,,,,10,81,,,20,52,50,55,,
6,Other employment income,Autres revenus d'emploi,2012, 5190,28765,3380,24358,30,81,,,,,90,344,100,384,1290,3056,180,149,90,272
7,Old Age Security pension (OASP),Pension de la sécurité de la vieillesse,2012, 24580,148686,1490,7806,380,2226,50,286,30,153,360,2084,770,4206,19700,121795,1630,9235,200,895
8,CPP or QPP benefits,Prestations du Régime de pensions du Canada (RPC) ou du Régime de rentes du Québec (RRQ),2012, 34940,212445,5610,29250,680,3315,60,459,40,264,690,3586,1050,6292,23680,157318,2480,8022,640,3939
9,Other pensions or superannuation,Autres pensions et pensions de retraite,2012, 17150,317099,1420,20600,120,1493,30,705,20,279,190,3280,460,6957,14540,279563,140,666,240,3555
10,Elected split-pension amount ,Choix du montant de pension fractionné,2012, 5610,53661,920,5076,70,355,,,,,120,828,170,1071,4150,45474,90,378,70,341
11,Universal Child Care Benefit (UCCB),Prestation universelle pour la garde d'enfants (PUGE),2012, 6610,9750,3750,5256,160,248,20,37,10,22,330,500,110,173,60,80,2120,3365,50,69
12,Employment Insurance and other benefits,Prestations d'assurance-emploi et autres prestations,2012, 25210,224608,15360,106640,1990,28461,,,,,260,2294,200,1801,1040,7510,6180,76506,170,1296
13,Taxable amount of dividends from taxable Canadian corporations,Montant imposable des dividendes,2012, 13760,144000,5680,22370,650,2103,80,1297,50,145,380,1122,1920,103488,4470,12048,280,268,260,1159
14,Interest and other investment income,Intérêts et autres revenus de placements,2012, 22460,32192,8150,6137,1070,1308,100,274,30,31,680,822,1760,10256,9400,12255,820,442,450,666
15,Net partnership income (Limited or non-active partners only),Revenus nets de société de personnes,2012, 100,174,30,-111,,,,,,,,,30,273,30,11,,,,
16,Net rental income,Revenus nets de location,2012, 3830,8451,1640,516,140,232,30,18,20,15,230,434,820,6239,820,925,80,40,40,32
17,Taxable capital gains,Gains en capital imposables,2012, 6020,45003,2130,4646,270,1876,50,122,,,190,1391,880,32966,2220,3294,,,140,563
18,Registered retirement savings plan income (RRSP),Revenu d'un régime enregistré d'épargne-retraite (REER),2012, 8520,47780,4700,16884,190,1157,30,106,30,136,270,1299,180,1346,2050,10877,380,1094,690,14882
19,Other income,Autres revenus,2012, 13080,54164,5910,15007,710,1217,60,303,40,117,310,794,710,2510,3700,8228,570,909,1060,25079
20,Net business income,Revenus nets d'entreprise,2012, 6760,71984,1870,2685,130,1096,10,16,20,9,3550,66727,240,798,700,688,170,-69,70,34
21,Net professional income,Revenus nets de profession libérale,2012, 890,29439,350,4691,,,340,23135,,,20,218,40,893,110,417,20,-1,10,23
22,Net commission income,Revenus nets de commissions,2012, 560,8314,230,262,,,,,190,7394,,,20,250,60,117,20,17,20,28
23,Net farming income,Revenus nets d'agriculture,2012, 1860,4895,440,-1322,900,8202,,,,,80,-304,90,-512,290,-921,50,-121,10,-87
24,Net fishing income,Revenus nets de pêche,2012, 2930,52958,380,440,1920,51527,,,,,30,121,20,274,,,520,520,,
25,Workers' compensation benefits,Indemnités pour accidents du travail,2012, 2240,19179,930,3904,10,83,,,,,30,220,20,176,530,2649,690,11901,30,246
26,Social assistance payments,Prestations d'assistance sociale,2012, 4250,28461,700,1740,,,,,,,20,57,,,430,1415,3080,25175,20,42
27,Net federal supplements,Versement net des suppléments fédéraux,2012, 11190,46001,230,348,120,425,,,,,130,351,120,351,8940,32789,1590,11544,60,140
28,Total income assessed,Revenu total établi,2012, 111800,4080414,64120,2629390,2830,122632,340,29383,190,9073,3620,99593,3040,211548,25150,722662,10950,194853,1570,61280
29,Registered pension plan contributions (RPP),Cotisations à un régime de pension agréé (RPA),2012, 21000,68997,19770,67178,80,203,,,,,100,221,120,343,540,689,250,123,120,217
30,RRSP deduction,Cotisations à un REER,2012, 19360,90558,15970,69636,550,4104,130,1936,60,468,660,3704,530,5086,880,2760,400,732,190,2132
31,Deduction for elected split-pension amount,Déduction pour le choix du montant de pension fractionné,2012, 5600,53511,670,6118,50,343,10,240,,,100,820,170,1449,4430,43251,,,110,1042
32,"Annual union, professional, or like dues","Cotisations annuelles syndicales, professionnelles et semblables",2012, 23610,13548,20690,12910,150,62,,,,,220,72,190,84,1130,187,1040,168,140,42
33,Child care expenses,Frais de garde d'enfants,2012, 5500,18911,4390,16165,120,349,30,95,10,36,250,676,60,194,20,48,600,1320,20,28
34,Business investment loss,Perte au titre d'un placement d'entreprise,2012, 10,134,,,,,,,,,,,,,,,,,,
35,Moving expenses,Frais de déménagement,2012, 540,2001,450,1612,,,,,,,20,126,10,74,10,53,20,41,10,32
36,Support payments made,Pension alimentaire payée,2012, 210,2140,110,1190,,,,,,,10,67,10,176,70,547,,,,
37,Carrying charges and interest expenses,Frais financiers et frais d'intérêts,2012, 6920,10311,2680,3970,160,364,60,157,10,27,140,217,660,2822,2940,2398,120,79,170,279
38,Deductions for CPP/QPP contributions on self-employment and other earnings,Déductions pour cotisations au RPC ou au RRQ pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 6660,5458,1020,168,1940,2169,270,361,150,213,2700,2371,150,81,160,45,250,40,20,8
39,Deductions for provincial parental insurance plan (PPIP) premiums on self-employment income,Déduction pour cotisations au Régime provincial d'assurance parentale (RPAP) pour le revenu d'un travail indépendant,2012, ,,,,,,,,,,,,,,,,,,,
40,Exploration and development expenses,Frais d'exploration et d'aménagement,2012, 50,522,20,355,,,,,,,,,,,,,,,,
41,Other employment expenses,Autres dépenses d'emploi,2012, 2180,9782,1960,8951,40,100,,,,,30,126,30,113,60,244,50,152,10,20
42,Clergy residence deduction,Déduction pour la résidence d'un membre du clergé,2012, 140,1492,130,1359,,,,,,,,,,,20,112,,,,
43,Other deductions,Autres déductions,2012, 4710,4518,2680,1863,200,331,,,,,80,29,190,82,660,1608,820,456,60,135
44,Total deductions before adjustments,Total des déductions avant rajustements,2012, 56570,281912,38200,191611,2250,8070,310,2958,170,960,2990,8447,1450,10627,7970,51974,2710,3288,540,3977
45,Social benefits repayment,Remboursement des prestations de programmes sociaux,2012, 2250,5728,940,1802,490,1542,20,100,,,40,100,280,1083,400,891,,,70,186
