#,Item,Poste,Tax year/D'année d'imposition, Grand total/Total global #,Grand total/Total global $ (000),Employment/Emploi # ,Employment/Emploi $ (000),Fishing and Farming/ Pêche et Agriculture #,Fishing and Farming/ Pêche et Agriculture $ (000),Professional income/Professions libérales #,Professional income/Professions libérales $ (000),Sales (self-employed)/Ventes (travail indép.) #,Sales (self-employed)/Ventes (travail indép.) $ (000),Proprietorships/Partnerships/Entreprises indiv./Soc. de pers. #,Proprietorships/Partnerships/Entreprises indiv./Soc. de pers. $ (000),Investment/Placement #,Investment/Placement $ (000),Pension/Pension #,Pension/Pension $ (000),Benefit/Bénéficiaire #,Benefit/Bénéficiaire $ (000),Others/Autre #,Others/Autre $ (000)
1,Number of taxable returns,Nombre de déclarations imposables,2012, 3956730,,2800240,,11900,,41540,,12740,,123650,,138030,,684790,,81270,,62580,
2,Number of non-taxable returns,Nombre de déclarations non imposables,2012, 2435610,,865190,,11320,,14380,,8120,,122010,,98540,,698660,,518570,,98830,
3,Total number of returns,Nombre total de déclarations,2012, 6392340,,3665430,,23220,,55920,,20850,,245660,,236560,,1383450,,599840,,161410,
4,Employment income,Revenus d'emploi,2012, 4174070,155099828,3643490,149236397,7430,148330,13720,259726,4070,33148,52870,587005,82750,2525856,162710,963392,160050,908990,46990,436981
5,Commissions (from employment),Commissions (d'emploi),2012, 137630,2563825,128200,2494326,90,1142,170,591,350,2393,1560,17289,1740,31696,1840,6314,2690,4161,980,5912
6,Other employment income,Autres revenus d'emploi,2012, 513010,1458595,371080,1264153,800,2135,3310,8537,920,972,7630,19879,12660,36953,96470,95886,14160,14033,5990,16047
7,Old Age Security pension (OASP),Pension de la sécurité de la vieillesse,2012, 1335510,8023344,57030,276702,3710,22275,5280,27874,1680,9269,13310,72917,63200,364544,1078300,6704952,100340,486317,12660,58493
8,CPP or QPP benefits,Prestations du Régime de pensions du Canada (RPC) ou du Régime de rentes du Québec (RRQ),2012, 1693820,10551365,163760,1011151,5580,28954,6540,54736,2660,18334,25410,136353,81760,508662,1270610,8394537,101900,187272,35590,211366
9,Other pensions or superannuation,Autres pensions et pensions de retraite,2012, 1021280,19467442,67760,1138074,2110,25362,2810,87742,770,12512,7260,114074,40010,652846,879840,17203240,7730,42915,12980,190677
10,Elected split-pension amount ,Choix du montant de pension fractionné,2012, 268010,2798295,51890,326369,590,4111,1440,11229,500,3731,4790,35675,10930,70671,190690,2308349,1960,10826,5210,27335
11,Universal Child Care Benefit (UCCB),Prestation universelle pour la garde d'enfants (PUGE),2012, 403600,601537,218680,312251,1460,2454,4100,6146,1560,2278,26550,39713,9880,15427,950,1198,131750,210133,8680,11936
12,Employment Insurance and other benefits,Prestations d'assurance-emploi et autres prestations,2012, 805350,5215134,612190,3178786,2400,23744,2510,19784,820,4493,12540,64618,12300,91679,20470,109292,131790,1662797,10310,59940
13,Taxable amount of dividends from taxable Canadian corporations,Montant imposable des dividendes,2012, 781200,10665015,346240,1578247,5250,25926,14800,184513,3310,17998,21530,132609,132760,8095821,229910,557301,10100,9588,17300,63011
14,Interest and other investment income,Intérêts et autres revenus de placements,2012, 1377790,2877034,553610,533264,8660,21586,20170,67573,4030,5725,37810,53814,131010,1038312,559420,1075963,32000,20981,31090,59815
15,Net partnership income (Limited or non-active partners only),Revenus nets de société de personnes,2012, 12700,47128,5140,148,60,37,1130,11716,130,-112,360,964,3100,33573,2470,700,50,30,280,71
16,Net rental income,Revenus nets de location,2012, 382080,1642982,175120,105828,1800,7159,5030,13270,2180,1432,20960,56614,102540,1338497,64430,114992,6070,1641,3970,3550
17,Taxable capital gains,Gains en capital imposables,2012, 409030,3430998,171870,390918,3790,64179,8440,48403,1850,7309,13590,71878,65530,2626255,127190,167417,5830,5300,10950,49339
18,Registered retirement savings plan income (RRSP),Revenu d'un régime enregistré d'épargne-retraite (REER),2012, 525560,2377732,305750,776230,1340,6868,3740,24684,2750,16393,23060,71980,19440,123751,108660,536310,20900,38007,39930,783509
19,Other income,Autres revenus,2012, 872670,4071049,397900,1040254,7590,21693,11890,36744,2970,6421,23540,64902,61870,281683,216980,468623,48950,91390,100990,2059340
20,Net business income,Revenus nets d'entreprise,2012, 417440,5115678,112210,177874,1320,8839,1310,6466,710,876,242300,4761399,17300,109938,27480,67013,8940,-24506,5880,7778
21,Net professional income,Revenus nets de profession libérale,2012, 97850,5832637,26190,129255,90,2488,55480,5512331,160,440,1010,19387,4830,118886,7330,39943,1410,2616,1340,7292
22,Net commission income,Revenus nets de commissions,2012, 43160,775078,13390,27128,30,234,220,933,20670,702929,1240,8540,2520,25525,3150,6544,1090,1367,840,1877
23,Net farming income,Revenus nets d'agriculture,2012, 43720,230732,10940,-25541,21190,280508,300,-1677,60,-334,1400,-1392,3070,-6708,5820,-11486,500,-1083,450,-1557
24,Net fishing income,Revenus nets de pêche,2012, 1170,22170,100,63,890,21113,,,,,,,40,561,30,24,100,301,,
25,Workers' compensation benefits,Indemnités pour accidents du travail,2012, 178090,1486988,97990,369440,270,2157,150,954,160,897,2370,17405,2780,28079,13390,94628,60010,965789,990,7637
26,Social assistance payments,Prestations d'assistance sociale,2012, 358770,2546369,38880,109666,30,133,250,962,200,730,2540,9441,260,1047,17100,44093,294290,2364630,5220,15666
27,Net federal supplements,Versement net des suppléments fédéraux,2012, 639230,2838564,8550,18539,1880,6840,410,1303,290,949,5320,16813,11620,32862,500640,1822327,107250,931546,3280,7386
28,Total income assessed,Revenu total établi,2012, 6360070,249917399,3665430,164496252,23120,728412,55810,6385297,20820,849151,244830,6375393,236390,18149777,1383450,40785958,599840,7937785,130370,4209374
29,Registered pension plan contributions (RPP),Cotisations à un régime de pension agréé (RPA),2012, 1453600,4148415,1357100,4044156,1470,2891,2920,7963,480,334,9970,8855,15090,29061,27010,25297,31740,19513,7810,10346
30,RRSP deduction,Cotisations à un REER,2012, 1561530,7458390,1320660,5789213,4980,32365,31170,472584,6520,59303,53750,304531,49030,443609,56840,171185,25640,42962,12930,142639
31,Deduction for elected split-pension amount,Déduction pour le choix du montant de pension fractionné,2012, 268000,2796906,33250,315668,690,4456,1500,22913,350,3402,3010,28775,14720,131179,209000,2238220,1200,5247,4280,47047
