#,Item,Poste,Tax year/D'année d'imposition, Grand total/Total global #,Grand total/Total global $ (000),Employment/Emploi # ,Employment/Emploi $ (000),Fishing and Farming/ Pêche et Agriculture #,Fishing and Farming/ Pêche et Agriculture $ (000),Professional income/Professions libérales #,Professional income/Professions libérales $ (000),Sales (self-employed)/Ventes (travail indép.) #,Sales (self-employed)/Ventes (travail indép.) $ (000),Proprietorships/Partnerships/Entreprises indiv./Soc. de pers. #,Proprietorships/Partnerships/Entreprises indiv./Soc. de pers. $ (000),Investment/Placement #,Investment/Placement $ (000),Pension/Pension #,Pension/Pension $ (000),Benefit/Bénéficiaire #,Benefit/Bénéficiaire $ (000),Others/Autre #,Others/Autre $ (000)
1,Number of taxable returns,Nombre de déclarations imposables,2012, 547650,,369570,,28290,,2690,,1980,,28530,,30540,,71700,,5730,,8620,
2,Number of non-taxable returns,Nombre de déclarations non imposables,2012, 266220,,107340,,8720,,190,,240,,4510,,8550,,67720,,55690,,13260,
3,Total number of returns,Nombre total de déclarations,2012, 813860,,476910,,37010,,2880,,2220,,33050,,39090,,139420,,61420,,21880,
4,Employment income,Revenus d'emploi,2012, 550320,23784349,473910,22619354,11610,320830,640,12352,520,6601,8920,133118,15930,413655,15920,143204,17040,68709,5830,66526
5,Commissions (from employment),Commissions (d'emploi),2012, 13520,399926,12650,387636,100,3829,,,30,543,170,2056,180,4472,130,511,180,485,,
6,Other employment income,Autres revenus d'emploi,2012, 62720,232109,49420,198296,960,2943,110,228,90,110,920,1676,1800,11941,7420,13425,1250,1807,760,1682
7,Old Age Security pension (OASP),Pension de la sécurité de la vieillesse,2012, 160380,975048,9770,49738,10540,64976,320,1600,240,1335,2540,14570,10000,58056,116410,727149,8800,49537,1750,8088
8,CPP or QPP benefits,Prestations du Régime de pensions du Canada (RPC) ou du Régime de rentes du Québec (RRQ),2012, 200380,1297074,24820,144849,13100,78049,430,3329,380,2577,4550,25048,13480,83206,130060,909201,8660,20440,4910,30376
9,Other pensions or superannuation,Autres pensions et pensions de retraite,2012, 121190,2040588,9870,168198,5870,58514,210,5652,130,1698,1550,22555,6780,83807,94430,1679868,730,1885,1620,18411
10,Elected split-pension amount ,Choix du montant de pension fractionné,2012, 29790,280840,5590,33745,1460,7891,70,623,50,343,770,5255,1760,10197,19250,218048,100,539,740,4198
11,Universal Child Care Benefit (UCCB),Prestation universelle pour la garde d'enfants (PUGE),2012, 61390,95903,27830,39292,1710,3026,260,403,200,340,3460,5642,2010,3424,220,262,24830,42181,880,1332
12,Employment Insurance and other benefits,Prestations d'assurance-emploi et autres prestations,2012, 56970,378192,42630,234787,990,7443,20,161,40,224,700,3703,740,5550,1160,6199,10060,116328,620,3799
13,Taxable amount of dividends from taxable Canadian corporations,Montant imposable des dividendes,2012, 143900,2365627,55540,314608,15260,67764,770,11634,520,4217,4290,26133,28910,1837678,33850,88234,1510,1185,3240,14173
14,Interest and other investment income,Intérêts et autres revenus de placements,2012, 217730,429309,81670,72610,18110,41155,1120,2258,610,649,7730,8509,22800,143458,76700,150386,4150,1855,4850,8430
15,Net partnership income (Limited or non-active partners only),Revenus nets de société de personnes,2012, 5410,15538,2180,-576,540,-225,90,229,50,35,210,255,1450,15558,750,180,10,5,130,77
16,Net rental income,Revenus nets de location,2012, 41330,226117,17480,40443,1770,11806,280,1025,310,1041,2440,9512,11430,132018,6770,25612,320,488,540,4172
17,Taxable capital gains,Gains en capital imposables,2012, 72860,821761,25360,69368,8400,95927,380,1620,290,1313,2610,16400,12770,598614,20100,29170,950,370,2010,8981
18,Registered retirement savings plan income (RRSP),Revenu d'un régime enregistré d'épargne-retraite (REER),2012, 54110,315546,30350,111651,1430,11019,190,1562,200,1200,2230,10933,2680,20627,11240,58120,1170,2329,4610,98105
19,Other income,Autres revenus,2012, 156260,633493,71980,153893,14970,39570,750,2809,600,1717,6440,14830,13570,46851,32530,49030,3680,5130,11760,319664
20,Net business income,Revenus nets d'entreprise,2012, 63690,940712,18660,42484,2630,25969,140,492,150,357,32410,834260,3290,21401,4710,12418,830,949,870,2381
21,Net professional income,Revenus nets de profession libérale,2012, 6070,284661,1950,11336,90,1305,2850,258777,10,14,100,1739,420,8291,510,2656,60,106,100,437
22,Net commission income,Revenus nets de commissions,2012, 6830,126472,2940,7733,240,2316,20,98,2180,109703,240,1880,410,3233,500,1203,200,174,100,129
23,Net farming income,Revenus nets d'agriculture,2012, 62740,660282,12830,-26455,36150,666718,110,-282,80,-152,2140,-2876,4380,21689,6210,4459,430,-1509,410,-1310
24,Net fishing income,Revenus nets de pêche,2012, 290,933,80,-84,140,899,,,,,20,61,,,20,-1,30,39,,
25,Workers' compensation benefits,Indemnités pour accidents du travail,2012, 13990,103230,9700,33134,230,1942,10,94,10,77,320,1987,170,1630,760,5273,2690,58358,100,735
