#,Item,Poste,Tax year/D'année d'imposition, Grand total/Total global #,Grand total/Total global $ (000),Employment/Emploi # ,Employment/Emploi $ (000),Fishing and Farming/ Pêche et Agriculture #,Fishing and Farming/ Pêche et Agriculture $ (000),Professional income/Professions libérales #,Professional income/Professions libérales $ (000),Sales (self-employed)/Ventes (travail indép.) #,Sales (self-employed)/Ventes (travail indép.) $ (000),Proprietorships/Partnerships/Entreprises indiv./Soc. de pers. #,Proprietorships/Partnerships/Entreprises indiv./Soc. de pers. $ (000),Investment/Placement #,Investment/Placement $ (000),Pension/Pension #,Pension/Pension $ (000),Benefit/Bénéficiaire #,Benefit/Bénéficiaire $ (000),Others/Autre #,Others/Autre $ (000)
1,Number of taxable returns,Nombre de déclarations imposables,2012, 19970,,15570,,20,,160,,30,,1360,,580,,1570,,470,,220,
2,Number of non-taxable returns,Nombre de déclarations non imposables,2012, 6930,,3240,,,,10,,,,240,,240,,1390,,1620,,190,
3,Total number of returns,Nombre total de déclarations,2012, 26910,,18810,,20,,180,,30,,1600,,810,,2960,,2090,,410,
4,Employment income,Revenus d'emploi,2012, 21510,1015266,18690,977272,,,50,491,,,490,10108,390,11713,650,5446,1030,6066,200,3779
5,Commissions (from employment),Commissions (d'emploi),2012, 240,9086,220,8794,,,,,,,,,10,232,,,,,,
6,Other employment income,Autres revenus d'emploi,2012, 1280,9235,970,7943,,,10,47,,,40,137,40,196,180,735,,,20,129
7,Old Age Security pension (OASP),Pension de la sécurité de la vieillesse,2012, 3440,19937,530,2591,,,20,86,,,160,887,180,941,2270,13932,230,1187,60,251
8,CPP or QPP benefits,Prestations du Régime de pensions du Canada (RPC) ou du Régime de rentes du Québec (RRQ),2012, 4730,32414,1080,6897,,,20,148,,,230,1361,240,1631,2720,20407,320,1166,110,709
9,Other pensions or superannuation,Autres pensions et pensions de retraite,2012, 2770,55203,530,8112,,,10,204,,,100,1883,130,1786,1900,41702,30,116,80,1387
10,Elected split-pension amount ,Choix du montant de pension fractionné,2012, 710,6862,250,1481,,,,,,,40,295,30,297,360,4555,,,20,110
11,Universal Child Care Benefit (UCCB),Prestation universelle pour la garde d'enfants (PUGE),2012, 1720,2542,980,1382,,,10,18,,,120,179,60,107,,,520,811,20,26
12,Employment Insurance and other benefits,Prestations d'assurance-emploi et autres prestations,2012, 3410,28817,2580,18468,,,,,,,60,388,20,195,40,363,680,9197,,
13,Taxable amount of dividends from taxable Canadian corporations,Montant imposable des dividendes,2012, 3930,50214,2170,11005,,,50,418,,,230,1236,580,34523,760,2527,50,90,80,378
