#,Item,Poste,Tax year/D'année d'imposition, Grand total males/Total global hommes #,Grand total males/Total global hommes $ (000),Grand total females/Total global femmes #,Grand total total/Total global femmes $ (000),Grand total total/Total global total #,Grand total total/Total global total $ (000),Age group: under 20 males/Groupe d'âge : moins de 20 ans hommes #,Age group: under 20 males/Groupe d'âge : moins de 20 ans hommes $ (000),Age group: under 20 females/Groupe d'âge : moins de 20 ans femmes #,Age group: under 20 females/Groupe d'âge : moins de 20 ans femmes $ (000),Age group: under 20 total/Groupe d'âge : moins de 20 ans total #,Age group: under 20 total/Groupe d'âge : moins de 20 ans total $ (000),Age group: 20-24 males/Groupe d'âge : 20-24 hommes #,Age group: 20-24 males/Groupe d'âge : 20-24 hommes $ (000),Age group: 20-24 females/Groupe d'âge : 20-24 femmes #,Age group: 20-24 females/Groupe d'âge : 20-24 femmes $ (000),Age group: 20-24 total/Groupe d'âge : 20-24 total #,Age group: 20-24 total/Groupe d'âge : 20-24 total $ (000),Age group: 25-29 males/Groupe d'âge : 25-29 hommes #,Age group: 25-29 males/Groupe d'âge : 25-29 hommes $ (000),Age group: 25-29 females/Groupe d'âge : 25-29 femmes #,Age group: 25-29 females/Groupe d'âge : 25-29 femmes $ (000),Age group: 25-29 total/Groupe d'âge : 25-29 total #,Age group: 25-29 total/Groupe d'âge : 25-29 total $ (000),Age group: 30-34 males/Groupe d'âge : 30-34 hommes #,Age group: 30-34 males/Groupe d'âge : 30-34 hommes $ (000),Age group: 30-34 females/Groupe d'âge : 30-34 femmes #,Age group: 30-34 females/Groupe d'âge : 30-34 femmes $ (000),Age group: 30-34 total/Groupe d'âge : 30-34 total #,Age group: 30-34 total/Groupe d'âge : 30-34 total $ (000),Age group: 35-39 males/Groupe d'âge : 35-39 hommes #,Age group: 35-39 males/Groupe d'âge : 35-39 hommes $ (000),Age group: 35-39 females/Groupe d'âge : 35-39 femmes #,Age group: 35-39 females/Groupe d'âge : 35-39 femmes $ (000),Age group: 35-39 total/Groupe d'âge : 35-39 total #,Age group: 35-39 total/Groupe d'âge : 35-39 total $ (000),Age group: 40-44 males/Groupe d'âge : 40-44 hommes #,Age group: 40-44 males/Groupe d'âge : 40-44 hommes $ (000),Age group: 40-44 females/Groupe d'âge : 40-44 femmes #,Age group: 40-44 females/Groupe d'âge : 40-44 femmes $ (000),Age group: 40-44 total/Groupe d'âge : 40-44 total #,Age group: 40-44 total/Groupe d'âge : 40-44 total $ (000),Age group: 45-49 males/Groupe d'âge : 45-49 hommes #,Age group: 45-49 males/Groupe d'âge : 45-49 hommes $ (000),Age group: 45-49 females/Groupe d'âge : 45-49 femmes #,Age group: 45-49 females/Groupe d'âge : 45-49 femmes $ (000),Age group: 45-49 total/Groupe d'âge : 45-49 total #,Age group: 45-49 total/Groupe d'âge : 45-49 total $ (000),Age group: 50-54 males/Groupe d'âge : 50-54 hommes #,Age group: 50-54 males/Groupe d'âge : 50-54 hommes $,Age group: 50-54 females/Groupe d'âge : 50-54 femmes #,Age group: 50-54 females/Groupe d'âge : 50-54 femmes $,Age group: 50-54 total/Groupe d'âge : 50-54 total #,Age group: 50-54 total/Groupe d'âge : 50-54 total $,Age group: 55-59 males/Groupe d'âge : 55-59 hommes #,Age group: 55-59 males/Groupe d'âge : 55-59 hommes $ (000),Age group: 55-59 females/Groupe d'âge : 55-59 femmes #,Age group: 55-59 females/Groupe d'âge : 55-59 femmes $ (000),Age group: 55-59 total/Groupe d'âge : 55-59 total #,Age group: 55-59 total/Groupe d'âge : 55-59 total $ (000),Age group: 60-64 males/Groupe d'âge : 60-64 hommes #,Age group: 60-64 males/Groupe d'âge : 60-64 hommes $ (000),Age group: 60-64 females/Groupe d'âge : 60-64 femmes #,Age group: 60-64 females/Groupe d'âge : 60-64 femmes $ (000),Age group: 60-64 total/Groupe d'âge : 60-64 total #,Age group: 60-64 total/Groupe d'âge : 60-64 total $ (000),Age group: 65-69 males/Groupe d'âge : 65-69 hommes #,Age group: 65-69 males/Groupe d'âge : 65-69 hommes $ (000),Age group: 65-69 females/Groupe d'âge : 65-69 femmes #,Age group: 65-69 females/Groupe d'âge : 65-69 femmes $ (000),Age group: 65-69 total/Groupe d'âge : 65-69 total #,Age group: 65-69 total/Groupe d'âge : 65-69 total $ (000),Age group: 70-74 males/Groupe d'âge : 70-74 hommes #,Age group: 70-74 males/Groupe d'âge : 70-74 hommes $ (000),Age group: 70-74 females/Groupe d'âge : 70-74 femmes #,Age group: 70-74 females/Groupe d'âge : 70-74 femmes $ (000),Age group: 70-74 total/Groupe d'âge : 70-74 total #,Age group: 70-74 total/Groupe d'âge : 70-74 total $ (000),Age group: 75 and over males/Groupe d'âge : 75 et plus hommes #,Age group: 75 and over males/Groupe d'âge : 75 et plus hommes $ (000),Age group: 75 and over females/Groupe d'âge : 75 et plus femmes #,Age group: 75 and over females/Groupe d'âge : 75 et plus femmes $ (000),Age group: 75 and over total/Groupe d'âge : 75 et plus total #,Age group: 75 and over total/Groupe d'âge : 75 et plus total $ (000)
1,Number of taxable returns,Nombre de déclarations imposables,2012, 1141760,,925420,,2067250,,21550,,12160,,33710,,86440,,58600,,145050,,125940,,97120,,223070,,129590,,98350,,227940,,119780,,89940,,209720,,115100,,91780,,206890,,114830,,97880,,212710,,120260,,104710,,224980,,105910,,90350,,196260,,77800,,66910,,144710,,50490,,42600,,93100,,30300,,27260,,57560,,43780,,47780,,91570,
2,Number of non-taxable returns,Nombre de déclarations non imposables,2012, 296230,,515550,,812730,,46660,,52260,,98980,,44790,,68820,,113840,,25120,,49920,,75210,,16850,,46640,,63650,,14100,,40010,,54260,,13870,,33130,,47070,,14250,,28550,,42840,,14930,,28100,,43050,,14870,,26030,,40910,,14190,,23840,,38050,,18810,,28340,,47170,,17780,,24250,,42030,,40020,,65650,,105680,
3,Total number of returns,Nombre total de déclarations,2012, 1437990,,1440980,,2879990,,68200,,64410,,132680,,131230,,127430,,258890,,151060,,147040,,298280,,146440,,144980,,291590,,133870,,129950,,263980,,128970,,124910,,253960,,129080,,126430,,255560,,135190,,132810,,268030,,120780,,116380,,237170,,91990,,90750,,182750,,69300,,70940,,140260,,48080,,51510,,99590,,83810,,113430,,197250,
4,Employment income,Revenus d'emploi,2012, 1118750,79629043,1011500,39544338,2130650,119174708,63310,768275,58910,479448,122250,1247739,123120,4177059,114810,2385005,238000,6562163,140380,7874688,125480,4423043,265920,12297804,133530,9139197,116730,4568427,250330,13707734,119620,9472799,104660,4526215,224330,13999252,113390,9868639,103810,4934456,217230,14803259,111080,10239906,106090,5276690,217190,15516671,113840,11090038,109030,5561478,222880,16651516,95570,9270892,87750,4284187,183320,13555417,60360,4973253,52330,2164666,112690,7137949,29050,1924395,22160,692684,51210,2617187,10310,510513,6670,174417,16980,684930,5200,319388,3090,73622,8290,393089
5,Commissions (from employment),Commissions (d'emploi),2012, 40510,1816516,30720,506320,71240,2322835,1240,3732,1830,2817,3070,6549,4590,42012,6740,31749,11330,73761,5630,125242,5640,67388,11270,192630,5690,217591,3850,65711,9540,283302,4910,268929,2740,60507,7650,329435,4700,309416,2520,67508,7220,376924,4060,256445,2420,69874,6480,326318,3690,228366,2250,72541,5940,300907,2990,192453,1550,42120,4540,234573,1850,114561,780,19981,2640,134543,860,40939,300,4663,1160,45602,230,14161,80,1159,310,15320,70,2669,30,302,90,2971
6,Other employment income,Autres revenus d'emploi,2012, 125820,1027722,94290,434884,220120,1462804,2290,6033,3260,6685,5560,12719,7460,19351,10370,23443,17830,42798,11630,43606,11200,34089,22830,77711,12120,72818,9860,38084,21980,110944,11470,89130,8140,40711,19620,129897,11580,112652,8090,45630,19670,158341,11920,122310,8300,51066,20220,173393,13730,218684,9400,63715,23130,282403,13970,163028,9150,61887,23120,224914,11950,107790,7480,49242,19440,157032,7630,43278,4400,12628,12030,55906,4020,14272,2150,4172,6170,18444,6030,14771,2490,3531,8520,18301
7,Old Age Security pension (OASP),Pension de la sécurité de la vieillesse,2012, 199500,1132562,234170,1348567,433690,2481183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68280,349720,70050,368103,138340,717829,47790,287164,51140,308080,98940,595251,83430,495678,112970,672384,196420,1168103
8,CPP or QPP benefits,Prestations du Régime de pensions du Canada (RPC) ou du Régime de rentes du Québec (RRQ),2012, 249100,1881810,291920,1813184,541030,3695008,740,1389,850,1589,1600,2979,1410,3367,2240,5335,3640,8702,410,2088,470,1862,880,3950,470,3648,640,4159,1100,7807,720,5481,1250,7937,1970,13417,1270,9649,2260,14622,3530,24271,2200,17298,4120,28378,6320,45680,3930,32371,7420,53826,11350,86197,5920,52363,10350,76579,16270,128943,41590,280816,47110,266243,88700,547059,63370,474546,64840,386795,128210,861343,46510,362471,47750,293681,94260,656152,80560,636322,102640,672177,183200,1308507
9,Other pensions or superannuation,Autres pensions et pensions de retraite,2012, 156320,3609917,154790,2210130,311130,5820486,70,360,60,241,130,601,90,230,100,246,180,476,150,408,80,375,230,790,150,849,120,846,280,1711,200,2013,200,1321,400,3355,610,10420,310,3140,930,13560,1360,27966,600,7767,1960,35753,2470,59234,1380,19296,3850,78556,10430,328419,8160,156195,18590,484635,19560,606379,17280,323204,36850,929604,31670,706354,29050,400912,60730,1107383,31140,682911,30490,443666,61630,1126592,58420,1184373,66970,852920,125400,2037468
10,Elected split-pension amount ,Choix du montant de pension fractionné,2012, 16220,96446,68470,789237,84690,885779,,,,,,,,,,,,,,,,,,,30,149,80,461,110,609,40,148,210,1786,250,1934,80,266,670,5513,750,5779,170,619,1540,14549,1710,15197,470,2253,3920,42196,4390,44464,1530,8165,9250,112016,10780,120181,3350,19948,14060,179205,17410,199183,3740,22155,15230,167542,18970,189719,2730,17166,10860,122379,13590,139544,4070,25567,12630,143343,16700,168910
11,Universal Child Care Benefit (UCCB),Prestation universelle pour la garde d'enfants (PUGE),2012, 27720,40539,188530,295145,216530,336187,40,53,1620,1691,1670,1745,490,654,15710,22862,16230,23587,2560,3561,41190,67155,43820,70853,6540,10020,59670,99570,66270,109713,8450,12960,45490,70896,54020,83984,5910,8373,19720,26825,25650,35234,2490,3307,4090,4810,6580,8120,850,1121,630,775,1480,1898,260,327,220,289,480,616,90,99,120,166,200,265,30,41,60,74,100,115,,,,,30,37,,,,,20,19
12,Employment Insurance and other benefits,Prestations d'assurance-emploi et autres prestations,2012, 88570,495990,107470,806256,196050,1302246,1140,4095,470,2039,1610,6134,12590,59895,8740,55550,21330,115444,14440,76150,21300,182804,35740,258953,11910,65876,25280,240127,37190,306003,9290,53897,15390,131973,24690,185870,7850,46890,9000,57315,16860,104204,7730,46377,7920,40069,15640,86446,8120,48592,8030,40562,16140,89154,7010,42870,6080,30332,13090,73203,5130,31554,3630,18025,8760,49579,2330,13983,1240,5908,3570,19891,780,4531,300,1311,1080,5842,260,1281,90,242,350,1523
13,Taxable amount of dividends from taxable Canadian corporations,Montant imposable des dividendes,2012, 310110,9057171,260130,4645811,570260,13704995,2570,24140,2340,25486,4910,49627,8450,85924,6840,71446,15290,157389,16240,245016,11780,127995,28020,373040,21810,532980,15580,295426,37390,828794,24590,778616,17520,425604,42110,1204269,26890,934151,20240,528407,47130,1462691,30630,1099806,24970,554507,55600,1654313,38260,1294744,31940,645756,70210,1940502,39380,1336623,32200,620521,71590,1957144,32130,1054338,27540,486312,59670,1540650,24770,712103,21860,307531,46630,1019634,16510,377546,15480,172464,32000,550010,27880,581186,31830,384357,59710,966933
14,Interest and other investment income,Intérêts et autres revenus de placements,2012, 354850,1040957,384080,883294,739000,1924458,4470,2379,4070,2168,8540,4547,12190,5368,11320,5136,23520,10507,18820,9748,17640,7398,36470,17147,20880,13894,19940,10760,40830,24657,21660,24730,20590,16582,42250,41315,24300,35758,24160,31772,48470,67555,29210,60778,31270,49477,60480,110281,38140,116776,41490,86150,79630,202930,42760,171619,44280,118153,87050,289852,37730,156669,39550,107841,77280,264525,31380,133770,33640,94820,65020,228610,23190,87050,26330,83590,49530,170646,50110,222416,69810,269447,119930,491886
15,Net partnership income (Limited or non-active partners only),Revenus nets de société de personnes,2012, 12090,8974,7240,2385,19330,11350,20,15,10,2,30,17,70,-111,50,36,120,-75,200,65,100,-46,300,20,380,-214,230,-80,610,-294,640,147,390,214,1030,360,990,974,620,-218,1610,747,1320,847,800,-180,2110,667,1880,-168,1150,687,3030,519,2120,-216,1290,84,3420,-133,1780,1308,1000,688,2780,1996,1210,3038,660,959,1870,3998,660,1574,410,388,1070,1962,820,1715,530,-149,1340,1566
16,Net rental income,Revenus nets de location,2012, 85190,277452,78240,252069,163450,529561,40,121,40,107,80,229,750,976,610,1062,1360,2038,4310,4555,3830,4727,8140,9283,7400,5811,6870,8809,14270,14599,8370,8134,7590,12031,15970,20163,8870,13298,8140,14898,17010,28207,9480,20180,9140,21059,18620,41238,11240,36105,10720,31909,21960,68023,11410,38877,10550,35870,21960,74757,8860,39083,7770,34715,16640,73832,5930,34154,5110,27863,11040,62017,3520,26648,3030,18667,6550,45314,5020,49509,4850,40353,9860,89862
17,Taxable capital gains,Gains en capital imposables,2012, 125820,1853572,117250,1032008,243090,2885790,1200,7027,1030,6916,2230,13960,3580,8338,2500,4732,6080,13069,6120,16908,4190,6179,10310,23086,7300,31737,5220,18633,12520,50370,8080,69912,5800,34390,13880,104302,9320,126646,7160,53581,16490,180241,11190,176132,9940,92992,21130,269124,14810,275503,13770,129338,28590,404848,16320,324368,14980,125901,31300,450270,14120,231375,14020,122916,28140,354294,11090,198308,11560,110335,22650,308657,7870,110955,8510,75192,16380,186270,14820,276365,18580,250904,33400,527296
18,Registered retirement savings plan income (RRSP),Revenu d'un régime enregistré d'épargne-retraite (REER),2012, 133080,985493,112400,709318,245480,1694811,270,338,90,441,350,780,3840,8798,1910,3311,5740,12109,10700,34962,6530,15890,17230,50851,15810,56061,11150,31614,26960,87675,18710,77393,14090,44621,32810,122015,18090,87534,14130,55755,32230,143289,14900,113602,12530,72964,27430,186566,13070,132447,12270,100932,25350,233378,10840,139495,11230,113838,22070,253333,9770,143309,10610,120858,20380,264167,8530,118520,8540,92263,17070,210782,3720,41179,3510,27855,7220,69033,4830,31856,5810,28978,10650,60833
19,Other income,Autres revenus,2012, 238480,1459888,228740,933640,467250,2393780,8230,31347,9190,36190,17420,67542,20300,52622,17910,53680,38210,106305,17970,46286,14290,38020,32260,84452,16790,60701,14730,48840,31520,109545,15990,68994,14170,56279,30150,125273,16760,90565,15250,60003,32010,150630,18910,130373,18220,76306,37130,206689,23340,191254,23010,100164,46350,291419,26460,299265,24910,124775,51370,424040,24190,205129,23380,108741,47580,313870,16580,101638,16170,44880,32750,146532,11650,55668,12050,39237,23700,94912,21330,126046,25460,146525,46800,272572
20,Net business income,Revenus nets d'entreprise,2012, 103700,1890209,96950,1032033,200670,2922706,2050,13191,1580,7817,3630,21019,5430,59788,4900,34216,10330,94007,8840,147555,8790,78276,17620,225850,10090,176885,10800,101939,20900,278901,10250,197885,11100,120032,21350,318105,10640,224102,10990,130700,21630,354848,11320,236196,11340,147225,22660,383442,12230,264178,11610,143400,23840,407655,11640,244084,10610,125954,22260,370061,9270,175099,7610,82827,16890,257926,6390,93180,4400,37694,10790,130874,3260,40868,2010,13705,5270,54573,2290,17198,1230,8248,3520,25445
