#,Item,Poste,Tax year/D'année d'imposition, Grand total males/Total global hommes #,Grand total males/Total global hommes $ (000),Grand total females/Total global femmes #,Grand total total/Total global femmes $ (000),Grand total total/Total global total #,Grand total total/Total global total $ (000),Age group: under 20 males/Groupe d'âge : moins de 20 ans hommes #,Age group: under 20 males/Groupe d'âge : moins de 20 ans hommes $ (000),Age group: under 20 females/Groupe d'âge : moins de 20 ans femmes #,Age group: under 20 females/Groupe d'âge : moins de 20 ans femmes $ (000),Age group: under 20 total/Groupe d'âge : moins de 20 ans total #,Age group: under 20 total/Groupe d'âge : moins de 20 ans total $ (000),Age group: 20-24 males/Groupe d'âge : 20-24 hommes #,Age group: 20-24 males/Groupe d'âge : 20-24 hommes $ (000),Age group: 20-24 females/Groupe d'âge : 20-24 femmes #,Age group: 20-24 females/Groupe d'âge : 20-24 femmes $ (000),Age group: 20-24 total/Groupe d'âge : 20-24 total #,Age group: 20-24 total/Groupe d'âge : 20-24 total $ (000),Age group: 25-29 males/Groupe d'âge : 25-29 hommes #,Age group: 25-29 males/Groupe d'âge : 25-29 hommes $ (000),Age group: 25-29 females/Groupe d'âge : 25-29 femmes #,Age group: 25-29 females/Groupe d'âge : 25-29 femmes $ (000),Age group: 25-29 total/Groupe d'âge : 25-29 total #,Age group: 25-29 total/Groupe d'âge : 25-29 total $ (000),Age group: 30-34 males/Groupe d'âge : 30-34 hommes #,Age group: 30-34 males/Groupe d'âge : 30-34 hommes $ (000),Age group: 30-34 females/Groupe d'âge : 30-34 femmes #,Age group: 30-34 females/Groupe d'âge : 30-34 femmes $ (000),Age group: 30-34 total/Groupe d'âge : 30-34 total #,Age group: 30-34 total/Groupe d'âge : 30-34 total $ (000),Age group: 35-39 males/Groupe d'âge : 35-39 hommes #,Age group: 35-39 males/Groupe d'âge : 35-39 hommes $ (000),Age group: 35-39 females/Groupe d'âge : 35-39 femmes #,Age group: 35-39 females/Groupe d'âge : 35-39 femmes $ (000),Age group: 35-39 total/Groupe d'âge : 35-39 total #,Age group: 35-39 total/Groupe d'âge : 35-39 total $ (000),Age group: 40-44 males/Groupe d'âge : 40-44 hommes #,Age group: 40-44 males/Groupe d'âge : 40-44 hommes $ (000),Age group: 40-44 females/Groupe d'âge : 40-44 femmes #,Age group: 40-44 females/Groupe d'âge : 40-44 femmes $ (000),Age group: 40-44 total/Groupe d'âge : 40-44 total #,Age group: 40-44 total/Groupe d'âge : 40-44 total $ (000),Age group: 45-49 males/Groupe d'âge : 45-49 hommes #,Age group: 45-49 males/Groupe d'âge : 45-49 hommes $ (000),Age group: 45-49 females/Groupe d'âge : 45-49 femmes #,Age group: 45-49 females/Groupe d'âge : 45-49 femmes $ (000),Age group: 45-49 total/Groupe d'âge : 45-49 total #,Age group: 45-49 total/Groupe d'âge : 45-49 total $ (000),Age group: 50-54 males/Groupe d'âge : 50-54 hommes #,Age group: 50-54 males/Groupe d'âge : 50-54 hommes $,Age group: 50-54 females/Groupe d'âge : 50-54 femmes #,Age group: 50-54 females/Groupe d'âge : 50-54 femmes $,Age group: 50-54 total/Groupe d'âge : 50-54 total #,Age group: 50-54 total/Groupe d'âge : 50-54 total $,Age group: 55-59 males/Groupe d'âge : 55-59 hommes #,Age group: 55-59 males/Groupe d'âge : 55-59 hommes $ (000),Age group: 55-59 females/Groupe d'âge : 55-59 femmes #,Age group: 55-59 females/Groupe d'âge : 55-59 femmes $ (000),Age group: 55-59 total/Groupe d'âge : 55-59 total #,Age group: 55-59 total/Groupe d'âge : 55-59 total $ (000),Age group: 60-64 males/Groupe d'âge : 60-64 hommes #,Age group: 60-64 males/Groupe d'âge : 60-64 hommes $ (000),Age group: 60-64 females/Groupe d'âge : 60-64 femmes #,Age group: 60-64 females/Groupe d'âge : 60-64 femmes $ (000),Age group: 60-64 total/Groupe d'âge : 60-64 total #,Age group: 60-64 total/Groupe d'âge : 60-64 total $ (000),Age group: 65-69 males/Groupe d'âge : 65-69 hommes #,Age group: 65-69 males/Groupe d'âge : 65-69 hommes $ (000),Age group: 65-69 females/Groupe d'âge : 65-69 femmes #,Age group: 65-69 females/Groupe d'âge : 65-69 femmes $ (000),Age group: 65-69 total/Groupe d'âge : 65-69 total #,Age group: 65-69 total/Groupe d'âge : 65-69 total $ (000),Age group: 70-74 males/Groupe d'âge : 70-74 hommes #,Age group: 70-74 males/Groupe d'âge : 70-74 hommes $ (000),Age group: 70-74 females/Groupe d'âge : 70-74 femmes #,Age group: 70-74 females/Groupe d'âge : 70-74 femmes $ (000),Age group: 70-74 total/Groupe d'âge : 70-74 total #,Age group: 70-74 total/Groupe d'âge : 70-74 total $ (000),Age group: 75 and over males/Groupe d'âge : 75 et plus hommes #,Age group: 75 and over males/Groupe d'âge : 75 et plus hommes $ (000),Age group: 75 and over females/Groupe d'âge : 75 et plus femmes #,Age group: 75 and over females/Groupe d'âge : 75 et plus femmes $ (000),Age group: 75 and over total/Groupe d'âge : 75 et plus total #,Age group: 75 and over total/Groupe d'âge : 75 et plus total $ (000)
1,Number of taxable returns,Nombre de déclarations imposables,2012, 339460,,308190,,647670,,7070,,4570,,11640,,24440,,17160,,41590,,29810,,24140,,53950,,30750,,25380,,56130,,30500,,25790,,56300,,30930,,27540,,58470,,33440,,31360,,64800,,36310,,34210,,70510,,33010,,31490,,64500,,27440,,26720,,54160,,20280,,19130,,39410,,13480,,13350,,26820,,22020,,27370,,49390,
2,Number of non-taxable returns,Nombre de déclarations non imposables,2012, 115590,,172460,,289630,,15270,,17530,,33040,,17920,,24680,,43590,,10880,,16320,,27400,,7600,,13840,,21500,,6530,,12150,,18730,,6750,,10930,,17700,,6870,,9540,,16420,,6580,,9070,,15650,,6060,,8250,,14310,,5510,,7740,,13260,,6540,,8970,,15510,,5510,,7670,,13180,,13560,,25800,,39360,
3,Total number of returns,Nombre total de déclarations,2012, 455040,,480640,,937300,,22340,,22100,,44680,,42360,,41830,,85180,,40690,,40460,,81350,,38350,,39220,,77630,,37040,,37940,,75030,,37680,,38460,,76160,,40310,,40890,,81220,,42880,,43270,,86160,,39070,,39740,,78810,,32960,,34450,,67410,,26820,,28100,,54920,,18990,,21010,,40000,,35580,,53170,,88750,
4,Employment income,Revenus d'emploi,2012, 327020,14318842,312820,9574363,640200,23893372,20370,189004,19660,138635,40100,327639,38950,815952,35670,534772,74790,1350770,36900,1265389,32880,872046,69830,2137445,34100,1464618,31150,954059,65280,2418777,32430,1634981,30720,1058747,63170,2693728,32430,1736663,32270,1196720,64700,2933383,33980,1961375,34960,1380815,68950,3342200,35370,2107882,36330,1468764,71700,3576645,29440,1677861,29860,1132008,59300,2809869,18960,940343,18400,590694,37360,1531037,9040,376802,7630,186944,16670,563746,3300,95470,2190,41586,5490,137057,1770,52501,1110,18576,2880,71077
5,Commissions (from employment),Commissions (d'emploi),2012, 9750,302410,6420,87780,16180,390207,230,643,320,527,550,1170,1090,7852,1400,6594,2490,14446,1380,21526,1060,9603,2440,31145,1140,27614,700,8870,1840,36484,1160,37844,570,9573,1720,47417,1090,46350,560,10510,1650,56860,1060,46001,560,12453,1620,58454,990,45049,560,15246,1550,60295,810,38520,370,8934,1180,47454,500,20152,210,3832,720,23985,240,7798,90,1319,330,9117,60,2508,20,266,80,2774,30,554,,,30,606
6,Other employment income,Autres revenus d'emploi,2012, 34650,128341,30530,99949,65190,228320,760,2161,920,2029,1680,4190,1830,4438,2480,4849,4310,9297,2390,8458,2590,6034,4980,14498,2510,9809,2460,6391,4970,16200,2640,10652,2350,7016,5000,17674,2830,11990,2590,9513,5430,21503,3290,17367,3140,13303,6430,30674,3890,18824,3780,15492,7680,34320,4160,20257,3760,17240,7930,37497,3880,16018,3050,13632,6930,29650,2680,4162,1600,2632,4270,6795,1580,1765,790,686,2370,2451,2200,2440,1020,1131,3220,3571
7,Old Age Security pension (OASP),Pension de la sécurité de la vieillesse,2012, 81020,480189,101930,609529,182950,1089724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26570,144317,27900,152636,54460,296953,18950,118183,20940,131126,39890,249309,35510,217689,53090,325766,88600,543462
8,CPP or QPP benefits,Prestations du Régime de pensions du Canada (RPC) ou du Régime de rentes du Québec (RRQ),2012, 105300,757762,128260,791790,233560,1549558,330,607,370,721,700,1328,530,1207,810,1939,1340,3146,90,331,140,477,230,809,100,765,180,1074,280,1840,230,1628,330,2049,560,3677,440,3189,720,4784,1160,7972,860,6611,1450,9817,2310,16428,1380,11258,2610,18595,3990,29853,2170,18766,3980,29778,6150,48544,20210,131363,22600,127580,42810,258943,25550,178446,26310,154399,51860,332844,18590,136665,19690,119578,38290,256243,34820,266925,49080,321000,83890,587930
9,Other pensions or superannuation,Autres pensions et pensions de retraite,2012, 69780,1529728,78460,1060718,148240,2590480,30,130,20,134,60,264,30,86,40,140,70,227,30,81,20,39,40,120,30,266,30,110,60,375,40,284,50,408,90,692,170,2882,110,777,280,3659,370,7536,250,2712,620,10247,1000,25847,890,14605,1890,40452,4700,145915,5060,103578,9750,249500,9010,269052,9490,178650,18490,447702,14980,310577,14920,188786,29900,499363,13520,279451,13910,184682,27420,464152,25880,487623,33690,386099,59570,873729
10,Elected split-pension amount ,Choix du montant de pension fractionné,2012, 9680,51880,33420,353492,43100,405392,,,,,,,,,,,,,,,,,,,,,20,67,20,86,,,70,616,80,651,20,106,190,1672,220,1779,80,285,570,5423,650,5717,330,1463,1780,16900,2110,18362,1160,6268,4350,48111,5510,54379,2160,12133,6780,79638,8950,91771,2060,11597,7320,75862,9390,87459,1460,8046,5400,56137,6860,64193,2390,11912,6920,68985,9320,80897
