#,Item,Poste,Tax year/D'année d'imposition, Grand total males/Total global hommes #,Grand total males/Total global hommes $ (000),Grand total females/Total global femmes #,Grand total total/Total global femmes $ (000),Grand total total/Total global total #,Grand total total/Total global total $ (000),Age group: under 20 males/Groupe d'âge : moins de 20 ans hommes #,Age group: under 20 males/Groupe d'âge : moins de 20 ans hommes $ (000),Age group: under 20 females/Groupe d'âge : moins de 20 ans femmes #,Age group: under 20 females/Groupe d'âge : moins de 20 ans femmes $ (000),Age group: under 20 total/Groupe d'âge : moins de 20 ans total #,Age group: under 20 total/Groupe d'âge : moins de 20 ans total $ (000),Age group: 20-24 males/Groupe d'âge : 20-24 hommes #,Age group: 20-24 males/Groupe d'âge : 20-24 hommes $ (000),Age group: 20-24 females/Groupe d'âge : 20-24 femmes #,Age group: 20-24 females/Groupe d'âge : 20-24 femmes $ (000),Age group: 20-24 total/Groupe d'âge : 20-24 total #,Age group: 20-24 total/Groupe d'âge : 20-24 total $ (000),Age group: 25-29 males/Groupe d'âge : 25-29 hommes #,Age group: 25-29 males/Groupe d'âge : 25-29 hommes $ (000),Age group: 25-29 females/Groupe d'âge : 25-29 femmes #,Age group: 25-29 females/Groupe d'âge : 25-29 femmes $ (000),Age group: 25-29 total/Groupe d'âge : 25-29 total #,Age group: 25-29 total/Groupe d'âge : 25-29 total $ (000),Age group: 30-34 males/Groupe d'âge : 30-34 hommes #,Age group: 30-34 males/Groupe d'âge : 30-34 hommes $ (000),Age group: 30-34 females/Groupe d'âge : 30-34 femmes #,Age group: 30-34 females/Groupe d'âge : 30-34 femmes $ (000),Age group: 30-34 total/Groupe d'âge : 30-34 total #,Age group: 30-34 total/Groupe d'âge : 30-34 total $ (000),Age group: 35-39 males/Groupe d'âge : 35-39 hommes #,Age group: 35-39 males/Groupe d'âge : 35-39 hommes $ (000),Age group: 35-39 females/Groupe d'âge : 35-39 femmes #,Age group: 35-39 females/Groupe d'âge : 35-39 femmes $ (000),Age group: 35-39 total/Groupe d'âge : 35-39 total #,Age group: 35-39 total/Groupe d'âge : 35-39 total $ (000),Age group: 40-44 males/Groupe d'âge : 40-44 hommes #,Age group: 40-44 males/Groupe d'âge : 40-44 hommes $ (000),Age group: 40-44 females/Groupe d'âge : 40-44 femmes #,Age group: 40-44 females/Groupe d'âge : 40-44 femmes $ (000),Age group: 40-44 total/Groupe d'âge : 40-44 total #,Age group: 40-44 total/Groupe d'âge : 40-44 total $ (000),Age group: 45-49 males/Groupe d'âge : 45-49 hommes #,Age group: 45-49 males/Groupe d'âge : 45-49 hommes $ (000),Age group: 45-49 females/Groupe d'âge : 45-49 femmes #,Age group: 45-49 females/Groupe d'âge : 45-49 femmes $ (000),Age group: 45-49 total/Groupe d'âge : 45-49 total #,Age group: 45-49 total/Groupe d'âge : 45-49 total $ (000),Age group: 50-54 males/Groupe d'âge : 50-54 hommes #,Age group: 50-54 males/Groupe d'âge : 50-54 hommes $,Age group: 50-54 females/Groupe d'âge : 50-54 femmes #,Age group: 50-54 females/Groupe d'âge : 50-54 femmes $,Age group: 50-54 total/Groupe d'âge : 50-54 total #,Age group: 50-54 total/Groupe d'âge : 50-54 total $,Age group: 55-59 males/Groupe d'âge : 55-59 hommes #,Age group: 55-59 males/Groupe d'âge : 55-59 hommes $ (000),Age group: 55-59 females/Groupe d'âge : 55-59 femmes #,Age group: 55-59 females/Groupe d'âge : 55-59 femmes $ (000),Age group: 55-59 total/Groupe d'âge : 55-59 total #,Age group: 55-59 total/Groupe d'âge : 55-59 total $ (000),Age group: 60-64 males/Groupe d'âge : 60-64 hommes #,Age group: 60-64 males/Groupe d'âge : 60-64 hommes $ (000),Age group: 60-64 females/Groupe d'âge : 60-64 femmes #,Age group: 60-64 females/Groupe d'âge : 60-64 femmes $ (000),Age group: 60-64 total/Groupe d'âge : 60-64 total #,Age group: 60-64 total/Groupe d'âge : 60-64 total $ (000),Age group: 65-69 males/Groupe d'âge : 65-69 hommes #,Age group: 65-69 males/Groupe d'âge : 65-69 hommes $ (000),Age group: 65-69 females/Groupe d'âge : 65-69 femmes #,Age group: 65-69 females/Groupe d'âge : 65-69 femmes $ (000),Age group: 65-69 total/Groupe d'âge : 65-69 total #,Age group: 65-69 total/Groupe d'âge : 65-69 total $ (000),Age group: 70-74 males/Groupe d'âge : 70-74 hommes #,Age group: 70-74 males/Groupe d'âge : 70-74 hommes $ (000),Age group: 70-74 females/Groupe d'âge : 70-74 femmes #,Age group: 70-74 females/Groupe d'âge : 70-74 femmes $ (000),Age group: 70-74 total/Groupe d'âge : 70-74 total #,Age group: 70-74 total/Groupe d'âge : 70-74 total $ (000),Age group: 75 and over males/Groupe d'âge : 75 et plus hommes #,Age group: 75 and over males/Groupe d'âge : 75 et plus hommes $ (000),Age group: 75 and over females/Groupe d'âge : 75 et plus femmes #,Age group: 75 and over females/Groupe d'âge : 75 et plus femmes $ (000),Age group: 75 and over total/Groupe d'âge : 75 et plus total #,Age group: 75 and over total/Groupe d'âge : 75 et plus total $ (000)
1,Number of taxable returns,Nombre de déclarations imposables,2012, 152640,,133160,,285810,,1410,,710,,2110,,8860,,5790,,14650,,11160,,9710,,20870,,12240,,10610,,22850,,13630,,11830,,25460,,15650,,14010,,29670,,17120,,16040,,33160,,17650,,16270,,33920,,17150,,15900,,33050,,15760,,13370,,29130,,10250,,7990,,18240,,5420,,4500,,9920,,6350,,6440,,12790,
2,Number of non-taxable returns,Nombre de déclarations non imposables,2012, 54070,,84260,,138450,,6930,,7400,,14340,,5920,,8940,,14900,,2950,,5120,,8090,,1950,,4620,,6580,,1890,,4670,,6580,,2160,,4470,,6630,,2700,,4380,,7090,,3030,,4550,,7590,,3400,,5010,,8410,,3710,,6400,,10120,,5580,,8170,,13750,,5020,,6320,,11340,,8840,,14210,,23040,
3,Total number of returns,Nombre total de déclarations,2012, 206710,,217420,,424260,,8340,,8110,,16450,,14780,,14730,,29540,,14110,,14830,,28960,,14190,,15230,,29430,,15520,,16490,,32030,,17810,,18480,,36300,,19820,,20420,,40250,,20680,,20830,,41510,,20540,,20910,,41460,,19470,,19770,,39240,,15830,,16160,,31990,,10440,,10820,,21260,,15190,,20650,,35840,
4,Employment income,Revenus d'emploi,2012, 139840,7095316,133360,4103650,273250,11199256,7740,57033,7430,43652,15170,100685,13530,312862,12830,195582,26370,508445,12870,539677,12410,368111,25290,907796,12700,689587,12320,424798,25030,1114384,13660,833787,13460,494084,27130,1327871,15240,976165,15370,604320,30610,1580486,16440,1032479,17060,671042,33500,1703666,16640,1048914,16700,603942,33340,1652993,14810,860072,14330,430894,29140,1290966,10440,499561,8180,196891,18620,696452,4400,174931,2580,54619,6970,229549,1040,32735,530,11533,1570,44268,330,37513,170,4181,500,41694
5,Commissions (from employment),Commissions (d'emploi),2012, 2190,63412,2180,24764,4370,88176,50,81,120,127,,,260,1230,380,1198,640,2428,260,3011,330,2668,590,5679,250,5560,230,2921,470,8481,260,7638,250,3479,500,11118,290,12644,250,4224,540,16868,300,12739,210,3355,510,16094,210,7520,180,3778,390,11298,170,7052,140,1725,300,8777,110,4408,80,1130,190,5538,40,1271,20,141,60,1413,,,,,10,251,,,,,,
6,Other employment income,Autres revenus d'emploi,2012, 22650,96409,13970,24308,36620,120717,130,287,130,406,260,693,820,2088,510,1197,1330,3285,1260,4967,740,1140,2000,6107,1440,11003,890,2178,2320,13181,1620,12611,950,1910,2570,14521,2020,12938,1240,2425,3260,15363,2150,12444,1420,3269,3560,15713,2380,12734,1510,3495,3890,16230,3340,14238,2450,4168,5790,18406,4200,9318,2880,2933,7080,12252,1900,2489,900,702,2790,3191,690,539,210,207,890,746,730,752,160,278,880,1030
7,Old Age Security pension (OASP),Pension de la sécurité de la vieillesse,2012, 41230,249889,47420,291719,88650,541615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15690,87894,16040,91171,31730,179066,10420,66736,10800,69527,21220,136269,15120,95258,20580,131022,35700,226280
8,CPP or QPP benefits,Prestations du Régime de pensions du Canada (RPC) ou du Régime de rentes du Québec (RRQ),2012, 62150,406523,66610,328827,128760,735350,220,386,300,589,520,975,430,920,620,1439,1050,2360,60,265,90,217,150,482,70,478,110,633,170,1111,160,1240,230,1356,390,2596,320,2560,530,3276,850,5835,660,5385,970,6539,1640,11925,1130,9935,1680,11567,2820,21503,1900,17812,2780,19688,4680,37499,16420,97826,16510,73328,32940,171154,15480,98203,15080,67149,30560,165352,10330,68330,9850,46909,20180,115239,14960,103184,17870,96135,32830,199319
9,Other pensions or superannuation,Autres pensions et pensions de retraite,2012, 32110,697266,26410,413060,58520,1110342,20,143,20,79,40,221,30,59,20,46,50,105,20,52,,,40,96,30,133,,,40,183,40,404,30,183,80,587,140,2437,80,801,220,3238,320,6704,190,2348,510,9052,670,16847,660,12861,1330,29708,2940,92487,2850,72491,5790,164978,6080,177002,4890,104529,10980,281543,7800,160206,5510,76725,13300,236932,5770,107881,4130,54851,9900,162736,8250,132910,8000,88052,16240,220962
10,Elected split-pension amount ,Choix du montant de pension fractionné,2012, 3710,23167,16500,178797,20210,201964,,,,,,,,,,,,,,,,,,,,,,,,,10,29,60,592,80,620,20,76,150,1537,170,1613,60,281,420,3802,480,4083,190,896,1010,10649,1210,11545,600,3718,2780,33462,3380,37180,980,6386,4190,50105,5170,56491,840,5425,3710,37883,4550,43308,480,2948,2180,21559,2660,24508,530,3377,1960,19098,2490,22475
11,Universal Child Care Benefit (UCCB),Prestation universelle pour la garde d'enfants (PUGE),2012, 3570,4906,19850,28049,23430,32990,,,220,238,230,243,70,88,2090,2922,2160,3012,260,337,4420,6530,4680,6867,830,1221,5950,8763,6780,10003,1220,1755,4870,6811,6090,8578,760,980,1900,2337,2660,3319,300,358,320,347,620,705,90,113,50,69,150,182,20,27,10,18,40,45,10,15,,,20,28,,,,,,,,,,,,,,,,,,
