#,Item,Poste,Tax year/D'année d'imposition, Grand total males/Total global hommes #,Grand total males/Total global hommes $ (000),Grand total females/Total global femmes #,Grand total total/Total global femmes $ (000),Grand total total/Total global total #,Grand total total/Total global total $ (000),Age group: under 20 males/Groupe d'âge : moins de 20 ans hommes #,Age group: under 20 males/Groupe d'âge : moins de 20 ans hommes $ (000),Age group: under 20 females/Groupe d'âge : moins de 20 ans femmes #,Age group: under 20 females/Groupe d'âge : moins de 20 ans femmes $ (000),Age group: under 20 total/Groupe d'âge : moins de 20 ans total #,Age group: under 20 total/Groupe d'âge : moins de 20 ans total $ (000),Age group: 20-24 males/Groupe d'âge : 20-24 hommes #,Age group: 20-24 males/Groupe d'âge : 20-24 hommes $ (000),Age group: 20-24 females/Groupe d'âge : 20-24 femmes #,Age group: 20-24 females/Groupe d'âge : 20-24 femmes $ (000),Age group: 20-24 total/Groupe d'âge : 20-24 total #,Age group: 20-24 total/Groupe d'âge : 20-24 total $ (000),Age group: 25-29 males/Groupe d'âge : 25-29 hommes #,Age group: 25-29 males/Groupe d'âge : 25-29 hommes $ (000),Age group: 25-29 females/Groupe d'âge : 25-29 femmes #,Age group: 25-29 females/Groupe d'âge : 25-29 femmes $ (000),Age group: 25-29 total/Groupe d'âge : 25-29 total #,Age group: 25-29 total/Groupe d'âge : 25-29 total $ (000),Age group: 30-34 males/Groupe d'âge : 30-34 hommes #,Age group: 30-34 males/Groupe d'âge : 30-34 hommes $ (000),Age group: 30-34 females/Groupe d'âge : 30-34 femmes #,Age group: 30-34 females/Groupe d'âge : 30-34 femmes $ (000),Age group: 30-34 total/Groupe d'âge : 30-34 total #,Age group: 30-34 total/Groupe d'âge : 30-34 total $ (000),Age group: 35-39 males/Groupe d'âge : 35-39 hommes #,Age group: 35-39 males/Groupe d'âge : 35-39 hommes $ (000),Age group: 35-39 females/Groupe d'âge : 35-39 femmes #,Age group: 35-39 females/Groupe d'âge : 35-39 femmes $ (000),Age group: 35-39 total/Groupe d'âge : 35-39 total #,Age group: 35-39 total/Groupe d'âge : 35-39 total $ (000),Age group: 40-44 males/Groupe d'âge : 40-44 hommes #,Age group: 40-44 males/Groupe d'âge : 40-44 hommes $ (000),Age group: 40-44 females/Groupe d'âge : 40-44 femmes #,Age group: 40-44 females/Groupe d'âge : 40-44 femmes $ (000),Age group: 40-44 total/Groupe d'âge : 40-44 total #,Age group: 40-44 total/Groupe d'âge : 40-44 total $ (000),Age group: 45-49 males/Groupe d'âge : 45-49 hommes #,Age group: 45-49 males/Groupe d'âge : 45-49 hommes $ (000),Age group: 45-49 females/Groupe d'âge : 45-49 femmes #,Age group: 45-49 females/Groupe d'âge : 45-49 femmes $ (000),Age group: 45-49 total/Groupe d'âge : 45-49 total #,Age group: 45-49 total/Groupe d'âge : 45-49 total $ (000),Age group: 50-54 males/Groupe d'âge : 50-54 hommes #,Age group: 50-54 males/Groupe d'âge : 50-54 hommes $,Age group: 50-54 females/Groupe d'âge : 50-54 femmes #,Age group: 50-54 females/Groupe d'âge : 50-54 femmes $,Age group: 50-54 total/Groupe d'âge : 50-54 total #,Age group: 50-54 total/Groupe d'âge : 50-54 total $,Age group: 55-59 males/Groupe d'âge : 55-59 hommes #,Age group: 55-59 males/Groupe d'âge : 55-59 hommes $ (000),Age group: 55-59 females/Groupe d'âge : 55-59 femmes #,Age group: 55-59 females/Groupe d'âge : 55-59 femmes $ (000),Age group: 55-59 total/Groupe d'âge : 55-59 total #,Age group: 55-59 total/Groupe d'âge : 55-59 total $ (000),Age group: 60-64 males/Groupe d'âge : 60-64 hommes #,Age group: 60-64 males/Groupe d'âge : 60-64 hommes $ (000),Age group: 60-64 females/Groupe d'âge : 60-64 femmes #,Age group: 60-64 females/Groupe d'âge : 60-64 femmes $ (000),Age group: 60-64 total/Groupe d'âge : 60-64 total #,Age group: 60-64 total/Groupe d'âge : 60-64 total $ (000),Age group: 65-69 males/Groupe d'âge : 65-69 hommes #,Age group: 65-69 males/Groupe d'âge : 65-69 hommes $ (000),Age group: 65-69 females/Groupe d'âge : 65-69 femmes #,Age group: 65-69 females/Groupe d'âge : 65-69 femmes $ (000),Age group: 65-69 total/Groupe d'âge : 65-69 total #,Age group: 65-69 total/Groupe d'âge : 65-69 total $ (000),Age group: 70-74 males/Groupe d'âge : 70-74 hommes #,Age group: 70-74 males/Groupe d'âge : 70-74 hommes $ (000),Age group: 70-74 females/Groupe d'âge : 70-74 femmes #,Age group: 70-74 females/Groupe d'âge : 70-74 femmes $ (000),Age group: 70-74 total/Groupe d'âge : 70-74 total #,Age group: 70-74 total/Groupe d'âge : 70-74 total $ (000),Age group: 75 and over males/Groupe d'âge : 75 et plus hommes #,Age group: 75 and over males/Groupe d'âge : 75 et plus hommes $ (000),Age group: 75 and over females/Groupe d'âge : 75 et plus femmes #,Age group: 75 and over females/Groupe d'âge : 75 et plus femmes $ (000),Age group: 75 and over total/Groupe d'âge : 75 et plus total #,Age group: 75 and over total/Groupe d'âge : 75 et plus total $ (000)
1,Number of taxable returns,Nombre de déclarations imposables,2012, 31500,,10540,,54940,,90,,40,,160,,1310,,520,,2000,,3500,,1150,,5020,,4060,,1120,,5630,,3930,,890,,5560,,3750,,820,,5680,,3140,,730,,5160,,2850,,750,,5100,,2230,,730,,4500,,1800,,720,,3980,,1650,,950,,3860,,1280,,720,,3160,,1920,,1410,,5120,
2,Number of non-taxable returns,Nombre de déclarations non imposables,2012, 40490,,19410,,77020,,280,,250,,590,,1820,,1180,,3220,,3740,,1690,,5920,,5140,,1600,,7590,,5650,,1430,,8180,,5100,,1290,,8040,,3740,,1040,,7020,,2400,,920,,5670,,1590,,890,,4700,,1720,,1450,,5130,,2880,,2220,,6590,,2440,,1950,,5610,,4000,,3500,,8760,
3,Total number of returns,Nombre total de déclarations,2012, 71990,,29940,,131960,,370,,290,,750,,3130,,1710,,5220,,7240,,2840,,10940,,9200,,2720,,13220,,9580,,2320,,13740,,8850,,2110,,13720,,6870,,1760,,12180,,5260,,1660,,10780,,3820,,1620,,9200,,3510,,2170,,9110,,4530,,3170,,10450,,3720,,2660,,8780,,5920,,4910,,13890,
4,Employment income,Revenus d'emploi,2012, 54350,2072454,15360,287772,77040,2536957,340,2617,260,1177,630,3883,3030,55470,1590,13886,4840,72156,6910,194101,2550,32401,9950,234586,8660,261293,2210,35935,11430,309328,8980,246914,1780,35025,11430,302098,8130,256494,1530,34411,10460,308086,6090,255656,1200,34650,8140,311399,4370,286715,980,35739,6240,357791,2880,248520,820,51240,4540,321238,1870,169110,610,10498,3210,199370,1340,63469,630,1634,2430,75904,770,20538,500,654,1590,25454,970,11556,720,522,2160,15664
5,Commissions (from employment),Commissions (d'emploi),2012, 210,5122,90,863,300,6133,,,,,,,40,320,20,101,60,424,50,332,30,174,80,506,30,464,20,148,50,612,,,,,30,791,30,1374,,,40,1429,,,,,,,,,,,10,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Other employment income,Autres revenus d'emploi,2012, 2070,81735,820,17167,3290,114457,,,,,,,70,1078,70,574,160,1903,190,4026,120,2072,340,6655,220,9571,130,3128,380,13629,240,6068,90,2034,370,10268,230,8124,90,2306,350,11419,240,12167,80,1686,370,15896,230,13711,60,1610,330,17975,220,12662,60,2098,350,17586,170,5429,50,1390,270,8696,120,1801,30,235,170,2752,60,951,,,80,1168,,,30,21,,
7,Old Age Security pension (OASP),Pension de la sécurité de la vieillesse,2012, 8480,34951,7060,28522,15720,63679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,7952,1660,6418,3670,14379,2280,8887,1740,6554,4060,15484,4200,18113,3670,15550,7990,33816
8,CPP or QPP benefits,Prestations du Régime de pensions du Canada (RPC) ou du Régime de rentes du Québec (RRQ),2012, 10980,56607,8900,38340,20300,96628,,,,,30,52,,,,,30,73,,,,,,,,,,,,,,,10,101,30,172,20,165,30,143,60,345,30,280,50,326,100,687,50,409,90,640,160,1129,90,838,190,1287,320,2294,1030,5202,1080,4301,2140,9705,2780,12308,2150,7774,4980,20266,2640,12612,1840,6899,4530,19661,4320,24704,3450,16817,7920,42183
9,Other pensions or superannuation,Autres pensions et pensions de retraite,2012, 3630,49675,2520,27243,6230,77434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,205,20,351,20,423,10,152,30,595,50,1265,20,325,70,1617,100,2746,110,1692,210,4456,310,6198,280,4213,600,10506,760,11585,520,5701,1290,17328,840,11084,510,5687,1360,16842,1540,16144,1060,9171,2640,25530
10,Elected split-pension amount ,Choix du montant de pension fractionné,2012, ,,10,174,20,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Universal Child Care Benefit (UCCB),Prestation universelle pour la garde d'enfants (PUGE),2012, 50,60,230,368,280,437,,,,,,,,,,,,,,,20,25,20,27,,,70,123,70,136,20,22,90,138,100,161,20,17,50,68,60,85,,,10,14,20,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Employment Insurance and other benefits,Prestations d'assurance-emploi et autres prestations,2012, 2870,15552,300,2443,3170,17996,,,,,,,80,440,,,80,462,540,2897,40,325,580,3221,850,4654,90,872,940,5526,730,4059,80,642,810,4701,400,2131,30,273,440,2404,170,937,20,93,190,1029,60,316,20,100,80,416,20,67,10,75,30,142,,,,,,,,,,,,,,,,,,,,,,,,
13,Taxable amount of dividends from taxable Canadian corporations,Montant imposable des dividendes,2012, 410,2024,300,1478,710,3505,,,,,,,,,,,,,20,18,,,,,40,103,,,80,190,60,142,40,96,90,238,60,261,40,321,100,582,60,255,50,245,110,500,70,489,50,157,120,646,50,310,40,298,90,608,,,20,191,40,537,10,44,,,20,50,,,,,,,,,,,,
