#,Item,Poste,Tax year/D'année d'imposition, Grand total males/Total global hommes #,Grand total males/Total global hommes $ (000),Grand total females/Total global femmes #,Grand total total/Total global femmes $ (000),Grand total total/Total global total #,Grand total total/Total global total $ (000),Age group: under 20 males/Groupe d'âge : moins de 20 ans hommes #,Age group: under 20 males/Groupe d'âge : moins de 20 ans hommes $ (000),Age group: under 20 females/Groupe d'âge : moins de 20 ans femmes #,Age group: under 20 females/Groupe d'âge : moins de 20 ans femmes $ (000),Age group: under 20 total/Groupe d'âge : moins de 20 ans total #,Age group: under 20 total/Groupe d'âge : moins de 20 ans total $ (000),Age group: 20-24 males/Groupe d'âge : 20-24 hommes #,Age group: 20-24 males/Groupe d'âge : 20-24 hommes $ (000),Age group: 20-24 females/Groupe d'âge : 20-24 femmes #,Age group: 20-24 females/Groupe d'âge : 20-24 femmes $ (000),Age group: 20-24 total/Groupe d'âge : 20-24 total #,Age group: 20-24 total/Groupe d'âge : 20-24 total $ (000),Age group: 25-29 males/Groupe d'âge : 25-29 hommes #,Age group: 25-29 males/Groupe d'âge : 25-29 hommes $ (000),Age group: 25-29 females/Groupe d'âge : 25-29 femmes #,Age group: 25-29 females/Groupe d'âge : 25-29 femmes $ (000),Age group: 25-29 total/Groupe d'âge : 25-29 total #,Age group: 25-29 total/Groupe d'âge : 25-29 total $ (000),Age group: 30-34 males/Groupe d'âge : 30-34 hommes #,Age group: 30-34 males/Groupe d'âge : 30-34 hommes $ (000),Age group: 30-34 females/Groupe d'âge : 30-34 femmes #,Age group: 30-34 females/Groupe d'âge : 30-34 femmes $ (000),Age group: 30-34 total/Groupe d'âge : 30-34 total #,Age group: 30-34 total/Groupe d'âge : 30-34 total $ (000),Age group: 35-39 males/Groupe d'âge : 35-39 hommes #,Age group: 35-39 males/Groupe d'âge : 35-39 hommes $ (000),Age group: 35-39 females/Groupe d'âge : 35-39 femmes #,Age group: 35-39 females/Groupe d'âge : 35-39 femmes $ (000),Age group: 35-39 total/Groupe d'âge : 35-39 total #,Age group: 35-39 total/Groupe d'âge : 35-39 total $ (000),Age group: 40-44 males/Groupe d'âge : 40-44 hommes #,Age group: 40-44 males/Groupe d'âge : 40-44 hommes $ (000),Age group: 40-44 females/Groupe d'âge : 40-44 femmes #,Age group: 40-44 females/Groupe d'âge : 40-44 femmes $ (000),Age group: 40-44 total/Groupe d'âge : 40-44 total #,Age group: 40-44 total/Groupe d'âge : 40-44 total $ (000),Age group: 45-49 males/Groupe d'âge : 45-49 hommes #,Age group: 45-49 males/Groupe d'âge : 45-49 hommes $ (000),Age group: 45-49 females/Groupe d'âge : 45-49 femmes #,Age group: 45-49 females/Groupe d'âge : 45-49 femmes $ (000),Age group: 45-49 total/Groupe d'âge : 45-49 total #,Age group: 45-49 total/Groupe d'âge : 45-49 total $ (000),Age group: 50-54 males/Groupe d'âge : 50-54 hommes #,Age group: 50-54 males/Groupe d'âge : 50-54 hommes $,Age group: 50-54 females/Groupe d'âge : 50-54 femmes #,Age group: 50-54 females/Groupe d'âge : 50-54 femmes $,Age group: 50-54 total/Groupe d'âge : 50-54 total #,Age group: 50-54 total/Groupe d'âge : 50-54 total $,Age group: 55-59 males/Groupe d'âge : 55-59 hommes #,Age group: 55-59 males/Groupe d'âge : 55-59 hommes $ (000),Age group: 55-59 females/Groupe d'âge : 55-59 femmes #,Age group: 55-59 females/Groupe d'âge : 55-59 femmes $ (000),Age group: 55-59 total/Groupe d'âge : 55-59 total #,Age group: 55-59 total/Groupe d'âge : 55-59 total $ (000),Age group: 60-64 males/Groupe d'âge : 60-64 hommes #,Age group: 60-64 males/Groupe d'âge : 60-64 hommes $ (000),Age group: 60-64 females/Groupe d'âge : 60-64 femmes #,Age group: 60-64 females/Groupe d'âge : 60-64 femmes $ (000),Age group: 60-64 total/Groupe d'âge : 60-64 total #,Age group: 60-64 total/Groupe d'âge : 60-64 total $ (000),Age group: 65-69 males/Groupe d'âge : 65-69 hommes #,Age group: 65-69 males/Groupe d'âge : 65-69 hommes $ (000),Age group: 65-69 females/Groupe d'âge : 65-69 femmes #,Age group: 65-69 females/Groupe d'âge : 65-69 femmes $ (000),Age group: 65-69 total/Groupe d'âge : 65-69 total #,Age group: 65-69 total/Groupe d'âge : 65-69 total $ (000),Age group: 70-74 males/Groupe d'âge : 70-74 hommes #,Age group: 70-74 males/Groupe d'âge : 70-74 hommes $ (000),Age group: 70-74 females/Groupe d'âge : 70-74 femmes #,Age group: 70-74 females/Groupe d'âge : 70-74 femmes $ (000),Age group: 70-74 total/Groupe d'âge : 70-74 total #,Age group: 70-74 total/Groupe d'âge : 70-74 total $ (000),Age group: 75 and over males/Groupe d'âge : 75 et plus hommes #,Age group: 75 and over males/Groupe d'âge : 75 et plus hommes $ (000),Age group: 75 and over females/Groupe d'âge : 75 et plus femmes #,Age group: 75 and over females/Groupe d'âge : 75 et plus femmes $ (000),Age group: 75 and over total/Groupe d'âge : 75 et plus total #,Age group: 75 and over total/Groupe d'âge : 75 et plus total $ (000)
1,Number of taxable returns,Nombre de déclarations imposables,2012, 264610,,246700,,511340,,2920,,1940,,4860,,13540,,8860,,22400,,18240,,15390,,33630,,19940,,18320,,38260,,21490,,19770,,41260,,24130,,22700,,46830,,27960,,26960,,54920,,30080,,29230,,59320,,28510,,27440,,55940,,25300,,23320,,48620,,19940,,17970,,37910,,13140,,12300,,25440,,19440,,22500,,41940,
2,Number of non-taxable returns,Nombre de déclarations non imposables,2012, 86920,,136810,,224740,,11030,,12560,,23650,,14380,,19350,,34200,,6730,,10780,,17820,,3940,,8380,,12410,,3510,,7720,,11240,,3900,,7450,,11380,,4750,,7650,,12410,,5690,,8130,,13820,,5720,,8030,,13750,,5610,,8710,,14330,,6380,,9860,,16250,,5320,,7620,,12940,,9970,,20580,,30550,
3,Total number of returns,Nombre total de déclarations,2012, 351520,,383510,,736080,,13950,,14500,,28520,,27920,,28210,,56610,,24970,,26170,,51450,,23880,,26710,,50670,,24990,,27490,,52500,,28030,,30150,,58200,,32710,,34610,,67320,,35780,,37360,,73140,,34230,,35460,,69690,,30920,,32030,,62950,,26320,,27830,,54160,,18450,,19920,,38380,,29400,,43080,,72490,
4,Employment income,Revenus d'emploi,2012, 232170,9998436,233550,6884636,466060,16885372,12610,87797,13060,75689,25710,163488,25380,470188,24870,337796,50380,807993,22640,754169,22280,562699,45020,1317069,21250,923769,22100,684063,43390,1607855,21690,1091433,22780,798854,44480,1890770,23620,1286698,25150,922648,48780,2209682,26580,1487497,28560,1057007,55140,2545088,27890,1578654,29610,1095501,57500,2674174,24050,1274206,24240,825146,48290,2099619,15770,686772,14000,383181,29760,1070327,7500,262828,5250,115064,12750,377892,2250,67540,1200,20433,3450,87972,960,26887,470,6556,1430,33443
5,Commissions (from employment),Commissions (d'emploi),2012, 6810,188928,6040,59561,12850,248489,120,287,190,136,300,423,740,3758,1120,3365,1870,7123,900,10341,950,5953,1850,16294,750,13432,720,6759,1470,20191,720,20613,590,6093,1310,26706,810,27869,630,9528,1440,37396,810,30343,610,11117,1420,41460,740,36098,530,7896,1280,43995,610,25086,400,5689,1010,30775,380,11806,190,2136,570,13942,140,5079,80,780,220,5858,60,3124,,,90,3230,20,1093,,,20,1095
6,Other employment income,Autres revenus d'emploi,2012, 29260,150439,21800,85499,51070,236104,310,760,420,676,730,1435,1210,2381,1500,3243,2710,5624,1550,4687,1520,4426,3070,9115,1770,9077,1360,4880,3130,13958,1970,14118,1380,5874,3350,19994,2300,17243,1600,7929,3900,25172,2880,22102,1990,11667,4870,33773,3470,26269,2460,14251,5930,40679,4050,24718,2890,17006,6930,41724,3990,20586,2640,11888,6630,32474,2520,5235,1700,2310,4220,7545,1390,2014,1070,872,2460,2886,1850,1248,1280,476,3130,1724
7,Old Age Security pension (OASP),Pension de la sécurité de la vieillesse,2012, 73770,443071,90490,551354,164270,994429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26080,143832,27630,153654,53710,297486,18410,116735,19890,127159,38300,243894,29280,182503,42980,270541,72260,453049
8,CPP or QPP benefits,Prestations du Régime de pensions du Canada (RPC) ou du Régime de rentes du Québec (RRQ),2012, 105840,775321,122580,722540,228420,1497863,560,1040,630,1274,1180,2314,890,2041,1260,3170,2150,5211,120,441,180,493,300,934,110,832,210,1461,320,2293,240,1900,380,2556,620,4456,560,4468,920,6504,1480,10973,1320,11144,1960,13866,3280,25010,2420,21746,3350,25680,5770,47427,3780,36718,5250,41229,9020,77947,23550,159474,24480,130903,48030,290377,25320,178793,26220,141699,51540,320492,18120,133083,18660,106840,36780,239923,28860,223640,39100,246864,67960,470506
9,Other pensions or superannuation,Autres pensions et pensions de retraite,2012, 67700,1619120,62340,984676,130060,2604020,60,195,50,126,110,321,70,184,100,319,170,504,20,28,20,55,40,83,30,165,30,170,50,335,70,764,50,368,120,1132,340,6999,140,2015,480,9015,980,22659,350,4802,1330,27460,2120,52108,1030,17882,3150,69990,5460,169945,4730,109482,10190,279427,10230,325288,8650,196041,18880,521356,14700,324303,12110,173371,26810,497690,12480,274580,10740,150192,23220,424788,21150,441901,24330,329853,45490,771921
10,Elected split-pension amount ,Choix du montant de pension fractionné,2012, 7740,51121,35780,416874,43520,468027,,,,,,,,,,,,,,,10,67,10,69,,,30,160,30,200,10,23,110,812,120,835,50,237,420,3701,460,3943,110,616,1040,10467,1140,11084,370,1889,2420,25807,2790,27696,1010,6941,4980,63239,5990,70200,1700,12990,7230,92522,8930,105512,1740,11453,7780,86917,9510,98370,1200,7422,5620,63449,6820,70871,1560,9507,6150,69734,7710,79249
