#,Item,Poste,Tax year/D'année d'imposition, Grand total males/Total global hommes #,Grand total males/Total global hommes $ (000),Grand total females/Total global femmes #,Grand total total/Total global femmes $ (000),Grand total total/Total global total #,Grand total total/Total global total $ (000),Age group: under 20 males/Groupe d'âge : moins de 20 ans hommes #,Age group: under 20 males/Groupe d'âge : moins de 20 ans hommes $ (000),Age group: under 20 females/Groupe d'âge : moins de 20 ans femmes #,Age group: under 20 females/Groupe d'âge : moins de 20 ans femmes $ (000),Age group: under 20 total/Groupe d'âge : moins de 20 ans total #,Age group: under 20 total/Groupe d'âge : moins de 20 ans total $ (000),Age group: 20-24 males/Groupe d'âge : 20-24 hommes #,Age group: 20-24 males/Groupe d'âge : 20-24 hommes $ (000),Age group: 20-24 females/Groupe d'âge : 20-24 femmes #,Age group: 20-24 females/Groupe d'âge : 20-24 femmes $ (000),Age group: 20-24 total/Groupe d'âge : 20-24 total #,Age group: 20-24 total/Groupe d'âge : 20-24 total $ (000),Age group: 25-29 males/Groupe d'âge : 25-29 hommes #,Age group: 25-29 males/Groupe d'âge : 25-29 hommes $ (000),Age group: 25-29 females/Groupe d'âge : 25-29 femmes #,Age group: 25-29 females/Groupe d'âge : 25-29 femmes $ (000),Age group: 25-29 total/Groupe d'âge : 25-29 total #,Age group: 25-29 total/Groupe d'âge : 25-29 total $ (000),Age group: 30-34 males/Groupe d'âge : 30-34 hommes #,Age group: 30-34 males/Groupe d'âge : 30-34 hommes $ (000),Age group: 30-34 females/Groupe d'âge : 30-34 femmes #,Age group: 30-34 females/Groupe d'âge : 30-34 femmes $ (000),Age group: 30-34 total/Groupe d'âge : 30-34 total #,Age group: 30-34 total/Groupe d'âge : 30-34 total $ (000),Age group: 35-39 males/Groupe d'âge : 35-39 hommes #,Age group: 35-39 males/Groupe d'âge : 35-39 hommes $ (000),Age group: 35-39 females/Groupe d'âge : 35-39 femmes #,Age group: 35-39 females/Groupe d'âge : 35-39 femmes $ (000),Age group: 35-39 total/Groupe d'âge : 35-39 total #,Age group: 35-39 total/Groupe d'âge : 35-39 total $ (000),Age group: 40-44 males/Groupe d'âge : 40-44 hommes #,Age group: 40-44 males/Groupe d'âge : 40-44 hommes $ (000),Age group: 40-44 females/Groupe d'âge : 40-44 femmes #,Age group: 40-44 females/Groupe d'âge : 40-44 femmes $ (000),Age group: 40-44 total/Groupe d'âge : 40-44 total #,Age group: 40-44 total/Groupe d'âge : 40-44 total $ (000),Age group: 45-49 males/Groupe d'âge : 45-49 hommes #,Age group: 45-49 males/Groupe d'âge : 45-49 hommes $ (000),Age group: 45-49 females/Groupe d'âge : 45-49 femmes #,Age group: 45-49 females/Groupe d'âge : 45-49 femmes $ (000),Age group: 45-49 total/Groupe d'âge : 45-49 total #,Age group: 45-49 total/Groupe d'âge : 45-49 total $ (000),Age group: 50-54 males/Groupe d'âge : 50-54 hommes #,Age group: 50-54 males/Groupe d'âge : 50-54 hommes $,Age group: 50-54 females/Groupe d'âge : 50-54 femmes #,Age group: 50-54 females/Groupe d'âge : 50-54 femmes $,Age group: 50-54 total/Groupe d'âge : 50-54 total #,Age group: 50-54 total/Groupe d'âge : 50-54 total $,Age group: 55-59 males/Groupe d'âge : 55-59 hommes #,Age group: 55-59 males/Groupe d'âge : 55-59 hommes $ (000),Age group: 55-59 females/Groupe d'âge : 55-59 femmes #,Age group: 55-59 females/Groupe d'âge : 55-59 femmes $ (000),Age group: 55-59 total/Groupe d'âge : 55-59 total #,Age group: 55-59 total/Groupe d'âge : 55-59 total $ (000),Age group: 60-64 males/Groupe d'âge : 60-64 hommes #,Age group: 60-64 males/Groupe d'âge : 60-64 hommes $ (000),Age group: 60-64 females/Groupe d'âge : 60-64 femmes #,Age group: 60-64 females/Groupe d'âge : 60-64 femmes $ (000),Age group: 60-64 total/Groupe d'âge : 60-64 total #,Age group: 60-64 total/Groupe d'âge : 60-64 total $ (000),Age group: 65-69 males/Groupe d'âge : 65-69 hommes #,Age group: 65-69 males/Groupe d'âge : 65-69 hommes $ (000),Age group: 65-69 females/Groupe d'âge : 65-69 femmes #,Age group: 65-69 females/Groupe d'âge : 65-69 femmes $ (000),Age group: 65-69 total/Groupe d'âge : 65-69 total #,Age group: 65-69 total/Groupe d'âge : 65-69 total $ (000),Age group: 70-74 males/Groupe d'âge : 70-74 hommes #,Age group: 70-74 males/Groupe d'âge : 70-74 hommes $ (000),Age group: 70-74 females/Groupe d'âge : 70-74 femmes #,Age group: 70-74 females/Groupe d'âge : 70-74 femmes $ (000),Age group: 70-74 total/Groupe d'âge : 70-74 total #,Age group: 70-74 total/Groupe d'âge : 70-74 total $ (000),Age group: 75 and over males/Groupe d'âge : 75 et plus hommes #,Age group: 75 and over males/Groupe d'âge : 75 et plus hommes $ (000),Age group: 75 and over females/Groupe d'âge : 75 et plus femmes #,Age group: 75 and over females/Groupe d'âge : 75 et plus femmes $ (000),Age group: 75 and over total/Groupe d'âge : 75 et plus total #,Age group: 75 and over total/Groupe d'âge : 75 et plus total $ (000)
1,Number of taxable returns,Nombre de déclarations imposables,2012, 11240,,9610,,20850,,160,,100,,270,,880,,660,,1540,,1300,,1090,,2390,,1380,,1260,,2640,,1200,,1120,,2320,,1290,,1090,,2380,,1300,,1150,,2450,,1300,,1150,,2450,,1030,,920,,1950,,720,,590,,1310,,390,,290,,680,,150,,110,,260,,130,,90,,220,
2,Number of non-taxable returns,Nombre de déclarations non imposables,2012, 4680,,5630,,10310,,780,,840,,1620,,820,,1010,,1840,,500,,690,,1190,,330,,490,,830,,260,,370,,630,,300,,370,,680,,260,,330,,590,,260,,330,,600,,230,,230,,460,,220,,190,,410,,250,,180,,430,,150,,210,,360,,310,,370,,680,
3,Total number of returns,Nombre total de déclarations,2012, 15920,,15240,,31160,,950,,940,,1890,,1700,,1670,,3370,,1800,,1780,,3580,,1710,,1760,,3470,,1460,,1490,,2950,,1590,,1460,,3050,,1560,,1470,,3040,,1560,,1480,,3040,,1250,,1160,,2410,,950,,780,,1730,,640,,470,,1110,,300,,320,,620,,440,,470,,900,
4,Employment income,Revenus d'emploi,2012, 13720,840468,12680,615595,26400,1456428,880,7195,860,6150,1740,13345,1560,42368,1430,29879,2990,72247,1700,85910,1570,63566,3270,149475,1630,104963,1540,82230,3170,187193,1360,97359,1330,76837,2690,174196,1460,109692,1310,77876,2770,187568,1410,113824,1340,85620,2760,199444,1390,112944,1330,83041,2720,195985,1060,91343,990,66073,2050,157780,700,48255,560,30902,1260,79158,350,20217,250,10600,600,30818,130,5015,100,2229,230,7244,90,1383,80,592,170,1974
5,Commissions (from employment),Commissions (d'emploi),2012, 210,5188,100,2245,310,7433,,,,,,,20,153,,,40,374,30,650,30,208,60,858,40,856,,,50,1288,20,373,,,30,424,20,675,10,233,30,908,30,681,,,40,842,,,,,,,20,710,,,30,1453,,,,,10,502,,,,,,,,,,,,,,,,,,
6,Other employment income,Autres revenus d'emploi,2012, 560,4672,540,4194,1100,8866,10,14,10,44,30,59,30,63,50,157,80,220,60,264,80,275,130,539,60,373,70,427,140,800,60,536,60,472,120,1008,50,429,30,146,90,575,60,293,60,773,120,1066,60,793,50,444,110,1236,60,775,80,788,140,1563,60,991,40,545,90,1537,30,65,10,104,40,169,,,,,,,,,,,,
7,Old Age Security pension (OASP),Pension de la sécurité de la vieillesse,2012, 1360,7752,1250,7281,2610,15033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,630,3273,460,2429,1100,5702,300,1831,320,1984,620,3816,440,2648,460,2867,900,5515
8,CPP or QPP benefits,Prestations du Régime de pensions du Canada (RPC) ou du Régime de rentes du Québec (RRQ),2012, 1900,12040,1870,10813,3770,22853,10,26,20,45,40,70,30,64,50,108,80,173,,,10,37,10,39,,,10,82,20,111,,,20,106,30,158,,,30,149,40,223,20,157,60,393,80,550,30,265,90,518,120,783,50,446,100,712,150,1158,450,2469,390,2247,840,4716,570,3893,410,2664,980,6557,290,1910,280,1634,570,3543,420,2654,380,2119,800,4773
9,Other pensions or superannuation,Autres pensions et pensions de retraite,2012, 890,23620,780,15116,1680,38737,,,,,,,,,,,10,33,,,,,,,,,,,,,,,,,,,,,,,10,107,20,554,10,156,30,709,50,1147,30,424,80,1571,110,4152,100,2613,210,6765,170,5836,170,4907,340,10743,230,6172,170,3334,410,9506,130,2601,120,1694,250,4296,160,3015,150,1888,310,4902
10,Elected split-pension amount ,Choix du montant de pension fractionné,2012, 110,908,380,4502,490,5409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,134,10,134,,,30,224,30,224,10,51,40,498,60,549,20,153,100,1207,110,1360,30,296,70,1009,100,1305,30,254,60,691,90,945,10,99,30,420,40,519,,,30,296,40,348
11,Universal Child Care Benefit (UCCB),Prestation universelle pour la garde d'enfants (PUGE),2012, 570,817,2340,3553,2900,4370,,,50,49,50,51,30,39,380,550,400,589,80,113,550,876,620,989,140,225,600,984,740,1209,120,182,450,709,570,891,110,152,220,278,330,429,50,59,60,73,110,132,30,28,20,18,40,45,10,12,,,20,14,,,,,,,,,,,,,,,,,,,,,,,,
12,Employment Insurance and other benefits,Prestations d'assurance-emploi et autres prestations,2012, 1680,14892,1650,14623,3330,29515,,,,,20,98,170,1309,170,1366,330,2675,220,1615,300,2812,520,4427,250,2026,370,3661,610,5687,210,1962,250,2383,460,4344,190,1749,160,1355,350,3105,200,1777,110,877,310,2655,170,1699,130,1043,310,2742,140,1371,70,391,210,1762,90,827,40,378,130,1205,40,443,30,273,70,716,,,,,,,,,,,,
13,Taxable amount of dividends from taxable Canadian corporations,Montant imposable des dividendes,2012, 1330,25184,1050,12120,2380,37303,,,,,10,73,40,368,40,313,80,681,90,557,,,160,832,70,625,100,347,170,972,,,80,916,170,3714,120,2079,80,1503,200,3581,150,3156,120,1408,270,4564,210,4103,160,1877,380,5980,210,4875,160,2309,370,7184,150,3588,110,1713,260,5302,110,2065,60,501,170,2565,40,224,30,440,70,665,40,673,30,518,80,1190
