#,Item,Poste,Tax year/D'année d'imposition, Grand total males/Total global hommes #,Grand total males/Total global hommes $ (000),Grand total females/Total global femmes #,Grand total total/Total global femmes $ (000),Grand total total/Total global total #,Grand total total/Total global total $ (000),Age group: under 20 males/Groupe d'âge : moins de 20 ans hommes #,Age group: under 20 males/Groupe d'âge : moins de 20 ans hommes $ (000),Age group: under 20 females/Groupe d'âge : moins de 20 ans femmes #,Age group: under 20 females/Groupe d'âge : moins de 20 ans femmes $ (000),Age group: under 20 total/Groupe d'âge : moins de 20 ans total #,Age group: under 20 total/Groupe d'âge : moins de 20 ans total $ (000),Age group: 20-24 males/Groupe d'âge : 20-24 hommes #,Age group: 20-24 males/Groupe d'âge : 20-24 hommes $ (000),Age group: 20-24 females/Groupe d'âge : 20-24 femmes #,Age group: 20-24 females/Groupe d'âge : 20-24 femmes $ (000),Age group: 20-24 total/Groupe d'âge : 20-24 total #,Age group: 20-24 total/Groupe d'âge : 20-24 total $ (000),Age group: 25-29 males/Groupe d'âge : 25-29 hommes #,Age group: 25-29 males/Groupe d'âge : 25-29 hommes $ (000),Age group: 25-29 females/Groupe d'âge : 25-29 femmes #,Age group: 25-29 females/Groupe d'âge : 25-29 femmes $ (000),Age group: 25-29 total/Groupe d'âge : 25-29 total #,Age group: 25-29 total/Groupe d'âge : 25-29 total $ (000),Age group: 30-34 males/Groupe d'âge : 30-34 hommes #,Age group: 30-34 males/Groupe d'âge : 30-34 hommes $ (000),Age group: 30-34 females/Groupe d'âge : 30-34 femmes #,Age group: 30-34 females/Groupe d'âge : 30-34 femmes $ (000),Age group: 30-34 total/Groupe d'âge : 30-34 total #,Age group: 30-34 total/Groupe d'âge : 30-34 total $ (000),Age group: 35-39 males/Groupe d'âge : 35-39 hommes #,Age group: 35-39 males/Groupe d'âge : 35-39 hommes $ (000),Age group: 35-39 females/Groupe d'âge : 35-39 femmes #,Age group: 35-39 females/Groupe d'âge : 35-39 femmes $ (000),Age group: 35-39 total/Groupe d'âge : 35-39 total #,Age group: 35-39 total/Groupe d'âge : 35-39 total $ (000),Age group: 40-44 males/Groupe d'âge : 40-44 hommes #,Age group: 40-44 males/Groupe d'âge : 40-44 hommes $ (000),Age group: 40-44 females/Groupe d'âge : 40-44 femmes #,Age group: 40-44 females/Groupe d'âge : 40-44 femmes $ (000),Age group: 40-44 total/Groupe d'âge : 40-44 total #,Age group: 40-44 total/Groupe d'âge : 40-44 total $ (000),Age group: 45-49 males/Groupe d'âge : 45-49 hommes #,Age group: 45-49 males/Groupe d'âge : 45-49 hommes $ (000),Age group: 45-49 females/Groupe d'âge : 45-49 femmes #,Age group: 45-49 females/Groupe d'âge : 45-49 femmes $ (000),Age group: 45-49 total/Groupe d'âge : 45-49 total #,Age group: 45-49 total/Groupe d'âge : 45-49 total $ (000),Age group: 50-54 males/Groupe d'âge : 50-54 hommes #,Age group: 50-54 males/Groupe d'âge : 50-54 hommes $,Age group: 50-54 females/Groupe d'âge : 50-54 femmes #,Age group: 50-54 females/Groupe d'âge : 50-54 femmes $,Age group: 50-54 total/Groupe d'âge : 50-54 total #,Age group: 50-54 total/Groupe d'âge : 50-54 total $,Age group: 55-59 males/Groupe d'âge : 55-59 hommes #,Age group: 55-59 males/Groupe d'âge : 55-59 hommes $ (000),Age group: 55-59 females/Groupe d'âge : 55-59 femmes #,Age group: 55-59 females/Groupe d'âge : 55-59 femmes $ (000),Age group: 55-59 total/Groupe d'âge : 55-59 total #,Age group: 55-59 total/Groupe d'âge : 55-59 total $ (000),Age group: 60-64 males/Groupe d'âge : 60-64 hommes #,Age group: 60-64 males/Groupe d'âge : 60-64 hommes $ (000),Age group: 60-64 females/Groupe d'âge : 60-64 femmes #,Age group: 60-64 females/Groupe d'âge : 60-64 femmes $ (000),Age group: 60-64 total/Groupe d'âge : 60-64 total #,Age group: 60-64 total/Groupe d'âge : 60-64 total $ (000),Age group: 65-69 males/Groupe d'âge : 65-69 hommes #,Age group: 65-69 males/Groupe d'âge : 65-69 hommes $ (000),Age group: 65-69 females/Groupe d'âge : 65-69 femmes #,Age group: 65-69 females/Groupe d'âge : 65-69 femmes $ (000),Age group: 65-69 total/Groupe d'âge : 65-69 total #,Age group: 65-69 total/Groupe d'âge : 65-69 total $ (000),Age group: 70-74 males/Groupe d'âge : 70-74 hommes #,Age group: 70-74 males/Groupe d'âge : 70-74 hommes $ (000),Age group: 70-74 females/Groupe d'âge : 70-74 femmes #,Age group: 70-74 females/Groupe d'âge : 70-74 femmes $ (000),Age group: 70-74 total/Groupe d'âge : 70-74 total #,Age group: 70-74 total/Groupe d'âge : 70-74 total $ (000),Age group: 75 and over males/Groupe d'âge : 75 et plus hommes #,Age group: 75 and over males/Groupe d'âge : 75 et plus hommes $ (000),Age group: 75 and over females/Groupe d'âge : 75 et plus femmes #,Age group: 75 and over females/Groupe d'âge : 75 et plus femmes $ (000),Age group: 75 and over total/Groupe d'âge : 75 et plus total #,Age group: 75 and over total/Groupe d'âge : 75 et plus total $ (000)
1,Number of taxable returns,Nombre de déclarations imposables,2012, 6140,,5120,,11260,,100,,100,,200,,580,,410,,1000,,740,,720,,1460,,790,,710,,1490,,730,,610,,1340,,740,,620,,1350,,680,,570,,1250,,630,,500,,1130,,490,,410,,900,,380,,290,,670,,170,,110,,280,,80,,40,,120,,50,,30,,80,
2,Number of non-taxable returns,Nombre de déclarations non imposables,2012, 4010,,4970,,8970,,630,,750,,1380,,800,,980,,1780,,540,,730,,1270,,430,,530,,950,,330,,390,,720,,300,,380,,680,,290,,330,,620,,170,,210,,380,,110,,130,,250,,110,,140,,250,,110,,150,,260,,90,,120,,210,,100,,140,,240,
3,Total number of returns,Nombre total de déclarations,2012, 10150,,10090,,20240,,730,,850,,1580,,1380,,1390,,2780,,1280,,1450,,2730,,1210,,1230,,2440,,1060,,1010,,2060,,1030,,1000,,2030,,970,,890,,1860,,800,,700,,1500,,600,,550,,1150,,490,,430,,920,,280,,260,,550,,170,,170,,330,,150,,170,,310,
4,Employment income,Revenus d'emploi,2012, 8970,440488,8470,370492,17440,811009,660,4676,740,4825,1400,9501,1250,25557,1120,20714,2360,46272,1160,44630,1210,45849,2370,90480,1100,55813,1060,53566,2160,109380,950,54484,890,46757,1840,101241,940,54368,880,46472,1820,100868,870,53520,780,46335,1650,99855,730,54173,620,40700,1360,94873,550,44767,490,36050,1040,80817,410,31147,350,20158,760,51304,200,13476,170,6970,370,20445,100,3390,100,1661,200,5051,60,487,70,436,130,923
5,Commissions (from employment),Commissions (d'emploi),2012, 10,118,20,99,30,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Other employment income,Autres revenus d'emploi,2012, 180,1037,170,1230,350,2268,,,,,,,10,75,,,20,96,20,71,20,61,40,131,20,36,10,43,30,79,10,80,20,57,30,137,10,61,,,20,167,,,20,377,30,475,20,154,30,219,40,373,20,174,20,173,50,347,40,247,20,132,60,378,10,34,,,20,46,,,,,,,,,,,,
7,Old Age Security pension (OASP),Pension de la sécurité de la vieillesse,2012, 590,3449,590,3492,1180,6941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280,1436,260,1399,540,2835,170,1069,170,1052,330,2121,150,944,160,1042,310,1986
8,CPP or QPP benefits,Prestations du Régime de pensions du Canada (RPC) ou du Régime de rentes du Québec (RRQ),2012, 860,5383,990,4503,1840,9886,10,20,20,50,30,70,10,33,,,30,55,,,,,10,25,,,10,69,10,73,,,10,55,20,73,10,69,30,116,40,185,20,96,60,269,80,365,20,115,60,296,70,411,20,159,60,352,80,512,200,1124,200,998,400,2122,240,1602,220,1012,460,2614,170,1176,160,683,320,1860,140,954,140,568,280,1522
9,Other pensions or superannuation,Autres pensions et pensions de retraite,2012, 380,7171,320,4749,700,11920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,125,,,20,170,10,312,20,209,30,521,30,786,50,897,80,1683,100,2434,100,2174,200,4607,100,1762,60,687,160,2449,60,886,40,407,100,1293,60,848,30,249,90,1097
10,Elected split-pension amount ,Choix du montant de pension fractionné,2012, 50,301,150,1316,200,1616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,56,10,59,,,10,118,20,181,,,30,354,40,406,,,50,483,60,544,10,94,30,198,40,292,,,10,66,20,80,,,,,10,27
11,Universal Child Care Benefit (UCCB),Prestation universelle pour la garde d'enfants (PUGE),2012, 860,1412,2580,4159,3440,5571,,,110,128,110,139,90,161,580,961,670,1122,160,286,660,1193,810,1478,220,365,470,803,690,1167,130,209,310,486,440,695,100,139,210,288,310,427,90,136,130,170,220,306,40,59,60,69,100,128,20,32,20,24,40,56,,,20,24,20,30,,,,,10,14,,,,,,,,,,,,
12,Employment Insurance and other benefits,Prestations d'assurance-emploi et autres prestations,2012, 1140,10372,990,8566,2130,18938,,,,,,,100,829,110,920,220,1749,160,1406,200,1810,360,3216,180,1717,190,1835,370,3552,170,1540,140,1277,310,2817,160,1369,120,956,280,2326,140,1458,80,620,220,2078,90,784,70,505,160,1290,70,584,50,328,110,912,50,504,30,238,70,742,10,123,,,20,155,,,,,,,,,,,,
13,Taxable amount of dividends from taxable Canadian corporations,Montant imposable des dividendes,2012, 440,6615,280,2455,730,9070,,,,,,,20,9,,,,,,,30,136,60,226,50,166,30,103,80,269,40,88,30,313,70,401,60,777,,,90,993,40,270,40,433,80,703,50,1300,30,212,80,1512,50,2016,40,443,90,2459,50,883,40,420,80,1303,30,873,,,50,980,,,,,,,,,,,10,86
