#,Item,Poste,Tax year/D'année d'imposition, Grand total males/Total global hommes #,Grand total males/Total global hommes $ (000),Grand total females/Total global femmes #,Grand total total/Total global femmes $ (000),Grand total total/Total global total #,Grand total total/Total global total $ (000),Age group: under 20 males/Groupe d'âge : moins de 20 ans hommes #,Age group: under 20 males/Groupe d'âge : moins de 20 ans hommes $ (000),Age group: under 20 females/Groupe d'âge : moins de 20 ans femmes #,Age group: under 20 females/Groupe d'âge : moins de 20 ans femmes $ (000),Age group: under 20 total/Groupe d'âge : moins de 20 ans total #,Age group: under 20 total/Groupe d'âge : moins de 20 ans total $ (000),Age group: 20-24 males/Groupe d'âge : 20-24 hommes #,Age group: 20-24 males/Groupe d'âge : 20-24 hommes $ (000),Age group: 20-24 females/Groupe d'âge : 20-24 femmes #,Age group: 20-24 females/Groupe d'âge : 20-24 femmes $ (000),Age group: 20-24 total/Groupe d'âge : 20-24 total #,Age group: 20-24 total/Groupe d'âge : 20-24 total $ (000),Age group: 25-29 males/Groupe d'âge : 25-29 hommes #,Age group: 25-29 males/Groupe d'âge : 25-29 hommes $ (000),Age group: 25-29 females/Groupe d'âge : 25-29 femmes #,Age group: 25-29 females/Groupe d'âge : 25-29 femmes $ (000),Age group: 25-29 total/Groupe d'âge : 25-29 total #,Age group: 25-29 total/Groupe d'âge : 25-29 total $ (000),Age group: 30-34 males/Groupe d'âge : 30-34 hommes #,Age group: 30-34 males/Groupe d'âge : 30-34 hommes $ (000),Age group: 30-34 females/Groupe d'âge : 30-34 femmes #,Age group: 30-34 females/Groupe d'âge : 30-34 femmes $ (000),Age group: 30-34 total/Groupe d'âge : 30-34 total #,Age group: 30-34 total/Groupe d'âge : 30-34 total $ (000),Age group: 35-39 males/Groupe d'âge : 35-39 hommes #,Age group: 35-39 males/Groupe d'âge : 35-39 hommes $ (000),Age group: 35-39 females/Groupe d'âge : 35-39 femmes #,Age group: 35-39 females/Groupe d'âge : 35-39 femmes $ (000),Age group: 35-39 total/Groupe d'âge : 35-39 total #,Age group: 35-39 total/Groupe d'âge : 35-39 total $ (000),Age group: 40-44 males/Groupe d'âge : 40-44 hommes #,Age group: 40-44 males/Groupe d'âge : 40-44 hommes $ (000),Age group: 40-44 females/Groupe d'âge : 40-44 femmes #,Age group: 40-44 females/Groupe d'âge : 40-44 femmes $ (000),Age group: 40-44 total/Groupe d'âge : 40-44 total #,Age group: 40-44 total/Groupe d'âge : 40-44 total $ (000),Age group: 45-49 males/Groupe d'âge : 45-49 hommes #,Age group: 45-49 males/Groupe d'âge : 45-49 hommes $ (000),Age group: 45-49 females/Groupe d'âge : 45-49 femmes #,Age group: 45-49 females/Groupe d'âge : 45-49 femmes $ (000),Age group: 45-49 total/Groupe d'âge : 45-49 total #,Age group: 45-49 total/Groupe d'âge : 45-49 total $ (000),Age group: 50-54 males/Groupe d'âge : 50-54 hommes #,Age group: 50-54 males/Groupe d'âge : 50-54 hommes $,Age group: 50-54 females/Groupe d'âge : 50-54 femmes #,Age group: 50-54 females/Groupe d'âge : 50-54 femmes $,Age group: 50-54 total/Groupe d'âge : 50-54 total #,Age group: 50-54 total/Groupe d'âge : 50-54 total $,Age group: 55-59 males/Groupe d'âge : 55-59 hommes #,Age group: 55-59 males/Groupe d'âge : 55-59 hommes $ (000),Age group: 55-59 females/Groupe d'âge : 55-59 femmes #,Age group: 55-59 females/Groupe d'âge : 55-59 femmes $ (000),Age group: 55-59 total/Groupe d'âge : 55-59 total #,Age group: 55-59 total/Groupe d'âge : 55-59 total $ (000),Age group: 60-64 males/Groupe d'âge : 60-64 hommes #,Age group: 60-64 males/Groupe d'âge : 60-64 hommes $ (000),Age group: 60-64 females/Groupe d'âge : 60-64 femmes #,Age group: 60-64 females/Groupe d'âge : 60-64 femmes $ (000),Age group: 60-64 total/Groupe d'âge : 60-64 total #,Age group: 60-64 total/Groupe d'âge : 60-64 total $ (000),Age group: 65-69 males/Groupe d'âge : 65-69 hommes #,Age group: 65-69 males/Groupe d'âge : 65-69 hommes $ (000),Age group: 65-69 females/Groupe d'âge : 65-69 femmes #,Age group: 65-69 females/Groupe d'âge : 65-69 femmes $ (000),Age group: 65-69 total/Groupe d'âge : 65-69 total #,Age group: 65-69 total/Groupe d'âge : 65-69 total $ (000),Age group: 70-74 males/Groupe d'âge : 70-74 hommes #,Age group: 70-74 males/Groupe d'âge : 70-74 hommes $ (000),Age group: 70-74 females/Groupe d'âge : 70-74 femmes #,Age group: 70-74 females/Groupe d'âge : 70-74 femmes $ (000),Age group: 70-74 total/Groupe d'âge : 70-74 total #,Age group: 70-74 total/Groupe d'âge : 70-74 total $ (000),Age group: 75 and over males/Groupe d'âge : 75 et plus hommes #,Age group: 75 and over males/Groupe d'âge : 75 et plus hommes $ (000),Age group: 75 and over females/Groupe d'âge : 75 et plus femmes #,Age group: 75 and over females/Groupe d'âge : 75 et plus femmes $ (000),Age group: 75 and over total/Groupe d'âge : 75 et plus total #,Age group: 75 and over total/Groupe d'âge : 75 et plus total $ (000)
1,Number of taxable returns,Nombre de déclarations imposables,2012, 3540530,,3291030,,6833640,,28730,,17420,,46190,,180670,,131940,,312820,,291800,,263470,,555570,,311650,,284800,,596780,,324340,,294350,,618970,,354570,,325070,,679890,,392640,,366890,,759740,,398100,,373400,,771680,,343140,,326630,,669880,,286920,,272990,,559980,,219200,,200410,,419650,,149680,,139780,,289500,,259090,,293880,,553010,
2,Number of non-taxable returns,Nombre de déclarations non imposables,2012, 1275150,,1941230,,3232460,,178230,,190570,,371170,,230370,,276800,,513970,,103210,,150860,,256320,,65230,,131830,,198410,,57730,,128040,,186710,,64390,,125640,,190670,,75300,,123590,,199360,,79870,,121160,,201310,,75480,,111930,,187640,,70950,,108750,,179910,,80640,,120800,,201590,,67510,,101950,,169600,,126240,,249320,,375810,
3,Total number of returns,Nombre total de déclarations,2012, 4815680,,5232260,,10066110,,206950,,207990,,417360,,411030,,408740,,826790,,395020,,414330,,811880,,376880,,416630,,795190,,382070,,422390,,805680,,418960,,450710,,870560,,467940,,490480,,959100,,477970,,494560,,972990,,418620,,438560,,857520,,357870,,381730,,739880,,299840,,321210,,621250,,217190,,241730,,459090,,385330,,543200,,928820,
4,Employment income,Revenus d'emploi,2012, 3236690,169965183,3275260,116529595,6516940,286508940,178520,1156962,179890,987799,359450,2145110,364260,6315382,356400,4930227,722410,11247574,345720,12414214,345370,9905655,691800,22321839,322460,16132170,329770,11868821,652700,28003206,320430,19631595,330370,13782721,651140,33415877,341230,23356361,357950,16119025,699390,39476650,369980,26363250,392180,18248063,762310,44613197,366870,26713999,384380,17843292,751330,44557718,293610,20079369,304160,13209653,597850,33289969,192350,11398248,183960,6824107,376370,18223545,90370,4490057,75110,2128385,165510,6618719,31490,1192791,22750,467447,54260,1660279,19400,720786,12990,214400,32420,935258
5,Commissions (from employment),Commissions (d'emploi),2012, 110690,4346117,84670,1277759,195360,5623904,1650,2252,2690,2538,4340,4790,10120,57024,14640,40838,24760,97869,13670,208989,13300,100093,26960,309083,13770,388368,9770,128945,23530,517313,13610,558691,8470,153380,22080,712071,13890,734048,8640,200023,22530,934090,13280,740768,8790,222883,22070,963654,12190,684076,8070,207279,20260,891355,9050,514664,5610,136082,14660,650746,5670,276077,3050,60196,8720,336272,2620,127508,1200,19537,3820,147045,830,35605,310,4420,1140,40025,350,18046,130,1544,480,19591
6,Other employment income,Autres revenus d'emploi,2012, 586790,2618715,344320,1489712,931380,4113285,5810,16485,6130,14406,11950,30903,22590,73784,21490,60865,44120,134813,35590,127175,27190,107089,62810,235246,38650,169776,26040,119574,64750,290086,41260,235507,26450,133372,67750,369576,47090,328405,29870,163764,76980,492777,53530,382500,34440,211727,88000,594671,58620,416289,36130,228961,94760,645738,64290,375101,37740,213753,102040,588909,67560,270853,36450,161403,104010,432840,53610,126844,25000,41509,78610,168381,36040,43521,14510,16762,50560,60326,62160,52474,22900,16528,85070,69018
7,Old Age Security pension (OASP),Pension de la sécurité de la vieillesse,2012, 895820,4989302,1099190,6162096,1995300,11151566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296190,1503897,317570,1626429,613830,3130352,215870,1261880,240210,1397966,456160,2659872,383760,2223525,541410,3137701,925310,5361343
8,CPP or QPP benefits,Prestations du Régime de pensions du Canada (RPC) ou du Régime de rentes du Québec (RRQ),2012, 1092940,8455540,1303360,8428063,2396320,16883680,4850,9455,5200,10422,10050,19877,8850,21579,11900,29594,20750,51173,1160,4125,1490,4643,2640,8768,1140,8760,1720,11621,2860,20381,2390,19448,4020,28939,6410,48390,4950,40388,8200,59125,13150,99513,10300,86166,17050,127052,27350,213223,17890,157969,29550,225585,47440,383554,25240,236139,43150,335942,68390,572081,176690,1227220,205550,1214301,382240,2441526,274270,2040137,286380,1740882,560650,3781030,205300,1622050,215010,1363650,420300,2985707,359920,2982103,474160,3276308,834090,6258457
9,Other pensions or superannuation,Autres pensions et pensions de retraite,2012, 759630,19373139,774560,13097051,1534390,32472507,310,1998,320,1832,640,3830,410,2021,420,1582,840,3603,240,969,210,936,440,1905,280,1652,300,1915,580,3571,440,4392,480,4117,930,8510,1210,20371,1010,11967,2220,32338,3230,68265,2350,32111,5570,100376,10580,300634,6650,118477,17240,419198,45290,1590882,36790,953705,82090,2544679,94860,3319463,89190,2224968,184070,5544705,159620,3867572,143920,2363440,303580,6231429,151330,3681998,145220,2380431,296600,6062981,291830,6512922,347710,5001570,639610,11515383
10,Elected split-pension amount ,Choix du montant de pension fractionné,2012, 91360,656061,379490,4351199,470890,5007589,,,,,,,,,,,10,92,,,,,80,594,40,312,190,1652,230,1964,110,722,570,5609,680,6369,250,1512,1860,19051,2110,20563,850,5253,5830,61374,6680,66645,2260,14442,18490,216239,20750,230715,7520,56131,45190,574971,52710,631131,17440,145042,73250,944443,90700,1089527,20720,155106,83280,927451,104010,1082621,15840,112374,64790,709948,80640,822366,26330,164905,85970,890038,112310,1055004
