#,Item,Poste,Tax year/D'année d'imposition, Grand total males/Total global hommes #,Grand total males/Total global hommes $ (000),Grand total females/Total global femmes #,Grand total total/Total global femmes $ (000),Grand total total/Total global total #,Grand total total/Total global total $ (000),Age group: under 20 males/Groupe d'âge : moins de 20 ans hommes #,Age group: under 20 males/Groupe d'âge : moins de 20 ans hommes $ (000),Age group: under 20 females/Groupe d'âge : moins de 20 ans femmes #,Age group: under 20 females/Groupe d'âge : moins de 20 ans femmes $ (000),Age group: under 20 total/Groupe d'âge : moins de 20 ans total #,Age group: under 20 total/Groupe d'âge : moins de 20 ans total $ (000),Age group: 20-24 males/Groupe d'âge : 20-24 hommes #,Age group: 20-24 males/Groupe d'âge : 20-24 hommes $ (000),Age group: 20-24 females/Groupe d'âge : 20-24 femmes #,Age group: 20-24 females/Groupe d'âge : 20-24 femmes $ (000),Age group: 20-24 total/Groupe d'âge : 20-24 total #,Age group: 20-24 total/Groupe d'âge : 20-24 total $ (000),Age group: 25-29 males/Groupe d'âge : 25-29 hommes #,Age group: 25-29 males/Groupe d'âge : 25-29 hommes $ (000),Age group: 25-29 females/Groupe d'âge : 25-29 femmes #,Age group: 25-29 females/Groupe d'âge : 25-29 femmes $ (000),Age group: 25-29 total/Groupe d'âge : 25-29 total #,Age group: 25-29 total/Groupe d'âge : 25-29 total $ (000),Age group: 30-34 males/Groupe d'âge : 30-34 hommes #,Age group: 30-34 males/Groupe d'âge : 30-34 hommes $ (000),Age group: 30-34 females/Groupe d'âge : 30-34 femmes #,Age group: 30-34 females/Groupe d'âge : 30-34 femmes $ (000),Age group: 30-34 total/Groupe d'âge : 30-34 total #,Age group: 30-34 total/Groupe d'âge : 30-34 total $ (000),Age group: 35-39 males/Groupe d'âge : 35-39 hommes #,Age group: 35-39 males/Groupe d'âge : 35-39 hommes $ (000),Age group: 35-39 females/Groupe d'âge : 35-39 femmes #,Age group: 35-39 females/Groupe d'âge : 35-39 femmes $ (000),Age group: 35-39 total/Groupe d'âge : 35-39 total #,Age group: 35-39 total/Groupe d'âge : 35-39 total $ (000),Age group: 40-44 males/Groupe d'âge : 40-44 hommes #,Age group: 40-44 males/Groupe d'âge : 40-44 hommes $ (000),Age group: 40-44 females/Groupe d'âge : 40-44 femmes #,Age group: 40-44 females/Groupe d'âge : 40-44 femmes $ (000),Age group: 40-44 total/Groupe d'âge : 40-44 total #,Age group: 40-44 total/Groupe d'âge : 40-44 total $ (000),Age group: 45-49 males/Groupe d'âge : 45-49 hommes #,Age group: 45-49 males/Groupe d'âge : 45-49 hommes $ (000),Age group: 45-49 females/Groupe d'âge : 45-49 femmes #,Age group: 45-49 females/Groupe d'âge : 45-49 femmes $ (000),Age group: 45-49 total/Groupe d'âge : 45-49 total #,Age group: 45-49 total/Groupe d'âge : 45-49 total $ (000),Age group: 50-54 males/Groupe d'âge : 50-54 hommes #,Age group: 50-54 males/Groupe d'âge : 50-54 hommes $,Age group: 50-54 females/Groupe d'âge : 50-54 femmes #,Age group: 50-54 females/Groupe d'âge : 50-54 femmes $,Age group: 50-54 total/Groupe d'âge : 50-54 total #,Age group: 50-54 total/Groupe d'âge : 50-54 total $,Age group: 55-59 males/Groupe d'âge : 55-59 hommes #,Age group: 55-59 males/Groupe d'âge : 55-59 hommes $ (000),Age group: 55-59 females/Groupe d'âge : 55-59 femmes #,Age group: 55-59 females/Groupe d'âge : 55-59 femmes $ (000),Age group: 55-59 total/Groupe d'âge : 55-59 total #,Age group: 55-59 total/Groupe d'âge : 55-59 total $ (000),Age group: 60-64 males/Groupe d'âge : 60-64 hommes #,Age group: 60-64 males/Groupe d'âge : 60-64 hommes $ (000),Age group: 60-64 females/Groupe d'âge : 60-64 femmes #,Age group: 60-64 females/Groupe d'âge : 60-64 femmes $ (000),Age group: 60-64 total/Groupe d'âge : 60-64 total #,Age group: 60-64 total/Groupe d'âge : 60-64 total $ (000),Age group: 65-69 males/Groupe d'âge : 65-69 hommes #,Age group: 65-69 males/Groupe d'âge : 65-69 hommes $ (000),Age group: 65-69 females/Groupe d'âge : 65-69 femmes #,Age group: 65-69 females/Groupe d'âge : 65-69 femmes $ (000),Age group: 65-69 total/Groupe d'âge : 65-69 total #,Age group: 65-69 total/Groupe d'âge : 65-69 total $ (000),Age group: 70-74 males/Groupe d'âge : 70-74 hommes #,Age group: 70-74 males/Groupe d'âge : 70-74 hommes $ (000),Age group: 70-74 females/Groupe d'âge : 70-74 femmes #,Age group: 70-74 females/Groupe d'âge : 70-74 femmes $ (000),Age group: 70-74 total/Groupe d'âge : 70-74 total #,Age group: 70-74 total/Groupe d'âge : 70-74 total $ (000),Age group: 75 and over males/Groupe d'âge : 75 et plus hommes #,Age group: 75 and over males/Groupe d'âge : 75 et plus hommes $ (000),Age group: 75 and over females/Groupe d'âge : 75 et plus femmes #,Age group: 75 and over females/Groupe d'âge : 75 et plus femmes $ (000),Age group: 75 and over total/Groupe d'âge : 75 et plus total #,Age group: 75 and over total/Groupe d'âge : 75 et plus total $ (000)
1,Number of taxable returns,Nombre de déclarations imposables,2012, 2103330,,1853330,,3956730,,20760,,10150,,30910,,115510,,80590,,196100,,167430,,145590,,313040,,205090,,174760,,379850,,200260,,168730,,368990,,194750,,168440,,363190,,227090,,206070,,433170,,248350,,229150,,477510,,228210,,208820,,437040,,192260,,169750,,362010,,126050,,105530,,231580,,75070,,68570,,143640,,102510,,117190,,219700,
2,Number of non-taxable returns,Nombre de déclarations non imposables,2012, 998970,,1433690,,2435610,,121110,,130900,,252310,,123280,,158430,,282840,,64910,,91530,,157070,,55130,,91320,,146810,,52470,,86730,,139380,,53600,,78370,,132090,,59070,,80580,,139720,,62070,,85190,,147280,,61240,,85820,,147080,,57060,,88440,,145530,,83230,,116160,,199400,,72420,,95940,,168380,,133400,,244290,,377720,
3,Total number of returns,Nombre total de déclarations,2012, 3102300,,3287030,,6392340,,141870,,141050,,283230,,238780,,239020,,478950,,232340,,237120,,470110,,260220,,266090,,526660,,252720,,255450,,508370,,248350,,246810,,495280,,286160,,286650,,572890,,310420,,314340,,624790,,289450,,294650,,584120,,249320,,258190,,507530,,209270,,221690,,430980,,147490,,164510,,312020,,235910,,361480,,597420,
4,Employment income,Revenus d'emploi,2012, 2130290,92481159,2042530,62616843,4174070,155099828,129840,975168,129520,823423,259540,1798624,218770,4286953,215390,3307479,434570,7594504,209310,7141493,202890,5417315,412480,12559132,229650,9994784,217770,6939360,447580,16934249,217930,11046284,206770,7691454,424780,18737778,207360,11473786,201180,8121916,408600,19595810,234010,13618825,235170,9574294,469220,23193999,248920,14697895,252330,9915442,501260,24613416,209500,11137884,205920,7009275,415440,18147263,129010,5529008,110040,2852888,239060,8381900,59280,1848377,43060,741397,102340,2589783,22140,518389,14320,157991,36460,676393,14580,212313,8170,64609,22750,276976
5,Commissions (from employment),Commissions (d'emploi),2012, 69570,1943438,68060,620386,137630,2563825,2230,2987,5630,3406,7860,6393,8580,44490,15440,29490,24020,73980,8190,105033,9010,49051,17200,154085,8300,184858,6780,64726,15080,249584,7750,246123,5810,77144,13560,323267,7450,284612,5540,92105,12990,376717,7530,293407,6220,110420,13750,403826,7570,341557,5900,96929,13470,438485,5810,231044,4240,63097,10050,294141,3820,128958,2310,24013,6130,152972,1610,57667,880,7626,2490,65293,520,16713,230,2024,750,18737,200,5988,80,356,280,6344
6,Other employment income,Autres revenus d'emploi,2012, 338820,885647,174160,572585,513010,1458595,2570,6053,2080,5427,4660,11480,17640,19935,7230,16690,24880,36637,26750,36612,14230,31297,40990,67923,31800,64109,18240,49424,50040,113693,29790,74900,18150,54971,47950,129941,29660,106652,18000,66222,47670,172894,34790,114786,20720,86643,55520,201451,37540,144171,22190,100437,59730,244608,39380,150581,21490,89813,60870,240427,34870,107110,14780,53080,49660,160213,23440,33440,7850,11943,31290,45383,12480,14732,3820,3310,16300,18042,18080,12567,5380,3330,23460,15905
7,Old Age Security pension (OASP),Pension de la sécurité de la vieillesse,2012, 590370,3524218,745130,4499100,1335510,8023344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207500,1151312,219900,1230708,427410,2382020,147240,923562,164190,1035095,311440,1958670,235630,1449344,361040,2233297,596670,3682654
8,CPP or QPP benefits,Prestations du Régime de pensions du Canada (RPC) ou du Régime de rentes du Québec (RRQ),2012, 774320,5386507,919490,5164812,1693820,10551365,4450,7580,4560,7812,9020,15397,260,517,360,813,620,1330,460,2346,500,2045,960,4390,850,4923,1200,6576,2050,11499,1310,7882,2110,12329,3420,20211,2310,15185,3900,24542,6210,39727,4720,35170,8170,61537,12890,96725,8580,69787,15370,126439,23950,196226,13950,123945,24200,208983,38160,332934,162750,1022484,187490,998288,350240,2020772,201290,1366660,207420,1091698,408710,2458358,144460,1013409,150190,808445,294650,1821866,228920,1716618,314020,1815305,542950,3531930
9,Other pensions or superannuation,Autres pensions et pensions de retraite,2012, 519740,11541503,501510,7925590,1021280,19467442,190,834,190,883,390,1717,150,482,190,794,340,1277,110,589,120,808,230,1398,140,925,140,727,270,1653,280,3013,230,1985,500,4997,960,18226,480,5926,1440,24179,2130,45538,1120,17445,3250,62996,6080,164358,4870,106244,10960,270602,41190,1347974,38530,1025908,79720,2373896,84400,2645176,74810,1855946,159220,4501228,116430,2433284,99550,1494963,215980,3928294,99070,1954644,88680,1213921,187760,3168682,168620,2926462,192600,2200040,361230,5126524
10,Elected split-pension amount ,Choix du montant de pension fractionné,2012, 54820,375014,213180,2423144,268010,2798295,,,,,,,,,,,10,104,,,,,60,494,30,279,170,1395,200,1674,80,504,530,4124,600,4646,190,1205,1400,12605,1590,13810,680,4087,4490,41681,5180,45768,2470,14027,14960,152109,17430,166193,8450,54303,34930,403434,43380,457753,14100,102542,47510,564477,61620,667020,12150,84084,44640,497874,56790,581973,7630,52931,31080,359621,38710,412555,9020,60958,33420,385347,42440,446305
