#,Item,Poste,Tax year/D'année d'imposition, Grand total males/Total global hommes #,Grand total males/Total global hommes $ (000),Grand total females/Total global femmes #,Grand total total/Total global femmes $ (000),Grand total total/Total global total #,Grand total total/Total global total $ (000),Age group: under 20 males/Groupe d'âge : moins de 20 ans hommes #,Age group: under 20 males/Groupe d'âge : moins de 20 ans hommes $ (000),Age group: under 20 females/Groupe d'âge : moins de 20 ans femmes #,Age group: under 20 females/Groupe d'âge : moins de 20 ans femmes $ (000),Age group: under 20 total/Groupe d'âge : moins de 20 ans total #,Age group: under 20 total/Groupe d'âge : moins de 20 ans total $ (000),Age group: 20-24 males/Groupe d'âge : 20-24 hommes #,Age group: 20-24 males/Groupe d'âge : 20-24 hommes $ (000),Age group: 20-24 females/Groupe d'âge : 20-24 femmes #,Age group: 20-24 females/Groupe d'âge : 20-24 femmes $ (000),Age group: 20-24 total/Groupe d'âge : 20-24 total #,Age group: 20-24 total/Groupe d'âge : 20-24 total $ (000),Age group: 25-29 males/Groupe d'âge : 25-29 hommes #,Age group: 25-29 males/Groupe d'âge : 25-29 hommes $ (000),Age group: 25-29 females/Groupe d'âge : 25-29 femmes #,Age group: 25-29 females/Groupe d'âge : 25-29 femmes $ (000),Age group: 25-29 total/Groupe d'âge : 25-29 total #,Age group: 25-29 total/Groupe d'âge : 25-29 total $ (000),Age group: 30-34 males/Groupe d'âge : 30-34 hommes #,Age group: 30-34 males/Groupe d'âge : 30-34 hommes $ (000),Age group: 30-34 females/Groupe d'âge : 30-34 femmes #,Age group: 30-34 females/Groupe d'âge : 30-34 femmes $ (000),Age group: 30-34 total/Groupe d'âge : 30-34 total #,Age group: 30-34 total/Groupe d'âge : 30-34 total $ (000),Age group: 35-39 males/Groupe d'âge : 35-39 hommes #,Age group: 35-39 males/Groupe d'âge : 35-39 hommes $ (000),Age group: 35-39 females/Groupe d'âge : 35-39 femmes #,Age group: 35-39 females/Groupe d'âge : 35-39 femmes $ (000),Age group: 35-39 total/Groupe d'âge : 35-39 total #,Age group: 35-39 total/Groupe d'âge : 35-39 total $ (000),Age group: 40-44 males/Groupe d'âge : 40-44 hommes #,Age group: 40-44 males/Groupe d'âge : 40-44 hommes $ (000),Age group: 40-44 females/Groupe d'âge : 40-44 femmes #,Age group: 40-44 females/Groupe d'âge : 40-44 femmes $ (000),Age group: 40-44 total/Groupe d'âge : 40-44 total #,Age group: 40-44 total/Groupe d'âge : 40-44 total $ (000),Age group: 45-49 males/Groupe d'âge : 45-49 hommes #,Age group: 45-49 males/Groupe d'âge : 45-49 hommes $ (000),Age group: 45-49 females/Groupe d'âge : 45-49 femmes #,Age group: 45-49 females/Groupe d'âge : 45-49 femmes $ (000),Age group: 45-49 total/Groupe d'âge : 45-49 total #,Age group: 45-49 total/Groupe d'âge : 45-49 total $ (000),Age group: 50-54 males/Groupe d'âge : 50-54 hommes #,Age group: 50-54 males/Groupe d'âge : 50-54 hommes $,Age group: 50-54 females/Groupe d'âge : 50-54 femmes #,Age group: 50-54 females/Groupe d'âge : 50-54 femmes $,Age group: 50-54 total/Groupe d'âge : 50-54 total #,Age group: 50-54 total/Groupe d'âge : 50-54 total $,Age group: 55-59 males/Groupe d'âge : 55-59 hommes #,Age group: 55-59 males/Groupe d'âge : 55-59 hommes $ (000),Age group: 55-59 females/Groupe d'âge : 55-59 femmes #,Age group: 55-59 females/Groupe d'âge : 55-59 femmes $ (000),Age group: 55-59 total/Groupe d'âge : 55-59 total #,Age group: 55-59 total/Groupe d'âge : 55-59 total $ (000),Age group: 60-64 males/Groupe d'âge : 60-64 hommes #,Age group: 60-64 males/Groupe d'âge : 60-64 hommes $ (000),Age group: 60-64 females/Groupe d'âge : 60-64 femmes #,Age group: 60-64 females/Groupe d'âge : 60-64 femmes $ (000),Age group: 60-64 total/Groupe d'âge : 60-64 total #,Age group: 60-64 total/Groupe d'âge : 60-64 total $ (000),Age group: 65-69 males/Groupe d'âge : 65-69 hommes #,Age group: 65-69 males/Groupe d'âge : 65-69 hommes $ (000),Age group: 65-69 females/Groupe d'âge : 65-69 femmes #,Age group: 65-69 females/Groupe d'âge : 65-69 femmes $ (000),Age group: 65-69 total/Groupe d'âge : 65-69 total #,Age group: 65-69 total/Groupe d'âge : 65-69 total $ (000),Age group: 70-74 males/Groupe d'âge : 70-74 hommes #,Age group: 70-74 males/Groupe d'âge : 70-74 hommes $ (000),Age group: 70-74 females/Groupe d'âge : 70-74 femmes #,Age group: 70-74 females/Groupe d'âge : 70-74 femmes $ (000),Age group: 70-74 total/Groupe d'âge : 70-74 total #,Age group: 70-74 total/Groupe d'âge : 70-74 total $ (000),Age group: 75 and over males/Groupe d'âge : 75 et plus hommes #,Age group: 75 and over males/Groupe d'âge : 75 et plus hommes $ (000),Age group: 75 and over females/Groupe d'âge : 75 et plus femmes #,Age group: 75 and over females/Groupe d'âge : 75 et plus femmes $ (000),Age group: 75 and over total/Groupe d'âge : 75 et plus total #,Age group: 75 and over total/Groupe d'âge : 75 et plus total $ (000)
1,Number of taxable returns,Nombre de déclarations imposables,2012, 10380,,9590,,19970,,170,,130,,300,,750,,460,,1210,,1000,,980,,1980,,1060,,950,,2010,,980,,980,,1960,,950,,970,,1930,,1050,,1100,,2160,,1250,,1250,,2490,,1170,,1110,,2280,,910,,820,,1720,,600,,430,,1030,,260,,190,,450,,240,,230,,460,
2,Number of non-taxable returns,Nombre de déclarations non imposables,2012, 3090,,3840,,6930,,440,,490,,920,,420,,580,,990,,220,,420,,650,,200,,300,,510,,150,,280,,430,,140,,230,,370,,160,,190,,350,,190,,220,,410,,210,,210,,420,,200,,180,,380,,280,,240,,510,,190,,170,,350,,300,,350,,650,
3,Total number of returns,Nombre total de déclarations,2012, 13480,,13430,,26910,,610,,610,,1220,,1160,,1040,,2200,,1230,,1400,,2630,,1270,,1250,,2520,,1120,,1260,,2390,,1090,,1200,,2290,,1210,,1290,,2500,,1440,,1460,,2900,,1380,,1320,,2690,,1110,,1000,,2110,,880,,670,,1540,,450,,360,,800,,540,,570,,1110,
4,Employment income,Revenus d'emploi,2012, 10720,560864,10790,454375,21510,1015266,590,6462,580,5208,1170,11670,1110,31959,960,19319,2070,51277,1170,51652,1280,43722,2450,95397,1180,61032,1120,47475,2300,108507,1010,60769,1120,51305,2130,112077,980,61376,1070,55689,2050,117065,1060,68277,1160,62720,2220,130997,1200,78394,1290,71931,2480,150324,1070,73508,1080,55849,2150,129358,730,42728,680,30016,1410,72744,420,15878,300,8709,710,24587,130,3185,80,1890,210,5075,90,5644,80,544,160,6188
5,Commissions (from employment),Commissions (d'emploi),2012, 130,4769,120,4317,240,9086,,,,,10,11,10,137,20,128,30,265,10,98,20,349,30,448,20,1186,20,275,40,1461,10,560,10,439,30,999,10,353,,,20,576,20,601,20,1303,30,1904,10,437,,,20,737,10,720,,,20,1764,,,,,,,,,,,,,,,,,,,,,,,,
6,Other employment income,Autres revenus d'emploi,2012, 590,3918,680,5317,1280,9235,,,20,22,30,56,40,81,60,119,100,200,50,71,80,231,120,302,40,187,80,328,120,514,50,286,40,159,90,445,50,420,60,550,110,970,50,263,50,660,100,923,70,775,70,647,140,1422,80,773,100,1428,170,2201,90,808,80,1043,170,1850,40,94,30,91,70,184,20,69,,,30,99,,,,,30,66
7,Old Age Security pension (OASP),Pension de la sécurité de la vieillesse,2012, 1850,10657,1580,9281,3440,19937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,870,4606,660,3534,1530,8141,450,2765,350,2207,800,4972,540,3285,570,3539,1110,6825
8,CPP or QPP benefits,Prestations du Régime de pensions du Canada (RPC) ou du Régime de rentes du Québec (RRQ),2012, 2430,17211,2310,15203,4730,32414,10,20,,,20,32,10,39,20,51,40,90,,,,,,,,,,,,,,,,,10,62,,,20,115,30,185,10,107,40,267,50,374,40,297,80,516,120,813,50,475,110,850,160,1325,510,3160,520,3174,1030,6334,810,5670,610,4121,1420,9790,440,3290,340,2355,780,5645,530,4044,540,3680,1060,7724
9,Other pensions or superannuation,Autres pensions et pensions de retraite,2012, 1430,31444,1340,23759,2770,55203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,107,40,811,40,488,70,1300,150,4096,140,2961,290,7057,280,8372,270,6407,540,14779,360,7540,320,5474,680,13014,280,5355,210,3481,490,8837,310,5104,340,4762,650,9866
10,Elected split-pension amount ,Choix du montant de pension fractionné,2012, 190,1405,510,5457,710,6862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,118,20,120,10,55,60,520,70,576,40,271,100,1131,140,1402,40,279,130,1533,170,1812,50,389,100,1091,150,1480,20,156,50,537,70,693,30,228,40,375,70,604
11,Universal Child Care Benefit (UCCB),Prestation universelle pour la garde d'enfants (PUGE),2012, 340,486,1380,2056,1720,2542,,,20,24,20,25,,,140,181,140,190,30,35,290,449,320,484,70,97,340,568,410,665,100,154,360,556,460,710,80,109,170,213,240,321,40,46,50,49,80,96,20,29,10,7,30,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Employment Insurance and other benefits,Prestations d'assurance-emploi et autres prestations,2012, 1840,15313,1570,13504,3410,28817,,,,,,,210,1481,110,723,320,2203,270,2026,270,2384,540,4410,220,1667,280,2728,500,4394,190,1592,240,2404,440,3996,170,1365,150,1073,320,2439,170,1430,120,954,290,2384,200,1858,140,1177,340,3034,160,1523,120,935,280,2457,120,1179,90,773,220,1952,80,747,30,236,110,983,20,259,,,30,328,,,,,,
13,Taxable amount of dividends from taxable Canadian corporations,Montant imposable des dividendes,2012, 1920,30293,2000,19921,3930,50214,20,171,,,20,293,40,363,50,533,90,896,70,413,,,140,805,90,542,70,781,170,1324,80,1454,100,1111,180,2565,130,2478,140,1614,270,4092,160,2307,200,2414,360,4721,240,2833,300,2384,530,5217,330,6081,320,3117,650,9198,310,6212,290,2730,600,8942,220,3977,210,2253,430,6231,120,1487,100,544,220,2031,120,1974,160,1926,280,3900
14,Interest and other investment income,Intérêts et autres revenus de placements,2012, 2400,4486,2810,3740,5200,8226,20,3,30,4,50,7,60,11,60,15,120,27,100,28,130,49,230,77,130,63,140,85,270,148,120,102,190,62,310,165,140,138,190,124,330,263,190,365,250,332,440,697,270,428,370,403,640,831,360,1130,430,622,780,1752,350,741,350,587,690,1327,280,587,280,489,550,1076,170,422,140,312,310,735,210,467,260,655,470,1122
15,Net partnership income (Limited or non-active partners only),Revenus nets de société de personnes,2012, 30,-15,20,6,50,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,-28,,,20,-20,,,,,,,,,,,,,,,,,,
16,Net rental income,Revenus nets de location,2012, 900,4199,960,3432,1860,7631,,,,,,,10,35,,,,,30,59,50,78,80,137,80,85,80,151,160,236,90,328,100,304,200,632,100,398,120,407,220,806,100,222,120,302,220,524,120,375,160,667,290,1042,130,660,130,509,270,1169,120,759,90,404,210,1163,60,874,50,396,110,1269,40,155,20,82,50,237,20,247,20,121,40,368
17,Taxable capital gains,Gains en capital imposables,2012, 750,5513,820,5939,1570,11452,,,,,,,,,,,30,23,30,20,30,24,60,44,40,178,30,91,70,269,30,335,40,180,70,516,40,293,50,164,90,457,70,359,,,,,90,356,110,423,200,779,120,1285,130,819,250,2104,130,878,120,1321,250,2199,80,733,80,303,160,1036,50,241,50,158,100,398,60,822,80,349,130,1171
18,Registered retirement savings plan income (RRSP),Revenu d'un régime enregistré d'épargne-retraite (REER),2012, 1110,6557,1170,7093,2280,13650,,,,,,,40,98,,,60,126,70,186,70,156,140,342,120,269,100,243,220,511,140,485,150,485,300,971,150,483,170,734,310,1217,120,802,150,808,280,1610,110,979,140,1050,250,2029,120,1034,130,1357,240,2392,100,836,120,1077,210,1913,100,1139,90,842,190,1981,30,183,20,253,50,436,,,20,57,,
19,Other income,Autres revenus,2012, 1850,16682,2100,18187,3940,34869,,,,,140,390,170,444,170,462,340,906,120,331,120,312,240,643,120,345,120,523,250,868,80,297,120,583,190,880,100,657,120,506,220,1163,,,160,645,,,150,1267,220,904,370,2171,230,2618,260,1871,490,4489,270,2115,290,1725,560,3839,190,1520,190,664,370,2184,100,455,110,329,210,784,120,451,,,,
